isolation_time_abm,isolation_time_sm_mean,beta_abm_actual,beta_sm_mapped,n_runs,abm_total,sm_total,rmse_monthly,rmse_cumulative
6,3.0,0.03847,3.34419649122807,50,28.359999999999996,32.738776220743325,1.224730293166729,4.297107009944644
14,7.0,0.03847,3.367340350877193,50,28.860000000000003,35.29433755952015,1.399546035763128,5.075863320531277
20,10.0,0.03847,3.411182456140351,50,27.699999999999996,39.35480960489711,1.431356188544173,5.024901986072192
28,14.0,0.03847,3.2985649122807015,50,26.46,31.237313645115666,1.1683306791218993,4.198009828594532
