cleaningDay,first_clean_day,tau0,beta_abm,theta_hat,theta_low,theta_high,sigma_hat,weighted_rmse,neg_loglik_cum_min,init_env,theta_min,theta_max,theta_grid_n,ci_grid_n,cleaning_eff,data_type
180.0,20,160.0,0.02,2.399874843554443,2.1537810741406194,2.565171089843924,0.3637958854800592,0.33262656810166547,37.54163014664626,2,0.5,12.0,800,800,0.9,B
180.0,20,160.0,0.025,2.8172715894868587,2.7029534112107423,2.8912734321633966,0.7180179034118157,0.40279166536557004,52.44326243640508,2,0.5,12.0,800,800,0.9,B
180.0,20,160.0,0.03,3.076345431789737,3.0188071265547967,3.121032699977175,0.5040480643294996,0.2021060667614244,69.38558709101899,2,0.5,12.0,800,800,0.9,B
180.0,20,160.0,0.035,3.220275344180225,3.1723957135485876,3.25011359406914,0.433755675935227,0.16728897802561435,80.9503128834302,2,0.5,12.0,800,800,0.9,B
180.0,20,160.0,0.04,3.40738423028786,3.368880989502099,3.431362062616279,3.136183763042493,0.36962875679846785,99.15343511152808,2,0.5,12.0,800,800,0.9,B
180.0,20,160.0,0.045,3.565707133917397,3.525901988360347,3.593480527838555,4.232096057730964,0.3518667431485201,109.47288727272182,2,0.5,12.0,800,800,0.9,B
180.0,20,160.0,0.05,3.7816020025031287,3.732377965395306,3.816002753492434,8.158018820718663,0.5322567083093646,128.06985773578276,2,0.5,12.0,800,800,0.9,B
180.0,20,160.0,0.055,3.9687108886107634,3.9196628674918492,4.01724042692721,2.877208511763502,0.22090454381619423,130.65423168198686,2,0.5,12.0,800,800,0.9,B
180.0,20,160.0,0.06,4.314142678347935,4.248611567138371,4.366187648356264,9.539281736969269,0.3414550407428113,140.97097370866555,2,0.5,12.0,800,800,0.9,B
