p_abm,p_hat,p_low,p_high,neg_loglik_cum_min,beta_SM_fixed,init_env,tau0
0.7,0.8380000000000001,0.8346167741963608,0.8409804077510554,-6069.603083995489,3.374,9,140
0.8,0.873,0.8705749440002806,0.8761194058423677,-2440.185689681242,3.374,9,140
