beta_abm,theta_hat,theta_low,theta_high,sigma_hat,neg_loglik_cum_min,init_env,tau0,used_months
0.01,1.2738693467336684,1.0155627255025304,1.4844577400549626,0.03436378906150404,19.994131697922466,2,60,36
0.015,1.6884422110552764,1.4650271938613846,1.862199482700715,0.2889917638682929,34.58255044013,2,60,36
0.02,2.158291457286432,2.0111510811779403,2.288004479610857,0.6425700402632464,48.868218279688506,2,60,36
0.025,2.600502512562814,2.503205879279249,2.6756925723104312,0.9006915653984191,63.51823506650584,2,60,36
0.03,2.932160804020101,2.8640371757129346,2.9689085679762286,0.9828370809817429,77.65094184266533,2,60,36
0.035,3.1256281407035176,3.0685481043865983,3.1530553844887175,0.9771374230633458,90.59090028262237,2,60,36
0.04,3.263819095477387,3.232857973522846,3.2977916849044147,1.6036987175162436,97.92035775225743,2,60,36
0.045,3.484924623115578,3.436385621982184,3.507458256974452,2.867014017622152,111.25465721902992,2,60,36
0.05,3.7889447236180906,3.734429010025423,3.8247782352468063,3.8973366651697483,128.5464986255806,2,60,36
0.055,4.010050251256281,3.9643864085207463,4.063486094899953,4.464128965028605,133.81770123260964,2,60,36
0.06,4.42462311557789,4.361592527774613,4.47283307284508,16.280932259376932,143.95515648200205,2,60,36
0.065,4.894472361809045,4.8217321985180055,4.96775709314139,19.027229502008886,153.14044903518337,2,60,36
0.07,5.6130653266331665,5.5454971984032,5.692222186478583,29.17456566098558,169.81066574472416,2,60,36
