cleaningDay,first_clean_day,tau0,beta_abm,theta_hat,theta_low,theta_high,sigma_hat,weighted_rmse,neg_loglik_cum_min,init_env,theta_min,theta_max,theta_grid_n,ci_grid_n,cleaning_eff,data_type
60.0,20,40.0,0.02,2.327909887359199,1.7818532901957356,2.6832905578829513,0.3619132065100644,0.40650447899937026,25.189001309592378,2,0.5,12.0,800,800,0.9,B
60.0,20,40.0,0.025,2.572590738423029,2.0466652578210653,2.9110967671393615,0.4914966446600312,0.4572022188073263,32.06267666515,2,0.5,12.0,800,800,0.9,B
60.0,20,40.0,0.03,3.4937421777221527,3.238385672033686,3.669143371339982,0.8534109316549782,0.5952924655261095,50.50132657975176,2,0.5,12.0,800,800,0.9,B
60.0,20,40.0,0.035,3.6376720901126407,3.4046114481566647,3.80584319041812,1.518294806197114,0.7170645578104125,61.44175003002333,2,0.5,12.0,800,800,0.9,B
60.0,20,40.0,0.04,4.055068836045056,3.935834444239649,4.150250066320304,2.18351671854216,0.8042380348542186,76.39594388658064,2,0.5,12.0,800,800,0.9,B
60.0,20,40.0,0.045,4.227784730913642,4.138660373151956,4.282320280428608,2.406553362118099,0.7595076215031198,82.3287473257864,2,0.5,12.0,800,800,0.9,B
60.0,20,40.0,0.05,4.386107634543179,4.345277531737995,4.428230014176441,3.182557972997762,0.7852903820711689,92.88454473821972,2,0.5,12.0,800,800,0.9,B
60.0,20,40.0,0.055,4.472465581977472,4.437847074775678,4.504964530262167,4.131370428192207,0.8040339068840837,102.54560429429998,2,0.5,12.0,800,800,0.9,B
60.0,20,40.0,0.06,4.5732165206508135,4.549362413645052,4.599485487398075,2.269135407951172,0.3630583269364473,105.27445287166442,2,0.5,12.0,800,800,0.9,B
90.0,20,70.0,0.02,2.5006257822277846,2.054832500722623,2.783943736492181,0.4306302097916954,0.4153113413698933,32.6867378628237,2,0.5,12.0,800,800,0.9,B
90.0,20,70.0,0.025,2.702127659574468,2.2873101222783996,2.95843266617554,0.8067864243330819,0.5948285322733724,43.17284809328387,2,0.5,12.0,800,800,0.9,B
90.0,20,70.0,0.03,3.3642052565707132,3.1651127697141552,3.504374173397796,1.2776661682269568,0.5922898757178068,60.80664435693153,2,0.5,12.0,800,800,0.9,B
90.0,20,70.0,0.035,3.464956195244055,3.2917914788032525,3.5764187828942378,2.4983662478393933,0.8319177705843618,70.91154610213636,2,0.5,12.0,800,800,0.9,B
90.0,20,70.0,0.04,3.8823529411764706,3.837639192192889,3.916874518798661,1.1824882580227347,0.37336762875778257,79.75736652014888,2,0.5,12.0,800,800,0.9,B
90.0,20,70.0,0.045,3.9831038798498124,3.9550689412748015,4.018521539358631,2.424144997261563,0.3960012682826765,91.1666461638222,2,0.5,12.0,800,800,0.9,B
90.0,20,70.0,0.05,4.069461827284105,4.03330898739412,4.0905880780667125,1.227260983356375,0.21587257484971775,101.12263892111216,2,0.5,12.0,800,800,0.9,B
90.0,20,70.0,0.055,4.198998748435544,4.174187632057048,4.226681304329299,1.237920161671509,0.1889068952388067,111.9573658195273,2,0.5,12.0,800,800,0.9,B
90.0,20,70.0,0.06,4.328535669586984,4.3035015075485115,4.366713433015846,5.1380280589157294,0.4044520722684576,126.95762582047992,2,0.5,12.0,800,800,0.9,B
180.0,20,160.0,0.02,2.399874843554443,2.1537810741406194,2.565171089843924,0.3637958854800592,0.33262656810166547,37.54163014664626,2,0.5,12.0,800,800,0.9,B
180.0,20,160.0,0.025,2.8172715894868587,2.7029534112107423,2.8912734321633966,0.7180179034118157,0.40279166536557004,52.44326243640508,2,0.5,12.0,800,800,0.9,B
