p_abm,p_hat,p_low,p_high,neg_loglik_cum_min,beta_SM_fixed,init_env,tau0
0.91,0.904,0.9011204563197583,0.9077024272352509,-673.8375694149215,3.374,9,140
0.93,0.914,0.9098850910869191,0.9174974717477072,-417.0229495977458,3.374,9,140
0.95,0.917,0.912672765448186,0.9206781031311775,-358.2723790760396,3.374,9,140
0.97,0.924,0.9198345721783193,0.9290184218579921,-230.6172044673027,3.374,9,140
0.99,0.927,0.9222294169174783,0.9318231753901582,-198.36184880831038,3.374,9,140
