p_abm,p_hat,p_low,p_high,neg_loglik_cum_min,beta_SM_fixed,init_env,tau0
0.7,0.84,0.8339256734603411,0.8416335456629539,-6068.704385867949,3.374,9,140
0.8,0.875,0.8701401980798329,0.8765399653094521,-2439.5367646075056,3.374,9,140
0.9,0.905,0.8994822071234024,0.9069033563672925,-716.5335790445552,3.374,9,140
0.91,0.905,0.9010814969189389,0.907743579643638,-673.7900442680401,3.374,9,140
0.93,0.915,0.9096704604097526,0.917732307555051,-416.78755549150026,3.374,9,140
0.95,0.915,0.9123999621429583,0.9209790555189412,-357.9847455537294,3.374,9,140
0.97,0.925,0.9197936657690958,0.9290641668445478,-230.580688543382,3.374,9,140
0.99,0.925,0.9218847476621425,0.9322108432182533,-198.05760517205795,3.374,9,140
