isolation_time,avg_isolation_delay,beta_abm,theta_hat,theta_low,theta_high,sigma_hat,weighted_rmse,neg_loglik_cum_min,init_env,tau0,theta_min,theta_max,theta_grid_n,ci_grid_n,cleaning_eff,data_type
14.0,7.0,0.02,2.2127659574468086,2.0576460709467788,2.3285302803198054,0.32514457436747934,0.20761127732561538,49.89760116928987,2,60,0.5,12.0,800,800,0.9,B
14.0,7.0,0.025,2.6589486858573217,2.5732214449873814,2.7282515886928436,0.8582884438055196,0.32457009361412215,65.33430954521046,2,60,0.5,12.0,800,800,0.9,B
14.0,7.0,0.03,2.8172715894868587,2.7475062438321274,2.86674560539277,1.3714355984254523,0.3827513600160938,72.60762300395899,2,60,0.5,12.0,800,800,0.9,B
14.0,7.0,0.035,3.119524405506884,3.0865293980205504,3.1588308447989393,1.7530429922271156,0.27184099303699205,89.73236614548505,2,60,0.5,12.0,800,800,0.9,B
14.0,7.0,0.04,3.2778473091364204,3.245637910749278,3.3111609960413597,1.4888059271784722,0.19755012180712764,100.28325912630552,2,60,0.5,12.0,800,800,0.9,B
14.0,7.0,0.045,3.4937421777221527,3.4510755353092173,3.524861785492803,2.937218625782293,0.2973620906979215,116.45228636284374,2,60,0.5,12.0,800,800,0.9,B
14.0,7.0,0.05,3.6664580725907383,3.6255076618599293,3.7029141118285303,3.504891272586681,0.37664570975000555,123.47142442172371,2,60,0.5,12.0,800,800,0.9,B
14.0,7.0,0.055,4.0118898623279104,3.9601074007681776,4.056691038957676,3.1548309114011177,0.2839329936238307,133.3430218529691,2,60,0.5,12.0,800,800,0.9,B
14.0,7.0,0.06,4.414893617021276,4.353315095203847,4.472021823957435,8.791064757673114,0.3431138929098178,142.4834159964855,2,60,0.5,12.0,800,800,0.9,B
