cleaningDay,first_clean_day,tau0,beta_abm,theta_hat,theta_low,theta_high,sigma_hat,weighted_rmse,neg_loglik_cum_min,init_env,theta_min,theta_max,theta_grid_n,ci_grid_n,cleaning_eff,data_type
90.0,20,70.0,0.02,2.5006257822277846,2.054832500722623,2.783943736492181,0.4306302097916954,0.4153113413698933,32.6867378628237,2,0.5,12.0,800,800,0.9,B
90.0,20,70.0,0.025,2.702127659574468,2.2873101222783996,2.95843266617554,0.8067864243330819,0.5948285322733724,43.17284809328387,2,0.5,12.0,800,800,0.9,B
90.0,20,70.0,0.03,3.3642052565707132,3.1651127697141552,3.504374173397796,1.2776661682269568,0.5922898757178068,60.80664435693153,2,0.5,12.0,800,800,0.9,B
90.0,20,70.0,0.035,3.464956195244055,3.2917914788032525,3.5764187828942378,2.4983662478393933,0.8319177705843618,70.91154610213636,2,0.5,12.0,800,800,0.9,B
90.0,20,70.0,0.04,3.8823529411764706,3.837639192192889,3.916874518798661,1.1824882580227347,0.37336762875778257,79.75736652014888,2,0.5,12.0,800,800,0.9,B
90.0,20,70.0,0.045,3.9831038798498124,3.9550689412748015,4.018521539358631,2.424144997261563,0.3960012682826765,91.1666461638222,2,0.5,12.0,800,800,0.9,B
90.0,20,70.0,0.05,4.069461827284105,4.03330898739412,4.0905880780667125,1.227260983356375,0.21587257484971775,101.12263892111216,2,0.5,12.0,800,800,0.9,B
90.0,20,70.0,0.055,4.198998748435544,4.174187632057048,4.226681304329299,1.237920161671509,0.1889068952388067,111.9573658195273,2,0.5,12.0,800,800,0.9,B
90.0,20,70.0,0.06,4.328535669586984,4.3035015075485115,4.366713433015846,5.1380280589157294,0.4044520722684576,126.95762582047992,2,0.5,12.0,800,800,0.9,B
