beta_abm,theta_hat,theta_low,theta_high,neg_loglik_cum_min,init_env,tau0
0.01,1.419732441471572,1.1697354237521045,1.6566046736768651,17.664260187231,6,100
0.015,1.9347826086956523,1.7300908570603992,2.126651680814448,-2.098613346041074,6,100
0.02,2.3210702341137126,2.1491730390601407,2.4657895550867135,-47.92032522137116,6,100
0.025,2.707357859531773,2.5952160247267124,2.8223451122155443,-166.2520885654901,6,100
0.03,3.0016722408026757,2.9099428736873754,3.079617803450071,-353.2021209974406,6,100
0.035,3.2040133779264215,3.141136359888102,3.2780775248672374,-608.1857434204087,6,100
0.04,3.3511705685618733,3.298196342631746,3.4188680178990825,-876.563218565926,6,100
0.045,3.627090301003345,3.5731999183461705,3.6761925176691705,-1610.9801414342282,6,100
0.05,3.7926421404682276,3.745940449897019,3.8450230075586336,-2267.755820582447,6,100
0.055,4.031772575250836,3.975856446082937,4.075356180729467,-3382.438877514081,6,100
0.06,4.436454849498328,4.380702144167161,4.486534550809573,-5919.146001352925,6,100
0.065,4.951505016722408,4.898809677054556,5.02014982401457,-9995.538351373574,6,100
0.07,5.337792642140468,5.273572940861064,5.40785583808412,-13280.88947100943,6,100
0.075,5.963210702341137,5.890077543987153,6.0,-18856.52829424482,6,100
0.08,6.0,5.9933823583505825,6.0,-23479.00606291282,6,100
