beta_abm,theta_hat,theta_low,theta_high,sigma_hat,neg_loglik_cum_min,init_env,tau0,trim_front,used_months
0.01,1.419732441471572,1.4041100475559527,6.0,0.022087281783758402,-43.088666180518054,9,140,1,18
0.015,2.0635451505016724,0.5,6.0,0.03992340058290228,-32.43337403435623,9,140,1,18
0.02,2.3578595317725757,2.333661041779426,2.3839325281630015,0.2448028533247407,0.20945628955978024,9,140,1,18
0.025,2.633779264214047,2.6061658169422977,6.0,0.3565924348322935,6.979981404790694,9,140,1,18
0.03,2.8545150501672243,2.8307111461926087,2.891177621480985,0.7999702070790423,21.523639320824344,9,140,1,18
0.035,3.093645484949833,3.0572821082015107,3.117366990874954,1.3411746471887895,30.824718580002767,9,140,1,18
0.04,3.3695652173913047,3.3453030575048492,3.396390999574829,2.0915547969654003,38.82323240282877,9,140,1,18
0.045,3.6086956521739135,3.5609241148977993,3.671070739035849,6.5709519202138384,59.42875039429037,9,140,1,18
0.05,3.7742474916387962,3.744512864171017,3.8103301989475558,4.718757643331925,53.46871356595517,9,140,1,18
0.055,4.050167224080267,4.005174048967446,4.087494048399809,7.062255418034811,60.726653964051216,9,140,1,18
0.06,4.344481605351171,4.325418772452448,4.372972380539751,4.4285858128276505,52.326339060367566,9,140,1,18
0.065,4.6755852842809364,4.650042895287267,6.0,2.994072189460947,45.280312745181064,9,140,1,18
0.07,5.411371237458194,5.386171967587208,5.43026012902556,4.257014208357034,51.61511803843172,9,140,1,18
