p_abm,p_hat,p_low,p_high,sigma_hat,neg_loglik_cum_min,beta_SM_fixed,init_env,tau0
0.93,0.916,0.9135714135717433,0.9180171976551708,2.1179594353140794,41.218440929081765,3.374,9,140
0.95,0.918,0.9163509197648573,0.9199525060317969,1.5797996529680696,35.64849483540667,3.374,9,140
0.98,0.923,0.9210807155299382,0.9256209407577761,1.6409717766764025,36.370315779855325,3.374,9,140
1.0,0.931,0.9282409779001318,0.9334308370598433,1.4383753374057369,33.86660266686724,3.374,9,140
