beta_abm,theta_hat,theta_low,theta_high,neg_loglik_cum_min,init_env,tau0
0.01,1.3093645484949834,1.047060376368046,1.5794572065567092,18.615534895806892,9,140
0.015,1.9899665551839467,1.7724424091833864,2.183343987769251,0.14131292520359762,9,140
0.02,2.4130434782608696,2.2586838692306945,2.5643146039590174,-51.764042853298335,9,140
0.025,2.725752508361204,2.6020075956313855,2.8321880396535444,-139.05528078056494,9,140
0.03,3.0016722408026757,2.918570237754647,3.0869269024540653,-311.8983759567495,9,140
0.035,3.2224080267558532,3.1464903008562937,3.281189759817187,-550.7413026428611,9,140
0.04,3.4799331103678934,3.4227700005806607,3.5305651793930335,-1073.9979641197926,9,140
0.045,3.7374581939799336,3.683345401433736,3.7816467771872597,-1916.9828534289804,9,140
0.05,3.884615384615385,3.8408843899501965,3.937039098638844,-2602.0179991861332,9,140
0.055,4.160535117056856,4.1126492660771135,4.210942569011394,-4078.376603050974,9,140
0.06,4.473244147157191,4.411751196768021,4.517858738983267,-6106.713517456443,9,140
0.065,4.767558528428094,4.714689929565061,4.82796604284756,-8459.710812218354,9,140
0.07,5.448160535117057,5.382396646931539,5.519564380355597,-14278.89694202285,9,140
