beta_abm,theta_hat,theta_low,theta_high,sigma_hat,neg_loglik_cum_min,init_env,tau0
0.01,1.4180602006688963,1.1379266715893204,1.6239488143306016,0.046941212574977714,18.79799748476412,6,100
0.015,1.9364548494983276,1.7389606846895664,2.0951079291406236,0.10780745304107556,24.377554078616626,6,100
0.02,2.321070234113712,2.145360121979409,2.4550633037879277,0.28302356307488336,30.981644276704877,6,100
0.025,2.722408026755853,2.590883648365554,2.8223795945077423,0.6646865597245692,37.22379430056577,6,100
0.03,3.0066889632107023,2.887280627034513,3.095787185308913,1.6661043433589848,45.789108941216476,6,100
0.035,3.2240802675585285,3.1497422067970193,3.2912006339891127,2.8478027619950153,50.46932098628923,6,100
0.04,3.374581939799331,3.299319225114235,3.4535922648661397,3.9237552525239834,56.94887752250636,6,100
0.045,3.6254180602006687,3.553404756844858,3.70705859729464,7.193569411056022,67.14916424440543,6,100
0.05,3.826086956521739,3.740542637556304,3.913082272119068,9.54897217528435,72.9819374156242,6,100
0.055,4.093645484949833,3.9926843373746586,4.195147208501867,12.288850542599288,78.15607361958584,6,100
0.06,4.511705685618729,4.398213240153801,4.624122318874942,14.13470532705831,78.41081482732255,6,100
0.065,5.046822742474916,4.922902236197576,5.167435898258065,10.724707233850275,75.8118028700181,6,100
0.07,5.414715719063545,5.271672124643266,5.555702193785053,5.774912463627653,76.25088765153102,6,100
