beta_abm,theta_hat,theta_low,theta_high,sigma_hat,neg_loglik_cum_min,init_env,tau0,used_months
0.02,2.020100502512563,1.8425329237373385,2.1811698010765452,0.2076420722848895,43.21848990677455,2,60,36
0.025,2.655778894472362,2.5599242424563733,2.7474120268951006,0.6293699203996702,62.47247774730692,2,60,36
0.03,2.8768844221105527,2.812336356228577,2.945751016867688,0.41688958960681377,70.67176239299303,2,60,36
0.035,3.1809045226130657,3.1254461235461792,3.221151136595062,0.9553524758689965,90.91603995418563,2,60,36
0.04,3.3743718592964824,3.3314850632463635,3.405011948472382,1.816848409349117,101.66569883403096,2,60,36
0.045,3.5678391959798996,3.5148218556521647,3.5942965883458995,5.075567019233734,118.68327132205306,2,60,36
0.05,3.761306532663317,3.714610147301531,3.8128576404665555,6.288330562281834,133.0608710434292,2,60,36
0.055,4.010050251256281,3.9551135062908,4.056875250880455,5.094036779720386,136.98818104311277,2,60,36
0.06,4.535175879396985,4.4702871825793595,4.594812364337843,12.1807639129434,146.86635085659427,2,60,36
0.065,5.005025125628141,4.928686415508493,5.064610100007141,15.372690057813934,153.62800438776893,2,60,36
