beta_abm,theta_hat,theta_low,theta_high,sigma_hat,neg_loglik_cum_min,init_env,tau0
0.01,1.1672240802675584,1.0,1.4183166293014784,0.030312904041991336,15.434618443548626,4,70
0.015,1.819397993311037,1.5734571823151968,2.012451452679569,0.10650939247491376,24.151876591849746,4,70
0.02,2.220735785953177,2.0172887229648264,2.380352096416487,0.20673830365040685,30.12165231998055,4,70
0.025,2.5384615384615383,2.3989549037236215,2.6506137394197107,0.30879350329131716,31.60383102829669,4,70
0.03,2.7558528428093645,2.6343000792002518,2.84850332691795,0.8227072333757277,36.32168794835078,4,70
0.035,3.0568561872909696,2.9714267008833777,3.1423754657685152,1.6005064541421856,43.36480750543405,4,70
0.04,3.3076923076923075,3.2215956398575702,3.386048789170003,2.1301528156511553,49.36471947645177,4,70
0.045,3.474916387959866,3.3876523701013057,3.5539639093681163,3.1530524398132935,54.598322221048335,4,70
0.05,3.692307692307692,3.6126585162550753,3.779326741353447,5.455141239455096,61.79458364354261,4,70
0.055,3.8762541806020065,3.7836023328288713,3.967644204133774,7.075976597516808,65.55648430890416,4,70
0.06,4.444816053511706,4.322776382704775,4.556099487154822,4.5437571567929655,70.11993524789888,4,70
0.065,4.74581939799331,4.623952485036458,4.8813286089031696,3.3045829986408894,73.04522301884073,4,70
0.07,5.096989966555184,4.965278770782764,5.228689973912409,5.048163352319086,74.00172781626728,4,70
