beta_abm,theta_hat,theta_low,theta_high,sigma_hat,neg_loglik_cum_min,init_env,tau0
0.01,1.0752508361204014,1.0654045577158853,1.091181367249492,0.021356227235028016,-46.121994122331486,2,40
0.015,1.6471571906354514,1.6317760155547478,1.6639057694292205,0.05743503310763989,-27.32508361912835,2,40
0.02,2.1588628762541804,1.0,5.5,0.0465302249807538,-31.325578250369404,2,40
0.025,2.5351170568561874,2.5203059070072946,2.542442603375117,0.14038021552259805,-10.34478140473211,2,40
0.03,2.851170568561873,2.8258372453273055,2.872391528639506,0.5770962335393638,16.51465349836931,2,40
0.035,3.031772575250836,3.0028108982840314,3.0706985254990204,1.2391669300187456,31.0341792718327,2,40
0.04,3.2274247491638794,3.2084182289799785,3.259462052954377,1.388100298411115,33.190618421852044,2,40
0.045,3.4983277591973243,3.46164732005897,3.5274476358378646,3.091887125462894,48.40668300038802,2,40
0.05,3.678929765886288,3.6250616366717265,3.7183523452481912,5.679006857638065,59.95858313120712,2,40
0.055,4.040133779264214,4.010885210241471,4.080145517428225,5.797312334319023,60.35032610175173,2,40
0.06,4.265886287625419,4.233639086323593,4.2936457281044955,5.56414468204826,59.57035439325939,2,40
0.065,4.491638795986622,4.4534790559360635,4.531129632982689,7.606670177542802,65.51131695993513,2,40
0.07,5.2441471571906355,5.199081231794352,5.2880048148311465,9.082433608845704,68.88033346155034,2,40
