cleaningDay,first_clean_day,tau_offset_days,beta_abm_actual,beta_sm_mapped,n_runs,abm_total,sm_total,rmse_monthly,rmse_cumulative
60,20,40,0.03847,3.8676771929824563,50,7.399999999999999,7.6889851630667465,0.29040851168754583,0.49164740637762006
90,20,70,0.03847,3.656459649122808,50,9.299999999999997,10.52056212962657,0.5696769828867521,1.265749965961822
180,20,160,0.03847,3.323498245614035,50,19.480000000000004,26.933374631289656,1.0460147884492565,3.5193437884283703
360,20,340,0.03847,3.252933333333333,50,47.440000000000005,60.253538512134035,1.3744066426225616,5.230799804473801
