0.01,0.02,0.03,0.04
,"[5, 45, 30, 26, 24, 26, 26, 23, 26, 22, 31, 25, 26, 29, 21, 27, 26, 27, 26]",,
,"[3, 49, 21, 26, 26, 23, 23, 24, 21, 27, 23, 23, 23, 28, 20, 21, 25, 25, 24]",,
,"[5, 46, 21, 22, 22, 24, 21, 22, 16, 24, 23, 21, 23, 21, 20, 21, 24, 25, 19]",,
,"[3, 34, 15, 15, 16, 16, 16, 16, 10, 17, 16, 14, 17, 16, 18, 15, 17, 17, 16]",,
,"[4, 49, 32, 27, 28, 30, 28, 27, 17, 26, 30, 25, 30, 27, 24, 28, 26, 31, 31]",,
,"[5, 37, 24, 25, 25, 25, 24, 23, 18, 22, 24, 24, 24, 26, 27, 23, 24, 24, 28]",,
,"[6, 41, 19, 24, 24, 22, 22, 23, 16, 22, 20, 24, 23, 22, 22, 23, 22, 25, 23]",,
,"[2, 50, 21, 25, 25, 27, 23, 24, 18, 28, 26, 24, 23, 25, 24, 24, 24, 27, 25]",,
,"[4, 57, 31, 33, 35, 33, 33, 32, 28, 33, 34, 33, 32, 34, 26, 34, 29, 34, 33]",,
,"[4, 53, 19, 31, 27, 28, 28, 29, 25, 31, 30, 24, 31, 30, 23, 29, 27, 26, 31]",,
,"[5, 46, 20, 21, 20, 24, 22, 21, 19, 24, 22, 21, 22, 24, 17, 19, 21, 26, 21]",,
,"[5, 44, 32, 27, 27, 31, 30, 27, 27, 29, 29, 23, 30, 28, 31, 28, 26, 32, 27]",,
,"[4, 41, 24, 23, 26, 25, 25, 25, 20, 26, 23, 24, 25, 26, 22, 24, 24, 26, 26]",,
,"[1, 49, 23, 25, 24, 27, 24, 24, 20, 25, 25, 22, 25, 23, 20, 25, 24, 23, 25]",,
,"[4, 44, 24, 25, 24, 25, 26, 23, 20, 24, 23, 23, 26, 26, 18, 20, 27, 27, 21]",,
,"[2, 46, 20, 20, 19, 22, 21, 18, 16, 20, 20, 19, 21, 23, 19, 21, 20, 21, 21]",,
,"[2, 67, 36, 45, 43, 52, 39, 45, 42, 47, 47, 38, 44, 46, 44, 45, 42, 44, 49]",,
,"[5, 55, 29, 31, 34, 36, 30, 31, 29, 33, 33, 33, 30, 31, 25, 34, 30, 33, 35]",,
,"[5, 44, 25, 26, 28, 27, 27, 27, 19, 25, 28, 24, 26, 30, 24, 23, 28, 28, 26]",,
,"[4, 48, 24, 27, 28, 25, 28, 27, 22, 27, 25, 26, 27, 27, 20, 26, 25, 29, 26]",,
,"[2, 47, 25, 21, 22, 23, 22, 22, 19, 22, 22, 21, 21, 26, 19, 24, 21, 21, 22]",,
,"[5, 33, 32, 22, 22, 24, 21, 21, 19, 21, 23, 23, 21, 25, 22, 21, 23, 23, 23]",,
,"[6, 52, 30, 32, 34, 34, 30, 34, 26, 33, 34, 26, 32, 39, 21, 31, 31, 35, 34]",,
,"[5, 43, 21, 20, 22, 22, 26, 21, 10, 21, 21, 22, 21, 25, 16, 22, 21, 23, 23]",,
,"[4, 33, 28, 18, 17, 20, 18, 18, 19, 19, 17, 17, 20, 19, 15, 18, 19, 19, 18]",,
,"[5, 57, 29, 37, 36, 38, 35, 36, 30, 39, 37, 34, 38, 37, 31, 35, 36, 40, 40]",,
,"[5, 45, 24, 27, 25, 29, 26, 26, 21, 28, 26, 25, 25, 26, 25, 23, 30, 24, 28]",,
