beta,mean,std,n,max,median,nonzero_mean,disease_free(%)
0.7,"[13.46, 6.22, 4.02, 6.22, 7.44, 10.48, 12.02, 6.42, 5.46, 8.24, 10.88, 13.66, 16.16, 7.94, 4.92, 7.48, 10.14, 12.56, 14.7]","[2.714479692316743, 2.6779843166082964, 3.5804468994805667, 5.647264824673976, 6.720595211735342, 8.364783320564856, 9.321995494527982, 5.448265779126418, 5.561330775992379, 7.656526627655648, 8.744461104036088, 10.11456375727594, 11.805693541677252, 6.217427120602219, 4.97931722227054, 7.93029633746432, 9.734495364424392, 11.506797990753117, 12.91239714383042]",50,"[19.0, 17.0, 13.0, 19.0, 27.0, 34.0, 31.0, 21.0, 20.0, 27.0, 33.0, 35.0, 35.0, 22.0, 20.0, 28.0, 28.0, 33.0, 39.0]","[14.0, 6.0, 4.0, 5.5, 7.0, 10.0, 13.0, 6.0, 4.0, 6.0, 11.0, 13.0, 16.5, 7.5, 4.0, 5.0, 7.0, 9.5, 12.0]","[13.46, 6.22, 5.583333333333333, 8.405405405405405, 9.789473684210526, 13.435897435897436, 15.41025641025641, 8.447368421052632, 7.184210526315789, 10.842105263157896, 13.268292682926829, 16.261904761904763, 19.238095238095237, 9.682926829268293, 7.6875, 12.466666666666667, 14.911764705882353, 18.470588235294116, 21.61764705882353]","[0.0, 0.0, 28.000000000000004, 26.0, 24.0, 22.0, 22.0, 24.0, 24.0, 24.0, 18.0, 16.0, 16.0, 18.0, 36.0, 40.0, 32.0, 32.0, 32.0]"
0.8,"[9.86, 4.8, 2.68, 3.46, 3.8, 5.46, 5.66, 3.48, 1.6, 2.68, 4.2, 4.92, 5.42, 3.14, 1.86, 2.38, 3.3, 4.14, 4.86]","[2.2091627373283296, 2.2181073012818837, 3.120512778374735, 3.6562822648149034, 3.805259518088091, 5.452375629026307, 5.022389869374937, 3.4654869787664766, 2.0784609690826534, 3.3132461423806117, 4.551922670696418, 5.237709423020717, 5.786501533742129, 3.532760959929217, 2.4820153101864624, 3.565893997302781, 4.373785545725807, 5.6143031624592545, 6.471506779722941]",50,"[14.0, 12.0, 14.0, 13.0, 13.0, 22.0, 19.0, 12.0, 7.0, 14.0, 18.0, 19.0, 21.0, 13.0, 9.0, 12.0, 13.0, 21.0, 22.0]","[10.0, 5.0, 1.5, 3.0, 2.5, 5.0, 5.0, 2.5, 1.0, 1.0, 2.5, 4.0, 4.5, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0]","[9.86, 4.8, 3.9411764705882355, 5.40625, 5.277777777777778, 7.378378378378378, 7.447368421052632, 4.833333333333333, 3.076923076923077, 4.785714285714286, 7.0, 8.482758620689655, 9.344827586206897, 5.413793103448276, 4.2272727272727275, 5.409090909090909, 7.173913043478261, 8.625, 10.125]","[0.0, 0.0, 32.0, 36.0, 28.000000000000004, 26.0, 24.0, 28.000000000000004, 48.0, 44.0, 40.0, 42.0, 42.0, 42.0, 56.00000000000001, 56.00000000000001, 54.0, 52.0, 52.0]"
0.9,"[6.84, 3.12, 1.32, 1.68, 1.68, 2.1, 2.12, 1.28, 0.34, 0.36, 0.28, 0.96, 0.86, 0.44, 0.3, 0.32, 0.26, 0.54, 0.5]","[2.1941741043043965, 1.716275036233995, 1.4483093592185343, 1.9640773915505467, 1.782582396412575, 2.202271554554524, 2.4219000805152966, 1.4427751037497145, 0.8856635930193814, 0.9112628599915616, 0.8494704232638121, 1.886372179608256, 1.612575579624099, 0.9414881836751857, 0.8774964387392122, 0.9260669522232186, 0.6575712889109439, 1.3886684269471963, 1.40356688476182]",50,"[13.0, 7.0, 5.0, 8.0, 6.0, 10.0, 12.0, 5.0, 3.0, 5.0, 4.0, 9.0, 6.0, 4.0, 4.0, 5.0, 3.0, 6.0, 8.0]","[7.0, 3.0, 1.0, 1.0, 1.0, 1.5, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[6.84, 3.3191489361702127, 2.357142857142857, 3.111111111111111, 2.8, 3.28125, 3.4193548387096775, 2.2857142857142856, 2.4285714285714284, 2.0, 2.3333333333333335, 3.2, 2.8666666666666667, 2.0, 2.5, 2.2857142857142856, 1.625, 3.375, 3.125]","[0.0, 6.0, 44.0, 46.0, 40.0, 36.0, 38.0, 44.0, 86.0, 82.0, 88.0, 70.0, 70.0, 78.0, 88.0, 86.0, 84.0, 84.0, 84.0]"
0.91,"[6.4, 3.12, 1.28, 1.44, 1.54, 1.6, 2.22, 1.42, 0.52, 0.52, 0.58, 0.72, 0.98, 0.5, 0.18, 0.2, 0.24, 0.2, 0.32]","[2.218107301281884, 1.914575671003891, 1.6252999723128032, 1.4444376068214226, 1.8133946068079059, 1.6613247725836149, 2.54, 1.5632018423735305, 1.0438390680559915, 0.9846826900072939, 0.9184770002564028, 1.4837789592793127, 1.8274572498419759, 1.044030650891055, 0.6225752966509353, 0.6324555320336754, 0.7631513611335569, 0.5291502622129178, 0.9887365675446625]",50,"[11.0, 7.0, 9.0, 5.0, 7.0, 5.0, 13.0, 6.0, 5.0, 3.0, 3.0, 7.0, 8.0, 4.0, 3.0, 3.0, 4.0, 2.0, 4.0]","[6.0, 3.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[6.4, 3.391304347826087, 2.206896551724138, 2.3225806451612905, 2.75, 2.6666666666666665, 3.5806451612903225, 2.3666666666666667, 2.0, 2.0, 1.6111111111111112, 2.5714285714285716, 2.8823529411764706, 2.272727272727273, 2.25, 2.0, 2.0, 1.4285714285714286, 2.6666666666666665]","[0.0, 8.0, 42.0, 38.0, 44.0, 40.0, 38.0, 40.0, 74.0, 74.0, 64.0, 72.0, 66.0, 78.0, 92.0, 90.0, 88.0, 86.0, 88.0]"
0.93,"[5.86, 2.0, 0.7, 0.96, 1.18, 1.34, 1.42, 0.54, 0.12, 0.26, 0.38, 0.52, 0.74, 0.32, 0.14, 0.1, 0.32, 0.24, 0.18]","[2.144854307406449, 1.1661903789690602, 1.2206555615733705, 1.3410443691392167, 1.7853851125177445, 1.7619307591389626, 2.098475637218598, 0.9210863151735562, 0.4308131845707605, 0.8440379138403676, 0.8919641248391101, 1.11785508899857, 1.5723867208800772, 0.7858753081755397, 0.5660388679233963, 0.412310562561766, 1.173712060089698, 0.8380930735902785, 0.766550715869472]",50,"[12.0, 5.0, 5.0, 5.0, 8.0, 6.0, 8.0, 4.0, 2.0, 4.0, 4.0, 5.0, 7.0, 3.0, 3.0, 2.0, 7.0, 4.0, 5.0]","[6.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[5.86, 2.2222222222222223, 1.8421052631578947, 2.0869565217391304, 2.5652173913043477, 2.7916666666666665, 3.227272727272727, 1.6875, 1.5, 2.6, 1.9, 2.3636363636363638, 3.0833333333333335, 2.0, 2.3333333333333335, 1.6666666666666667, 3.2, 2.4, 2.25]","[0.0, 10.0, 62.0, 54.0, 54.0, 52.0, 56.00000000000001, 68.0, 92.0, 90.0, 80.0, 78.0, 76.0, 84.0, 94.0, 94.0, 90.0, 90.0, 92.0]"
0.95,"[5.86, 2.22, 0.84, 0.94, 0.9, 1.24, 1.02, 0.48, 0.06, 0.1, 0.12, 0.2, 0.18, 0.06, 0.02, 0.04, 0.02, 0.0, 0.0]","[2.0494877408757532, 1.446236495183274, 1.2224565431948902, 1.271377206025026, 1.1357816691600549, 1.5818975946628144, 1.334016491652184, 0.7547184905645281, 0.3104834939252, 0.29999999999999977, 0.38157568056677843, 0.5999999999999998, 0.6539113089708724, 0.2374868417407584, 0.13999999999999993, 0.27999999999999986, 0.13999999999999987, 0.0, 0.0]",50,"[10.0, 7.0, 6.0, 5.0, 4.0, 7.0, 5.0, 3.0, 2.0, 1.0, 2.0, 3.0, 3.0, 1.0, 1.0, 2.0, 1.0, 0.0, 0.0]","[6.0, 2.0, 0.0, 0.5, 0.5, 1.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[5.86, 2.4130434782608696, 1.75, 1.88, 1.8, 2.2142857142857144, 2.04, 1.3333333333333333, 1.5, 1.0, 1.2, 1.6666666666666667, 2.25, 1.0, 1.0, 2.0, 1.0, 0.0, 0.0]","[0.0, 8.0, 52.0, 50.0, 50.0, 44.0, 50.0, 64.0, 96.0, 90.0, 90.0, 88.0, 92.0, 94.0, 98.0, 98.0, 98.0, 100.0, 100.0]"
0.97,"[4.78, 1.78, 0.56, 0.6, 0.64, 0.72, 0.74, 0.18, 0.14, 0.06, 0.14, 0.28, 0.32, 0.18, 0.0, 0.0, 0.02, 0.04, 0.1]","[2.0522183119736552, 1.3898201322473356, 0.8522910301065006, 0.8944271909999155, 0.9112628599915613, 1.149608629055993, 1.054703749874817, 0.43312815655415443, 0.6003332407921455, 0.3104834939252002, 0.4903060268852506, 0.8494704232638124, 0.7599999999999998, 0.5173006862551028, 0.0, 0.0, 0.13999999999999993, 0.27999999999999986, 0.5744562646538034]",50,"[9.0, 6.0, 3.0, 3.0, 3.0, 4.0, 5.0, 2.0, 3.0, 2.0, 2.0, 4.0, 3.0, 2.0, 0.0, 0.0, 1.0, 2.0, 4.0]","[5.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.78, 2.0697674418604652, 1.5555555555555556, 1.5789473684210527, 1.5238095238095237, 2.0, 1.6818181818181819, 1.125, 2.3333333333333335, 1.5, 1.75, 2.0, 2.0, 1.5, 0.0, 0.0, 1.0, 2.0, 2.5]","[0.0, 14.000000000000002, 64.0, 62.0, 57.99999999999999, 64.0, 56.00000000000001, 84.0, 94.0, 96.0, 92.0, 86.0, 84.0, 88.0, 100.0, 100.0, 98.0, 98.0, 96.0]"
0.99,"[4.26, 2.22, 0.36, 0.54, 0.44, 0.7, 0.48, 0.36, 0.16, 0.1, 0.08, 0.12, 0.12, 0.02, 0.04, 0.0, 0.02, 0.04, 0.0]","[2.2433011389467974, 1.3006152390311287, 0.52, 0.8296987405076618, 0.8522910301065011, 1.063014581273465, 0.8059776671843953, 0.6858571279792899, 0.46303347611160917, 0.36055512754639873, 0.2712931993250108, 0.38157568056677843, 0.38157568056677843, 0.13999999999999996, 0.27999999999999975, 0.0, 0.13999999999999987, 0.27999999999999975, 0.0]",50,"[9.0, 5.0, 2.0, 3.0, 4.0, 4.0, 3.0, 3.0, 2.0, 2.0, 1.0, 2.0, 2.0, 1.0, 2.0, 0.0, 1.0, 2.0, 0.0]","[5.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.346938775510204, 2.522727272727273, 1.0588235294117647, 1.5, 1.4666666666666666, 1.8421052631578947, 1.5, 1.3846153846153846, 1.3333333333333333, 1.25, 1.0, 1.2, 1.2, 1.0, 2.0, 0.0, 1.0, 2.0, 0.0]","[2.0, 12.0, 66.0, 64.0, 70.0, 62.0, 68.0, 74.0, 88.0, 92.0, 92.0, 90.0, 90.0, 98.0, 98.0, 100.0, 98.0, 98.0, 100.0]"
