beta,0.70,0.80,0.90,0.95,1.00
0.0539423920928398,"[0, 84, 26, 28, 54, 30, 49, 28, 47, 34, 28, 46, 36, 44, 33, 34, 46, 32, 40, 38, 41, 40, 28, 41, 41, 32, 38, 41, 43, 34, 31, 48, 33, 42, 28, 44]","[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 32, 0, 1, 3, 3, 0, 1, 0, 2, 0, 1, 2, 0, 2, 2, 2, 0, 0, 2, 0, 2, 0, 0, 0, 0, 2, 2, 3, 0, 0, 2, 1, 0, 0, 0]","[0, 0, 20, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0.0539565379722961,"[0, 74, 21, 23, 44, 25, 39, 23, 39, 27, 23, 38, 29, 36, 24, 30, 36, 28, 32, 31, 33, 31, 23, 35, 32, 26, 31, 36, 33, 27, 26, 39, 26, 35, 23, 32]","[0, 56, 12, 14, 25, 17, 21, 14, 20, 19, 14, 19, 21, 16, 19, 19, 18, 19, 14, 20, 17, 24, 14, 14, 19, 20, 14, 20, 22, 14, 18, 21, 16, 20, 14, 15]","[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 9, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0.0539573146666884,"[2, 79, 26, 27, 52, 29, 47, 27, 46, 32, 27, 45, 33, 43, 31, 35, 43, 31, 39, 35, 38, 41, 27, 40, 39, 30, 37, 42, 39, 33, 29, 49, 29, 40, 29, 41]","[0, 44, 6, 8, 14, 10, 9, 8, 8, 13, 7, 9, 13, 8, 9, 12, 9, 9, 8, 11, 8, 12, 8, 8, 8, 11, 8, 13, 11, 8, 8, 11, 10, 8, 7, 7]","[0, 24, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 4, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0.0539627088319772,"[0, 50, 9, 11, 20, 13, 15, 11, 15, 15, 11, 13, 18, 11, 14, 17, 13, 13, 11, 16, 12, 19, 10, 11, 14, 16, 11, 15, 18, 11, 11, 17, 13, 15, 11, 11]","[1, 61, 17, 18, 33, 21, 29, 18, 23, 28, 18, 26, 25, 24, 24, 23, 28, 21, 19, 28, 20, 32, 18, 19, 27, 23, 23, 25, 29, 18, 22, 31, 20, 24, 18, 21]","[0, 26, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 19, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0.0539679346017788,"[0, 44, 6, 8, 13, 11, 9, 8, 10, 11, 8, 8, 14, 8, 8, 12, 9, 9, 8, 12, 8, 10, 8, 8, 9, 11, 8, 13, 11, 8, 8, 12, 9, 8, 7, 8]","[0, 32, 0, 1, 3, 3, 0, 1, 0, 1, 1, 1, 2, 0, 2, 2, 2, 0, 0, 2, 0, 2, 0, 0, 0, 0, 2, 2, 3, 0, 0, 2, 1, 0, 0, 0]","[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 17, 18, 3, 4, 4, 2, 2, 0, 3, 1, 6, 1, 2, 4, 3, 2, 1, 3, 3, 1, 4, 0, 1, 2, 3, 2, 4, 4, 1, 2, 3, 3, 2, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0.0539774855910962,"[0, 54, 11, 13, 23, 16, 19, 13, 18, 18, 13, 16, 21, 14, 18, 18, 17, 16, 13, 21, 13, 21, 13, 14, 17, 18, 15, 21, 18, 13, 15, 22, 14, 15, 13, 15]","[1, 45, 7, 9, 16, 11, 11, 9, 12, 12, 9, 10, 15, 9, 9, 15, 9, 12, 9, 11, 11, 14, 9, 9, 9, 11, 11, 13, 14, 9, 9, 13, 11, 10, 9, 9]","[0, 30, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 25, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0.0539796601546498,"[0, 70, 19, 21, 40, 23, 35, 21, 31, 29, 21, 34, 27, 30, 26, 26, 34, 24, 26, 30, 27, 35, 21, 25, 30, 26, 28, 34, 27, 27, 23, 35, 24, 31, 21, 28]","[1, 65, 17, 19, 36, 21, 31, 19, 29, 25, 19, 28, 27, 26, 24, 25, 28, 23, 23, 27, 24, 31, 19, 22, 26, 25, 25, 30, 26, 22, 21, 33, 21, 28, 19, 22]","[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 3, 23, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0.0539834273915001,"[2, 81, 27, 28, 53, 31, 49, 28, 47, 34, 28, 47, 35, 44, 33, 36, 45, 31, 40, 40, 37, 40, 31, 40, 41, 31, 39, 42, 42, 35, 29, 47, 34, 43, 28, 42]","[0, 38, 3, 5, 7, 8, 5, 5, 4, 6, 3, 7, 6, 5, 5, 6, 6, 4, 5, 5, 5, 6, 5, 2, 6, 5, 5, 8, 7, 3, 5, 6, 6, 5, 0, 4]","[0, 26, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 22, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0.0539926462867019,"[0, 44, 6, 8, 13, 11, 9, 8, 9, 12, 7, 9, 13, 8, 9, 12, 9, 9, 8, 12, 8, 10, 8, 8, 9, 11, 8, 13, 11, 8, 8, 11, 10, 8, 8, 6]","[0, 36, 2, 4, 5, 7, 3, 3, 3, 4, 2, 6, 4, 4, 4, 5, 4, 3, 4, 4, 3, 4, 4, 0, 4, 5, 4, 4, 8, 0, 4, 5, 4, 4, 0, 1]","[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 13, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 2, 2, 0, 0, 0, 2, 3, 2, 2, 1, 1, 1, 2, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
0.054012679086094,"[1, 65, 17, 19, 35, 22, 31, 19, 27, 27, 19, 28, 27, 26, 24, 24, 30, 22, 22, 28, 23, 33, 19, 21, 27, 25, 25, 27, 28, 20, 26, 28, 24, 26, 19, 23]","[0, 62, 15, 17, 32, 19, 26, 18, 24, 24, 17, 24, 25, 22, 22, 22, 25, 21, 18, 26, 19, 30, 17, 17, 26, 22, 21, 27, 23, 18, 22, 28, 20, 20, 17, 23]","[0, 27, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 21, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
