iteration,beta_draw
1,0.0383321421668206
2,0.0395115740060143
3,0.0382380768526006
4,0.03786077669454
5,0.0384799105783557
6,0.0375354134634472
7,0.0381223462047168
8,0.038704020344792
9,0.0385337069593089
10,0.037403384091571
11,0.0387066504209964
12,0.038237900389276
13,0.0320083588468544
14,0.038482327094932
15,0.0374453131802799
16,0.0377181905478447
17,0.0408773098543245
18,0.0371832012447602
19,0.0371117193355534
20,0.0363562740626536
21,0.0324965677375413
22,0.0376730236036966
23,0.0407288626619702
24,0.0383381687975696
25,0.0393135405973714
26,0.0380730860535659
27,0.0294904999283481
28,0.0368529971312809
29,0.0368028681544249
30,0.036854829542846
31,0.0385456277706136
32,0.0330463091127468
33,0.0360133560244264
34,0.0384846522212703
35,0.0344684835561983
36,0.0382464179265606
37,0.0383381687975696
38,0.0392588037669113
39,0.0382125499271753
40,0.0378378423932286
41,0.0380737172408688
42,0.0361597176388785
43,0.0382782256857063
44,0.0342281399939615
45,0.0360484804537978
46,0.0363975567773033
47,0.0366097950218945
48,0.0399377628637549
49,0.0367424005806484
50,0.0371109439611614
