beta,mean,std,n,max,median,nonzero_mean,disease_free(%)
0.01,"[0.0, 0.03333333333333333, 0.04, 0.06333333333333334, 0.02666666666666667, 0.0033333333333333335, 0.0, 0.0033333333333333335, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.19753215450257836, 0.21264381322847759, 0.2699973161433983, 0.16137646493112925, 0.05773502691896228, 0.0, 0.05773502691896225, 0.0, 0.12892662090737952, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",300,"[0.0, 2.0, 2.0, 2.0, 1.0, 1.0, 0.0, 1.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, np.float64(1.1111111111111112), np.float64(1.0909090909090908), np.float64(1.1176470588235294), np.float64(1.0), np.float64(1.0), 0.0, np.float64(1.0), 0.0, np.float64(1.5), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[np.float64(100.0), np.float64(97.0), np.float64(96.33333333333334), np.float64(94.33333333333334), np.float64(97.33333333333334), np.float64(99.66666666666667), np.float64(100.0), np.float64(99.66666666666667), np.float64(100.0), np.float64(99.33333333333333), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0)]"
0.02,"[0.01, 0.15666666666666668, 0.14666666666666667, 0.15, 0.10666666666666667, 0.006666666666666667, 0.02666666666666667, 0.02, 0.023333333333333334, 0.03, 0.016666666666666666, 0.0, 0.0033333333333333335, 0.01, 0.013333333333333334, 0.006666666666666667, 0.01, 0.006666666666666667, 0.0]","[0.09966499068325411, 0.489476775685364, 0.4610104746619628, 0.504991804297874, 0.3684309434469213, 0.08151300584956389, 0.1809180108346586, 0.14023391829177723, 0.17191296960754857, 0.23654423953570733, 0.1282329958564096, 0.0, 0.05773502691896235, 0.09966499068325413, 0.11488931224930876, 0.08151300584956392, 0.09966499068325417, 0.08151300584956392, 0.0]",300,"[1.0, 4.0, 2.0, 4.0, 2.0, 1.0, 2.0, 1.0, 2.0, 3.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[np.float64(1.0), np.float64(1.3823529411764706), np.float64(1.4193548387096775), np.float64(1.5), np.float64(1.2307692307692308), np.float64(1.0), np.float64(1.1428571428571428), np.float64(1.0), np.float64(1.1666666666666667), np.float64(1.5), np.float64(1.0), 0.0, np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), 0.0]","[np.float64(99.0), np.float64(88.66666666666667), np.float64(89.66666666666666), np.float64(90.0), np.float64(91.33333333333333), np.float64(99.33333333333333), np.float64(97.66666666666667), np.float64(98.0), np.float64(98.0), np.float64(98.0), np.float64(98.33333333333333), np.float64(100.0), np.float64(99.66666666666667), np.float64(99.0), np.float64(98.66666666666667), np.float64(99.33333333333333), np.float64(99.0), np.float64(99.33333333333333), np.float64(100.0)]"
0.03,"[0.016666666666666666, 0.38666666666666666, 0.35, 0.23333333333333334, 0.19, 0.02666666666666667, 0.043333333333333335, 0.05333333333333334, 0.07, 0.06333333333333334, 0.04, 0.02666666666666667, 0.02666666666666667, 0.043333333333333335, 0.03, 0.07, 0.06333333333333334, 0.006666666666666667, 0.01]","[0.12823299585640954, 1.0460095644489191, 0.9784466564569445, 0.7532908108479179, 0.6286631779453526, 0.18091801083465894, 0.24831651683015005, 0.30131632433916844, 0.31426508206611115, 0.269997316143398, 0.2278296611836353, 0.18091801083465897, 0.18091801083465894, 0.29734987031015764, 0.22195543256884373, 0.3348738094079981, 0.346007649047755, 0.0815130058495638, 0.09966499068325392]",300,"[1.0, 6.0, 6.0, 5.0, 5.0, 2.0, 2.0, 3.0, 3.0, 2.0, 2.0, 2.0, 2.0, 4.0, 3.0, 3.0, 4.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[np.float64(1.0), np.float64(2.4680851063829787), np.float64(2.5), np.float64(1.9444444444444444), np.float64(1.8387096774193548), np.float64(1.1428571428571428), np.float64(1.3), np.float64(1.4545454545454546), np.float64(1.2352941176470589), np.float64(1.1176470588235294), np.float64(1.2), np.float64(1.1428571428571428), np.float64(1.1428571428571428), np.float64(1.4444444444444444), np.float64(1.2857142857142858), np.float64(1.4), np.float64(1.4615384615384615), np.float64(1.0), np.float64(1.0)]","[np.float64(98.33333333333333), np.float64(84.33333333333334), np.float64(86.0), np.float64(88.0), np.float64(89.66666666666666), np.float64(97.66666666666667), np.float64(96.66666666666667), np.float64(96.33333333333334), np.float64(94.33333333333334), np.float64(94.33333333333334), np.float64(96.66666666666667), np.float64(97.66666666666667), np.float64(97.66666666666667), np.float64(97.0), np.float64(97.66666666666667), np.float64(95.0), np.float64(95.66666666666667), np.float64(99.33333333333333), np.float64(99.0)]"
0.04,"[0.043333333333333335, 0.6733333333333333, 0.5566666666666666, 0.5033333333333333, 0.2966666666666667, 0.09, 0.14666666666666667, 0.17666666666666667, 0.24666666666666667, 0.26, 0.19, 0.07666666666666666, 0.12333333333333334, 0.20666666666666667, 0.19666666666666666, 0.20666666666666667, 0.20333333333333334, 0.056666666666666664, 0.15]","[0.23446135997207662, 1.617201293066677, 1.4142569183115845, 1.3599585212377554, 0.8272060131447506, 0.3300450967463191, 0.5533318558495267, 0.6378178377898318, 0.8335495817524546, 0.8414830036815655, 0.6339608462003404, 0.312700325980722, 0.5121815975332666, 0.7698035771417007, 0.6158352586323758, 0.6260420521491252, 0.645531765101253, 0.3169496476614714, 0.567367918122842]",300,"[2.0, 7.0, 8.0, 9.0, 5.0, 2.0, 4.0, 4.0, 7.0, 6.0, 5.0, 2.0, 5.0, 6.0, 4.0, 3.0, 5.0, 3.0, 4.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[np.float64(1.1818181818181819), np.float64(4.04), np.float64(3.4791666666666665), np.float64(3.1458333333333335), np.float64(2.0697674418604652), np.float64(1.173913043478261), np.float64(1.8333333333333333), np.float64(1.962962962962963), np.float64(2.3125), np.float64(2.108108108108108), np.float64(1.78125), np.float64(1.2105263157894737), np.float64(1.6818181818181819), np.float64(2.1379310344827585), np.float64(1.7352941176470589), np.float64(1.8235294117647058), np.float64(1.7428571428571429), np.float64(1.5454545454545454), np.float64(1.875)]","[np.float64(96.33333333333334), np.float64(83.33333333333334), np.float64(84.0), np.float64(84.0), np.float64(85.66666666666667), np.float64(92.33333333333333), np.float64(92.0), np.float64(91.0), np.float64(89.33333333333333), np.float64(87.66666666666667), np.float64(89.33333333333333), np.float64(93.66666666666667), np.float64(92.66666666666666), np.float64(90.33333333333333), np.float64(88.66666666666667), np.float64(88.66666666666667), np.float64(88.33333333333333), np.float64(96.33333333333334), np.float64(92.0)]"
0.05,"[0.05333333333333334, 0.9833333333333333, 0.7166666666666667, 0.67, 0.49666666666666665, 0.15666666666666668, 0.22, 0.37, 0.44333333333333336, 0.4166666666666667, 0.38333333333333336, 0.13, 0.24666666666666667, 0.31333333333333335, 0.4, 0.5, 0.36, 0.14, 0.25]","[0.26594104173887795, 2.303782455200979, 1.824138287116405, 1.767724384152619, 1.352560641840163, 0.5772633704689506, 0.739429410317717, 1.1536332021996403, 1.4166197775701521, 1.217097631404366, 1.1197776097092862, 0.5664239758355388, 0.8008078418410195, 0.9370605621905835, 1.0757279560611548, 1.350089802537738, 0.9592360393897906, 0.5240694891247129, 0.7892462853866691]",300,"[2.0, 10.0, 9.0, 10.0, 7.0, 4.0, 5.0, 7.0, 10.0, 8.0, 8.0, 6.0, 5.0, 5.0, 6.0, 7.0, 6.0, 5.0, 6.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[np.float64(1.2307692307692308), np.float64(5.9), np.float64(4.3), np.float64(4.02), np.float64(3.1041666666666665), np.float64(1.7407407407407407), np.float64(2.129032258064516), np.float64(2.9210526315789473), np.float64(3.5), np.float64(3.125), np.float64(2.738095238095238), np.float64(1.7727272727272727), np.float64(2.176470588235294), np.float64(2.35), np.float64(2.5531914893617023), np.float64(3.1914893617021276), np.float64(2.4545454545454546), np.float64(1.5555555555555556), np.float64(1.9230769230769231)]","[np.float64(95.66666666666667), np.float64(83.33333333333334), np.float64(83.33333333333334), np.float64(83.33333333333334), np.float64(84.0), np.float64(91.0), np.float64(89.66666666666666), np.float64(87.33333333333333), np.float64(87.33333333333333), np.float64(86.66666666666667), np.float64(86.0), np.float64(92.66666666666666), np.float64(88.66666666666667), np.float64(86.66666666666667), np.float64(84.33333333333334), np.float64(84.33333333333334), np.float64(85.33333333333334), np.float64(91.0), np.float64(87.0)]"
0.06,"[0.07, 1.3166666666666667, 1.0666666666666667, 0.9933333333333333, 0.6333333333333333, 0.29, 0.55, 0.62, 0.7233333333333334, 0.7533333333333333, 0.5266666666666666, 0.24, 0.45, 0.5333333333333333, 0.56, 0.5866666666666667, 0.4066666666666667, 0.21666666666666667, 0.3933333333333333]","[0.268340621157533, 3.0661146563430552, 2.571171971412547, 2.6727828411492816, 1.7113302016518732, 1.0079450269025214, 1.5755765521141478, 1.6486337710470416, 2.0000306575130784, 1.9541112365056614, 1.408035547336822, 0.7902414854657852, 1.3441935081270742, 1.5264301005050913, 1.5190209837799737, 1.6159185824495945, 1.2622465859336787, 0.7735525195857186, 1.1902427546255785]",300,"[2.0, 12.0, 12.0, 17.0, 9.0, 8.0, 9.0, 8.0, 12.0, 11.0, 8.0, 6.0, 9.0, 9.0, 8.0, 9.0, 12.0, 7.0, 9.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[np.float64(1.05), np.float64(7.9), np.float64(6.4), np.float64(6.081632653061225), np.float64(3.9583333333333335), np.float64(2.6363636363636362), np.float64(3.8372093023255816), np.float64(3.875), np.float64(4.717391304347826), np.float64(4.52), np.float64(3.2244897959183674), np.float64(2.1818181818181817), np.float64(3.0), np.float64(3.8095238095238093), np.float64(3.5), np.float64(3.74468085106383), np.float64(2.772727272727273), np.float64(2.096774193548387), np.float64(2.744186046511628)]","[np.float64(93.33333333333333), np.float64(83.33333333333334), np.float64(83.33333333333334), np.float64(83.66666666666667), np.float64(84.0), np.float64(89.0), np.float64(85.66666666666667), np.float64(84.0), np.float64(84.66666666666667), np.float64(83.33333333333334), np.float64(83.66666666666667), np.float64(89.0), np.float64(85.0), np.float64(86.0), np.float64(84.0), np.float64(84.33333333333334), np.float64(85.33333333333334), np.float64(89.66666666666666), np.float64(85.66666666666667)]"
