beta,iteration,monthly_incidence_m1,monthly_cumulative_m1,monthly_incidence_m2,monthly_cumulative_m2,monthly_incidence_m3,monthly_cumulative_m3,monthly_incidence_m4,monthly_cumulative_m4,monthly_incidence_m5,monthly_cumulative_m5,monthly_incidence_m6,monthly_cumulative_m6,monthly_incidence_m7,monthly_cumulative_m7,monthly_incidence_m8,monthly_cumulative_m8,monthly_incidence_m9,monthly_cumulative_m9,monthly_incidence_m10,monthly_cumulative_m10,monthly_incidence_m11,monthly_cumulative_m11,monthly_incidence_m12,monthly_cumulative_m12,monthly_incidence_m13,monthly_cumulative_m13,monthly_incidence_m14,monthly_cumulative_m14,monthly_incidence_m15,monthly_cumulative_m15,monthly_incidence_m16,monthly_cumulative_m16,monthly_incidence_m17,monthly_cumulative_m17,monthly_incidence_m18,monthly_cumulative_m18,monthly_incidence_m19,monthly_cumulative_m19
0.036,14,6.0,6.0,2.0,8.0,0.0,8.0,1.0,9.0,2.0,11.0,8.0,19.0,5.0,24.0,3.0,27.0,3.0,30.0,2.0,32.0,2.0,34.0,2.0,36.0,2.0,38.0,0.0,38.0,0.0,38.0,0.0,38.0,0.0,38.0,0.0,38.0,0.0,38.0
0.036,15,8.0,8.0,4.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,1.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0
0.036,16,6.0,6.0,1.0,7.0,0.0,7.0,0.0,7.0,2.0,9.0,1.0,10.0,3.0,13.0,5.0,18.0,0.0,18.0,2.0,20.0,3.0,23.0,2.0,25.0,6.0,31.0,0.0,31.0,1.0,32.0,1.0,33.0,0.0,33.0,2.0,35.0,1.0,36.0
0.036,17,8.0,8.0,4.0,12.0,2.0,14.0,3.0,17.0,3.0,20.0,9.0,29.0,7.0,36.0,5.0,41.0,4.0,45.0,2.0,47.0,6.0,53.0,5.0,58.0,5.0,63.0,2.0,65.0,0.0,65.0,0.0,65.0,0.0,65.0,0.0,65.0,0.0,65.0
0.036,18,11.0,11.0,2.0,13.0,3.0,16.0,1.0,17.0,2.0,19.0,4.0,23.0,3.0,26.0,0.0,26.0,0.0,26.0,0.0,26.0,0.0,26.0,0.0,26.0,0.0,26.0,0.0,26.0,0.0,26.0,0.0,26.0,0.0,26.0,0.0,26.0,0.0,26.0
0.036,19,3.0,3.0,5.0,8.0,0.0,8.0,1.0,9.0,0.0,9.0,2.0,11.0,8.0,19.0,4.0,23.0,0.0,23.0,0.0,23.0,0.0,23.0,0.0,23.0,0.0,23.0,0.0,23.0,0.0,23.0,0.0,23.0,0.0,23.0,0.0,23.0,0.0,23.0
0.036,20,4.0,4.0,3.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0
0.036,21,5.0,5.0,3.0,8.0,1.0,9.0,3.0,12.0,2.0,14.0,2.0,16.0,3.0,19.0,0.0,19.0,4.0,23.0,3.0,26.0,4.0,30.0,6.0,36.0,4.0,40.0,1.0,41.0,0.0,41.0,1.0,42.0,0.0,42.0,3.0,45.0,3.0,48.0
0.036,22,7.0,7.0,4.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0
0.036,23,8.0,8.0,3.0,11.0,5.0,16.0,7.0,23.0,3.0,26.0,8.0,34.0,3.0,37.0,1.0,38.0,0.0,38.0,0.0,38.0,0.0,38.0,0.0,38.0,0.0,38.0,0.0,38.0,0.0,38.0,0.0,38.0,0.0,38.0,0.0,38.0,0.0,38.0
