prob_transmission,day,patients,patient_C,patient_S,patient_isolated,patient_positive,patient_preinfection,hcws,hcw_C,goo,goo_C,beds,filled_beds,filled_sick_beds,empty_isolated_beds,daily_hcw_infections,cumulative_sick_patients,cumulative_sick_patients_by_HCW,cumulative_patients,move2isol,daily_discharges,daily_admissions,iteration
0.1,0,30.0,0.0,30.0,16.0,0.0,0.0,19.0,0.0,30.0,10.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,5.5
0.1,1,30.0,1.2,28.8,16.0,1.2,0.0,19.0,0.0,30.0,10.1,30.0,30.0,1.2,0.0,1.2,1.2,1.2,30.0,0.0,0.0,0.0,5.5
0.1,2,30.0,2.9,27.1,16.0,2.9,0.0,19.0,0.2,30.0,10.1,30.0,30.0,2.9,0.0,1.7,2.9,2.9,30.3,0.0,0.3,0.3,5.5
0.1,3,30.0,4.0,26.0,16.0,4.0,0.0,19.0,0.0,30.0,10.2,30.0,30.0,4.0,0.0,1.1,4.0,4.0,30.3,0.4,0.0,0.0,5.5
0.1,4,30.0,5.5,24.5,16.0,5.5,0.0,19.0,0.0,30.0,10.3,30.0,30.0,5.5,0.0,1.5,5.5,5.5,30.3,0.6,0.0,0.0,5.5
0.1,5,30.0,7.1,22.9,16.0,7.1,0.0,19.0,0.1,30.0,10.6,30.0,30.0,7.1,0.0,1.6,7.1,7.1,30.3,0.9,0.0,0.0,5.5
0.1,6,30.0,7.9,22.1,16.0,7.9,0.0,19.0,0.1,30.0,10.8,30.0,30.0,7.9,0.0,0.8,7.9,7.9,30.3,1.1,0.0,0.0,5.5
0.1,7,30.0,8.5,21.5,16.0,8.5,0.0,19.0,0.0,30.0,11.5,30.0,30.0,8.5,0.0,0.6,8.5,8.5,30.3,1.3,0.0,0.0,5.5
0.1,8,30.0,1.8,28.2,16.8,1.8,0.0,19.0,0.1,30.0,11.5,30.0,30.0,1.8,0.0,1.7,10.2,10.2,38.7,1.3,8.4,8.4,5.5
0.1,9,30.0,3.9,26.1,16.8,3.9,0.0,19.0,0.0,30.0,11.8,30.0,30.0,3.9,0.0,2.1,12.3,12.3,38.9,1.3,0.2,0.2,5.5
