beta,mean,std,n,max,median,nonzero_mean,disease_free(%)
30,"[0.0, 0.0, 0.0, 2.99, 0.36, 1.1, 0.475, 0.44, 0.43, 0.99, 0.53, 0.43, 0.515, 0.505, 0.535, 0.515, 0.5, 0.47, 0.56]","[0.0, 0.0, 0.0, 9.257342597084696, 1.2642752705795448, 5.008535428214363, 1.4104331278157731, 1.3436618382905705, 1.3129046397072583, 4.50905287049785, 1.455918436060994, 1.3506372960671786, 1.4282768899523117, 1.3927215683093885, 1.4695485239765336, 1.4141336108539118, 1.385495575579276, 1.3815365417101277, 1.5519156584864018]",200,"[0.0, 0.0, 0.0, 33.0, 8.0, 32.0, 8.0, 8.0, 8.0, 32.0, 8.0, 10.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 10.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, np.float64(31.473684210526315), np.float64(3.789473684210526), np.float64(9.166666666666666), np.float64(3.9583333333333335), np.float64(3.6666666666666665), np.float64(3.5833333333333335), np.float64(7.071428571428571), np.float64(3.7857142857142856), np.float64(3.0714285714285716), np.float64(3.6785714285714284), np.float64(3.607142857142857), np.float64(3.8214285714285716), np.float64(3.6785714285714284), np.float64(3.5714285714285716), np.float64(3.357142857142857), np.float64(4.0)]","[np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(90.5), np.float64(90.5), np.float64(88.0), np.float64(88.0), np.float64(88.0), np.float64(88.0), np.float64(86.0), np.float64(86.0), np.float64(86.0), np.float64(86.0), np.float64(86.0), np.float64(86.0), np.float64(86.0), np.float64(86.0), np.float64(86.0), np.float64(86.0)]"
60,"[0.0, 0.0, 0.0, 3.915, 0.36, 0.955, 0.44, 0.435, 0.42, 0.775, 0.505, 0.36, 0.47, 0.5, 0.51, 0.495, 0.47, 0.425, 0.515]","[0.0, 0.0, 0.0, 10.386393060346823, 1.075258529155951, 4.460093853937347, 1.2181211333350184, 1.2137300785255343, 1.162046366886438, 3.8390187973795067, 1.329969584418148, 1.1388083342294948, 1.2356106459324852, 1.2916430267464434, 1.307073911856284, 1.3071027457471338, 1.2356106459324852, 1.2090009996213555, 1.33742984599747]",200,"[0.0, 0.0, 0.0, 33.0, 6.0, 32.0, 7.0, 7.0, 6.0, 32.0, 7.0, 7.0, 6.0, 6.0, 6.0, 7.0, 6.0, 6.0, 7.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, np.float64(31.32), np.float64(2.88), np.float64(6.586206896551724), np.float64(3.0344827586206895), np.float64(3.0), np.float64(2.896551724137931), np.float64(4.84375), np.float64(3.15625), np.float64(2.25), np.float64(2.9375), np.float64(3.125), np.float64(3.1875), np.float64(3.09375), np.float64(2.9375), np.float64(2.65625), np.float64(3.21875)]","[np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(87.5), np.float64(87.5), np.float64(85.5), np.float64(85.5), np.float64(85.5), np.float64(85.5), np.float64(84.0), np.float64(84.0), np.float64(84.0), np.float64(84.0), np.float64(84.0), np.float64(84.0), np.float64(84.0), np.float64(84.0), np.float64(84.0), np.float64(84.0)]"
90,"[0.0, 0.0, 0.0, 3.565, 0.335, 1.07, 0.395, 0.375, 0.37, 0.81, 0.485, 0.295, 0.41, 0.435, 0.485, 0.415, 0.41, 0.37, 0.43]","[0.0, 0.0, 0.0, 9.926148149480081, 1.0669898484444054, 4.92813683488158, 1.106842582534916, 1.0342744404124335, 1.0238855934833309, 3.990428246183577, 1.3449234533895942, 0.8899071150220325, 1.0475623774617764, 1.0962590567917734, 1.2358851323248095, 1.0575286446100898, 1.0475623774617764, 1.0189658764092304, 1.1275891478868358]",200,"[0.0, 0.0, 0.0, 33.0, 7.0, 32.0, 7.0, 6.0, 6.0, 30.0, 11.0, 6.0, 6.0, 6.0, 7.0, 6.0, 6.0, 6.0, 7.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, np.float64(31.0), np.float64(2.9130434782608696), np.float64(7.642857142857143), np.float64(2.8214285714285716), np.float64(2.6785714285714284), np.float64(2.642857142857143), np.float64(5.0625), np.float64(3.03125), np.float64(1.84375), np.float64(2.5625), np.float64(2.71875), np.float64(3.03125), np.float64(2.59375), np.float64(2.5625), np.float64(2.3125), np.float64(2.6875)]","[np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(88.5), np.float64(88.5), np.float64(86.0), np.float64(86.0), np.float64(86.0), np.float64(86.0), np.float64(84.0), np.float64(84.0), np.float64(84.0), np.float64(84.0), np.float64(84.0), np.float64(84.0), np.float64(84.0), np.float64(84.0), np.float64(84.0), np.float64(84.0)]"
120,"[0.0, 0.0, 0.0, 3.46, 0.35, 1.1, 0.455, 0.42, 0.42, 1.405, 0.545, 0.445, 0.605, 0.54, 0.545, 0.525, 0.51, 0.475, 0.585]","[0.0, 0.0, 0.0, 9.868909609699655, 1.0878497531493656, 4.97632586307181, 1.222886855480315, 1.1620463668864378, 1.1620463668864378, 5.570108215074299, 1.3216310160985059, 1.313622097513351, 1.8912586540403222, 1.3064971004050616, 1.283045607198261, 1.2438289885526144, 1.2195641366558327, 1.23572248108192, 1.404506386939829]",200,"[0.0, 0.0, 0.0, 33.0, 6.0, 32.0, 6.0, 6.0, 6.0, 32.0, 7.0, 11.0, 21.0, 7.0, 6.0, 6.0, 6.0, 7.0, 8.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, np.float64(31.454545454545453), np.float64(3.1818181818181817), np.float64(8.148148148148149), np.float64(3.3703703703703702), np.float64(3.111111111111111), np.float64(3.111111111111111), np.float64(8.264705882352942), np.float64(3.2058823529411766), np.float64(2.5428571428571427), np.float64(3.4571428571428573), np.float64(3.085714285714286), np.float64(3.1142857142857143), np.float64(3.0), np.float64(2.914285714285714), np.float64(2.7142857142857144), np.float64(3.342857142857143)]","[np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(89.0), np.float64(89.0), np.float64(86.5), np.float64(86.5), np.float64(86.5), np.float64(86.5), np.float64(83.0), np.float64(83.0), np.float64(82.5), np.float64(82.5), np.float64(82.5), np.float64(82.5), np.float64(82.5), np.float64(82.5), np.float64(82.5), np.float64(82.5)]"
