isolation_time,cleaningDay,tau_offset_days,beta,mean,std,n,max,median,nonzero_mean,disease_free(%)
14,180,140,0.02,"[2.18, 0.98, 0.34, 0.26, 0.24, 0.32, 0.16, 0.14, 0.02, 0.04, 0.04, 0.0, 0.02, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.26, 1.0293687385966215, 0.6200000000000002, 0.48207883172775795, 0.585149553533112, 0.6144916598294884, 0.4630334761116094, 0.44766058571198786, 0.13999999999999987, 0.19595917942265434, 0.19595917942265434, 0.0, 0.13999999999999987, 0.13999999999999987, 0.0, 0.0, 0.0, 0.0, 0.0]",50,"[6.0, 4.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.3191489361702127, 1.6333333333333333, 1.3076923076923077, 1.0833333333333333, 1.5, 1.2307692307692308, 1.3333333333333333, 1.4, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[6.0, 40.0, 74.0, 76.0, 84.0, 74.0, 88.0, 90.0, 98.0, 96.0, 96.0, 100.0, 98.0, 98.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
14,180,140,0.025,"[3.3, 1.06, 0.36, 0.26, 0.34, 0.44, 0.5, 0.24, 0.02, 0.16, 0.12, 0.22, 0.24, 0.14, 0.0, 0.08, 0.06, 0.1, 0.16]","[1.6031219541881396, 0.9676776322722358, 0.6858571279792899, 0.5219195340279957, 0.5517245689653489, 0.7525955088890711, 0.9643650760992956, 0.5122499389946281, 0.13999999999999987, 0.463033476111609, 0.32496153618543855, 0.5400000000000005, 0.585149553533112, 0.4004996878900156, 0.0, 0.4399999999999999, 0.2374868417407584, 0.4582575694955838, 0.5043808085167399]",50,"[8.0, 3.0, 3.0, 2.0, 2.0, 2.0, 5.0, 2.0, 1.0, 2.0, 1.0, 2.0, 3.0, 2.0, 0.0, 3.0, 1.0, 3.0, 2.0]","[3.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.3, 1.65625, 1.3846153846153846, 1.1818181818181819, 1.1333333333333333, 1.5714285714285714, 1.6666666666666667, 1.2, 1.0, 1.3333333333333333, 1.0, 1.375, 1.3333333333333333, 1.1666666666666667, 0.0, 2.0, 1.0, 1.6666666666666667, 1.6]","[0.0, 36.0, 74.0, 78.0, 70.0, 72.0, 70.0, 80.0, 98.0, 88.0, 88.0, 84.0, 82.0, 88.0, 100.0, 96.0, 94.0, 94.0, 90.0]"
14,180,140,0.03,"[4.6, 1.92, 0.56, 0.6, 0.5, 0.72, 0.86, 0.28, 0.12, 0.14, 0.24, 0.28, 0.22, 0.1, 0.04, 0.04, 0.08, 0.18, 0.06]","[1.7888543819998317, 1.2781236246936365, 0.7525955088890712, 0.9591663046625436, 0.9433981132056604, 1.0961751684835777, 1.1833849753989614, 0.5306599664568641, 0.3815756805667785, 0.6003332407921458, 0.9068627239003709, 1.0400000000000007, 0.8316249154516723, 0.4999999999999998, 0.2799999999999999, 0.2799999999999999, 0.2712931993250108, 0.7665507158694719, 0.42000000000000015]",50,"[8.0, 5.0, 2.0, 3.0, 4.0, 4.0, 4.0, 2.0, 2.0, 4.0, 6.0, 7.0, 5.0, 3.0, 2.0, 2.0, 1.0, 5.0, 3.0]","[5.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.6938775510204085, 2.2325581395348837, 1.4, 1.7647058823529411, 1.7857142857142858, 1.894736842105263, 2.0476190476190474, 1.1666666666666667, 1.2, 1.75, 2.0, 2.0, 2.2, 2.5, 2.0, 2.0, 1.0, 2.25, 3.0]","[2.0, 14.000000000000002, 60.0, 66.0, 72.0, 62.0, 57.99999999999999, 76.0, 90.0, 92.0, 88.0, 86.0, 90.0, 96.0, 98.0, 98.0, 92.0, 92.0, 98.0]"
14,180,140,0.035,"[5.74, 2.58, 0.82, 1.28, 1.28, 1.38, 1.92, 0.96, 0.28, 0.36, 0.42, 0.6, 0.66, 0.24, 0.22, 0.2, 0.16, 0.14, 0.24]","[1.9880643852752855, 1.218031198286809, 1.089770618066023, 1.7780888616714292, 1.5753094934012175, 1.9482299658921176, 2.225668438918969, 1.4136477637657832, 0.8009993757800309, 0.9748846085563162, 1.0600000000000003, 1.4966629547095762, 1.38, 0.7631513611335567, 0.7291090453423277, 0.7999999999999997, 0.6437390775772436, 0.5660388679233965, 0.970772887960928]",50,"[10.0, 5.0, 4.0, 8.0, 7.0, 11.0, 7.0, 6.0, 4.0, 5.0, 5.0, 8.0, 7.0, 4.0, 4.0, 5.0, 4.0, 3.0, 5.0]","[6.0, 2.0, 0.0, 0.5, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[5.74, 2.58, 1.7826086956521738, 2.56, 2.4615384615384617, 2.5555555555555554, 3.2, 2.2857142857142856, 2.0, 2.0, 2.3333333333333335, 2.727272727272727, 2.357142857142857, 2.0, 2.2, 2.5, 2.0, 2.3333333333333335, 4.0]","[0.0, 0.0, 54.0, 50.0, 48.0, 46.0, 40.0, 57.99999999999999, 86.0, 82.0, 82.0, 78.0, 72.0, 88.0, 90.0, 92.0, 92.0, 94.0, 94.0]"
14,180,140,0.04,"[7.62, 3.6, 1.32, 1.7, 1.94, 2.92, 3.0, 1.58, 0.56, 0.88, 1.06, 1.42, 1.72, 0.84, 0.28, 0.24, 0.48, 0.6, 0.88]","[2.189885841773493, 1.6852299546352714, 1.3181805642627271, 1.8248287590894654, 2.148580927030676, 2.472569513684095, 2.80713376952364, 1.6743954132760874, 0.8284926070883192, 1.5184202316881845, 1.7822457742971365, 2.098475637218598, 2.425201022595859, 1.2705904139414872, 0.6939740629158987, 0.8845337754998395, 1.1872657663724666, 1.61245154965971, 2.1320412753978286]",50,"[12.0, 9.0, 5.0, 7.0, 9.0, 8.0, 9.0, 7.0, 3.0, 6.0, 8.0, 8.0, 9.0, 5.0, 3.0, 4.0, 6.0, 9.0, 10.0]","[8.0, 3.0, 1.0, 1.0, 1.0, 2.0, 2.5, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[7.62, 3.6, 2.129032258064516, 2.5, 3.03125, 3.7435897435897436, 4.054054054054054, 2.46875, 1.4736842105263157, 2.588235294117647, 2.5238095238095237, 3.227272727272727, 3.909090909090909, 1.9090909090909092, 1.75, 3.0, 2.4, 3.3333333333333335, 3.6666666666666665]","[0.0, 0.0, 38.0, 32.0, 36.0, 22.0, 26.0, 36.0, 62.0, 66.0, 57.99999999999999, 56.00000000000001, 56.00000000000001, 56.00000000000001, 84.0, 92.0, 80.0, 82.0, 76.0]"
14,180,140,0.045,"[9.48, 4.34, 1.6, 1.84, 2.68, 3.36, 4.54, 1.86, 0.88, 1.24, 1.7, 2.38, 2.14, 1.4, 0.5, 0.8, 0.96, 1.2, 1.42]","[2.4268498099388025, 1.9142622599842476, 1.7663521732655694, 2.148115453135609, 2.7959971387682074, 3.491475332864318, 4.699829784151762, 2.1166955378608416, 1.4372195378577344, 1.9550959055759898, 2.483948469674843, 3.4864882044831305, 2.966546814058394, 2.30651251893416, 1.3892443989449805, 2.218107301281882, 2.637877935007609, 2.959729717389748, 2.8919889349719146]",50,"[16.0, 8.0, 7.0, 8.0, 11.0, 13.0, 15.0, 8.0, 6.0, 8.0, 9.0, 13.0, 10.0, 11.0, 6.0, 11.0, 13.0, 15.0, 13.0]","[9.0, 4.0, 1.0, 1.0, 2.0, 3.0, 3.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[9.48, 4.428571428571429, 2.6666666666666665, 3.066666666666667, 3.9411764705882355, 5.090909090909091, 7.09375, 3.206896551724138, 2.4444444444444446, 3.1, 3.8636363636363638, 5.409090909090909, 4.863636363636363, 3.5, 3.125, 4.444444444444445, 4.8, 5.0, 5.916666666666667]","[0.0, 2.0, 40.0, 40.0, 32.0, 34.0, 36.0, 42.0, 64.0, 60.0, 56.00000000000001, 56.00000000000001, 56.00000000000001, 60.0, 84.0, 82.0, 80.0, 76.0, 76.0]"
14,180,140,0.05,"[10.54, 5.16, 2.6, 3.46, 4.68, 6.12, 7.08, 3.14, 1.42, 1.9, 2.04, 3.1, 3.64, 1.64, 1.04, 1.7, 2.1, 2.42, 3.02]","[2.64733828590152, 2.2570777567465417, 2.778488797889961, 3.78, 4.491948352329977, 5.515940536300225, 6.371310697179978, 2.9732810159821756, 2.42561332450166, 2.8792360097775944, 2.911769221624544, 4.382921400162226, 4.840495842369871, 2.364402672981064, 2.009577069932876, 3.0215889859476244, 3.8535697735995385, 4.42759528412433, 5.247818594425689]",50,"[15.0, 10.0, 12.0, 16.0, 18.0, 21.0, 27.0, 9.0, 12.0, 12.0, 11.0, 17.0, 17.0, 9.0, 9.0, 13.0, 15.0, 17.0, 20.0]","[11.0, 5.0, 2.0, 2.0, 3.5, 5.0, 6.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[10.54, 5.16, 3.7142857142857144, 4.675675675675675, 6.157894736842105, 7.65, 8.85, 4.617647058823529, 3.55, 4.523809523809524, 4.636363636363637, 6.458333333333333, 7.583333333333333, 3.9047619047619047, 3.7142857142857144, 5.0, 6.176470588235294, 7.117647058823529, 8.882352941176471]","[0.0, 0.0, 30.0, 26.0, 24.0, 20.0, 20.0, 32.0, 60.0, 57.99999999999999, 56.00000000000001, 52.0, 52.0, 57.99999999999999, 72.0, 66.0, 66.0, 66.0, 66.0]"
14,180,140,0.055,"[12.06, 5.84, 2.16, 3.62, 5.32, 6.68, 8.04, 4.18, 2.66, 3.2, 4.18, 5.62, 7.08, 3.4, 1.6, 2.82, 3.58, 4.28, 5.36]","[2.781438476759823, 2.500879845174494, 2.685963514271926, 4.857530236653191, 6.631560902231088, 7.664045928881168, 8.680921610059615, 4.22700839838295, 3.881288445864337, 4.578209256903839, 5.584585929144613, 7.282554496878138, 9.253842445168388, 4.690415759823428, 3.2434549480453705, 5.609598916143646, 6.6184288165696845, 7.177854832747736, 9.063685784491872]",50,"[18.0, 17.0, 11.0, 24.0, 28.0, 29.0, 34.0, 14.0, 14.0, 20.0, 22.0, 22.0, 35.0, 17.0, 15.0, 26.0, 29.0, 27.0, 34.0]","[12.0, 6.0, 1.5, 2.0, 3.5, 4.0, 5.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[12.06, 5.84, 3.375, 6.033333333333333, 8.580645161290322, 10.121212121212121, 11.485714285714286, 5.9714285714285715, 6.333333333333333, 7.619047619047619, 8.708333333333334, 11.708333333333334, 14.75, 7.391304347826087, 5.714285714285714, 8.8125, 10.529411764705882, 12.588235294117647, 15.764705882352942]","[0.0, 0.0, 36.0, 40.0, 38.0, 34.0, 30.0, 30.0, 57.99999999999999, 57.99999999999999, 52.0, 52.0, 52.0, 54.0, 72.0, 68.0, 66.0, 66.0, 66.0]"
14,180,140,0.06,"[15.1, 6.76, 4.08, 6.64, 8.38, 10.22, 12.32, 6.18, 3.84, 5.0, 6.96, 9.2, 10.78, 5.6, 4.06, 5.54, 7.34, 8.88, 10.56]","[2.4269322199023193, 3.0236401902342807, 3.654257790577999, 5.799172354741666, 7.296273021207472, 8.549362549336648, 9.538217862892418, 5.7469644161069935, 4.7848092960953, 5.5389529696504916, 7.817825784705107, 9.969954864491614, 10.524808786861641, 5.71664237118258, 5.475070775798247, 7.186682127379785, 9.205672164486415, 10.479770989864237, 11.543240446252518]",50,"[21.0, 14.0, 13.0, 22.0, 27.0, 34.0, 31.0, 22.0, 18.0, 21.0, 29.0, 35.0, 32.0, 20.0, 20.0, 28.0, 31.0, 34.0, 35.0]","[15.0, 6.0, 3.0, 5.5, 7.5, 9.0, 12.0, 6.0, 2.0, 4.0, 4.0, 6.0, 8.0, 4.0, 1.5, 3.0, 3.0, 4.0, 6.0]","[15.1, 6.76, 5.368421052631579, 8.972972972972974, 10.743589743589743, 13.102564102564102, 15.794871794871796, 8.583333333333334, 5.818181818181818, 8.064516129032258, 10.235294117647058, 13.93939393939394, 15.852941176470589, 8.484848484848484, 7.8076923076923075, 9.892857142857142, 12.233333333333333, 14.32258064516129, 17.6]","[0.0, 0.0, 24.0, 26.0, 22.0, 22.0, 22.0, 28.000000000000004, 34.0, 38.0, 32.0, 34.0, 32.0, 34.0, 48.0, 44.0, 40.0, 38.0, 40.0]"
