beta,mean,std,n_iter,isolation_time,avg_isolation_delay,data_type,init_env,tau0
0.025,"[0.3, 0.72, 0.7, 0.96, 0.22, 0.24, 0.24, 0.42, 0.46, 0.48, 0.04, 0.1, 0.12, 0.14, 0.1, 0.2, 0.06, 0.08, 0.14, 0.14, 0.2, 0.3, 0.14, 0.12, 0.16, 0.22, 0.22, 0.42, 0.14, 0.12, 0.22, 0.18, 0.14, 0.34, 0.04, 0.06]","[0.5050762722761053, 0.8091315576289311, 0.7626484465736648, 0.8561899465012401, 0.46467017049401715, 0.476380914300945, 0.5554920598635311, 0.78480466827545, 0.885483840989242, 0.8388524717658973, 0.1979486637221575, 0.30304576336566313, 0.3854496446637727, 0.4522054797526976, 0.4629100498862757, 0.6060915267313264, 0.31363569143000186, 0.2740475156178698, 0.4045657788144656, 0.49528388066742074, 0.49487165930539345, 0.7071067811865475, 0.40456577881446554, 0.32826072265931605, 0.4218520874352399, 0.5816935163286383, 0.7082603003566026, 1.1264899430695043, 0.40456577881446537, 0.38544964466377274, 0.5816935163286383, 0.5602477586036453, 0.4045657788144655, 0.772221814385119, 0.19794866372215744, 0.23989793748209529]",50,14.0,7.0,B,2,60
0.03,"[0.48, 0.82, 1.02, 1.26, 0.3, 0.34, 0.24, 0.32, 0.54, 0.62, 0.08, 0.2, 0.18, 0.18, 0.34, 0.18, 0.1, 0.16, 0.16, 0.24, 0.18, 0.56, 0.2, 0.24, 0.44, 0.42, 0.48, 0.72, 0.16, 0.24, 0.38, 0.58, 0.38, 0.82, 0.2, 0.18]","[0.7068181072487416, 0.8002550613806239, 0.7951382885757567, 1.1394592344348153, 0.7354021529276428, 0.5573259772323189, 0.5174505793221384, 0.7938539422542742, 0.8381222939355787, 0.945235096552758, 0.34046786536608553, 0.5345224838248485, 0.6605501726683936, 0.48191793695522883, 0.7453255691854621, 0.5602477586036455, 0.3030457633656631, 0.5480950312357397, 0.5095015571464859, 0.656521445318632, 0.43752550946038726, 1.1457107231864812, 0.4517539514526256, 0.6565214453186321, 0.8121525944886798, 0.8351951989853412, 0.9739463170891042, 1.1073041357186344, 0.4218520874352399, 0.5174505793221383, 0.7253429871306346, 0.9707981147446859, 0.530306034093445, 1.1373079564282944, 0.5714285714285712, 0.48191793695522867]",50,14.0,7.0,B,2,60
0.035,"[0.8, 1.28, 1.74, 1.98, 0.3, 0.46, 0.6, 1.22, 1.34, 1.86, 0.24, 0.14, 0.42, 0.38, 0.74, 0.94, 0.3, 0.44, 0.6, 1.1, 1.68, 1.86, 0.38, 0.84, 0.98, 1.46, 1.26, 1.74, 0.32, 0.44, 0.76, 1.18, 1.4, 1.66, 0.4, 0.74]","[0.9035079029052513, 1.1073041357186344, 1.174734012447073, 1.622419458080796, 0.7354021529276429, 0.8134080483135292, 1.1248582677159729, 1.4748227150462276, 1.5598273059828756, 2.0996598363952734, 0.7439552323595167, 0.40456577881446537, 0.8351951989853411, 0.696639162299235, 1.382248980791073, 1.633951014678025, 0.6468132241526725, 1.0133798771981828, 1.0879675865519867, 1.6319513798279803, 2.2896394868170478, 1.9060590821088923, 0.5674864018868914, 1.299293371531666, 1.1864885595912065, 1.6314510881608515, 1.6138431757510912, 2.1074212891104427, 0.6207303137828694, 0.7602362683228613, 1.1349728037737827, 1.3353895709202046, 1.7842851423995423, 1.912472488797724, 0.7559289460184545, 1.2906255404703126]",50,14.0,7.0,B,2,60
0.04,"[1.14, 1.64, 2.32, 2.7, 0.44, 0.76, 1.08, 1.3, 2.12, 2.68, 0.42, 0.58, 0.86, 1.28, 1.36, 1.48, 0.76, 0.7, 1.28, 1.92, 2.38, 2.88, 0.9, 1.2, 1.94, 2.16, 2.62, 3.36, 0.74, 1.02, 1.1, 2.26, 2.9, 2.82, 0.66, 0.96]","[0.9899494936611666, 1.2898346674623669, 1.9840177747722532, 2.1019912813660233, 0.7866228513106402, 1.0796824930109246, 1.4824139166940398, 1.373956004405096, 2.096060444680712, 2.368500774407167, 0.9495433918790783, 1.3863768666298963, 1.2937841980100109, 1.6907913857729706, 1.7351115943644542, 2.196843747056125, 1.1703828084722308, 1.1649647450214353, 1.884848285996644, 2.397617865417971, 2.7839921416731697, 3.4025200744658153, 1.3439205515876271, 1.6413036132965795, 2.427815008250364, 2.435787598393956, 3.142142775955573, 3.3366242258441083, 1.0654116766848047, 1.5842335428740766, 1.8762750766519567, 3.1739372317392176, 3.5181743874356437, 2.9255384991833697, 1.0022423838165935, 1.3546593818433939]",50,14.0,7.0,B,2,60
0.045,"[1.04, 2.3, 3.24, 4.52, 0.92, 1.14, 2.2, 2.44, 3.84, 4.84, 0.86, 1.6, 2.3, 2.84, 3.48, 4.2, 0.94, 1.74, 2.08, 3.28, 3.44, 4.46, 1.16, 1.58, 2.24, 3.34, 4.24, 5.5, 1.12, 1.94, 2.66, 3.5, 4.64, 5.88, 1.62, 2.52]","[1.105828713163636, 1.6933242273042426, 2.0559520362864023, 2.5891453163906726, 1.4405214475377752, 1.7729256346847848, 2.8139593719417437, 3.0516639823585576, 3.7923661237183484, 4.709348063551204, 1.049975704286455, 1.737932151513777, 3.1379832337841145, 3.171042447537029, 3.8504704191799206, 4.070801956792859, 1.3311035777481328, 2.2660763537039803, 2.5220658846530184, 3.6086064923078736, 4.165749558933555, 5.107857092914078, 1.3903457212110217, 2.186134413404031, 2.8682640700448427, 3.667897134293041, 4.123402597320791, 5.478156996804003, 1.4518109732471431, 2.271473494614167, 2.811129484671924, 3.7211475078946017, 4.019137891109871, 4.387551964922804, 1.915458063189256, 2.8301582850376663]",50,14.0,7.0,B,2,60
0.05,"[1.52, 3.1, 4.6, 5.86, 1.0, 1.52, 2.2, 3.68, 4.74, 5.88, 0.98, 1.62, 2.52, 3.88, 4.74, 6.12, 1.44, 2.7, 3.66, 5.02, 5.92, 8.08, 1.88, 3.3, 4.36, 6.28, 7.82, 9.92, 2.14, 3.5, 5.46, 6.66, 7.88, 9.04, 2.48, 3.9]","[1.3130428906372638, 2.0228288940723282, 2.5555062599997598, 3.1494087556562236, 1.385051387833237, 1.7289846023322588, 2.1092604371762, 3.3468840214535707, 3.9734321770109675, 4.6407247850537585, 1.7319329769753482, 2.212118755346354, 3.163826151729476, 4.6142636001239214, 5.224783952178192, 6.086586121319972, 1.9499869178001776, 2.887340418772534, 3.7011305498372753, 4.640065094546912, 4.943930519292502, 6.026607669327745, 1.8029454359181145, 2.9224675064969685, 3.9006017327523983, 4.712293951539344, 5.759428826555916, 6.580242536315414, 2.3124331209303133, 3.351819487614305, 4.726002755058055, 5.32460595456871, 5.516727808609531, 5.945191849086871, 2.6820643891888762, 3.5814146104919065]",50,14.0,7.0,B,2,60
0.055,"[1.9, 4.0, 5.9, 8.52, 1.74, 2.76, 5.14, 5.94, 8.82, 10.9, 2.62, 3.92, 5.24, 7.24, 9.42, 11.86, 2.64, 4.54, 6.88, 7.92, 11.08, 12.32, 3.24, 5.4, 7.36, 10.1, 11.68, 14.5, 2.56, 4.52, 6.0, 8.46, 10.96, 12.86, 3.64, 6.36]","[1.403348764599179, 2.2038926600773587, 3.234066120763363, 3.6378957811193158, 2.018384886739992, 3.027493069474195, 4.6203189217602185, 4.718223463663121, 6.153446023098251, 7.4429805309212975, 2.5863850747910755, 3.6691766300979767, 4.192120889361423, 5.392965940245967, 6.424093678631775, 6.942945325718643, 2.6860182198844114, 3.8767227901717116, 5.995372365076116, 6.877469871743146, 8.186200434329738, 7.587422460350862, 2.3695345276131805, 3.9227229193559947, 5.232395167002725, 6.655517888740662, 7.5793489570176735, 8.595798689013186, 2.8295813492891315, 3.991010306339251, 5.739231264743047, 6.596876193336061, 7.819285420663188, 7.88439429946193, 2.6089328493169193, 4.543486030144965]",50,14.0,7.0,B,2,60
0.06,"[2.4, 5.7, 7.82, 11.48, 2.68, 4.52, 7.5, 9.16, 12.3, 14.5, 4.04, 6.44, 9.68, 12.66, 15.36, 17.0, 4.0, 7.18, 9.9, 12.88, 16.86, 18.74, 4.6, 8.96, 11.5, 15.4, 18.12, 20.5, 4.6, 8.48, 11.12, 13.68, 17.2, 18.92, 4.98, 9.68]","[1.6288220358559113, 2.509166867178614, 4.09922839927074, 5.1754522625997605, 3.0867723053873157, 4.161240003574288, 6.490967035906475, 6.786421015828713, 8.512296028303373, 8.19967644956501, 3.6024934675407074, 5.319045487487316, 6.500988935758708, 8.135610810830748, 8.260454106210886, 8.28078671210825, 3.219836477024184, 5.177226426320154, 6.175164213300281, 7.405568781639385, 8.403133526323646, 7.125149479276966, 3.2007652146297265, 6.127755523444293, 6.547316010303422, 8.337277977951357, 8.594350303708659, 8.633702353366754, 3.232488142567074, 5.8840496952631645, 7.081565605752123, 7.435271703584372, 8.040712731125879, 7.411629031323625, 3.6111505317925072, 5.007912107202899]",50,14.0,7.0,B,2,60
0.02,"[0.36, 0.32, 0.38, 0.44, 0.1, 0.12, 0.14, 0.1, 0.06, 0.1, 0.04, 0.06, 0.06, 0.04, 0.18, 0.14, 0.02, 0.06, 0.04, 0.04, 0.08, 0.08, 0.04, 0.02, 0.04, 0.14, 0.12, 0.08, 0.02, 0.06, 0.02, 0.04, 0.1, 0.12, 0.1, 0.08]","[0.5627918743883488, 0.4712120714991612, 0.6667006794044592, 0.61145527311522, 0.3642156795423417, 0.3854496446637728, 0.35050983275386555, 0.30304576336566297, 0.23989793748209526, 0.3642156795423416, 0.1979486637221575, 0.23989793748209526, 0.23989793748209529, 0.19794866372215744, 0.5225526045191969, 0.4045657788144654, 0.14142135623730942, 0.313635691430002, 0.19794866372215753, 0.19794866372215744, 0.34046786536608536, 0.2740475156178697, 0.19794866372215744, 0.14142135623730948, 0.19794866372215744, 0.40456577881446554, 0.38544964466377274, 0.3404678653660853, 0.14142135623730936, 0.2398979374820953, 0.14142135623730948, 0.19794866372215741, 0.3642156795423417, 0.38544964466377274, 0.3030457633656631, 0.3404678653660853]",50,20.0,10.0,B,2,60
0.025,"[0.48, 0.38, 0.72, 0.86, 0.08, 0.14, 0.14, 0.48, 0.36, 0.34, 0.12, 0.1, 0.22, 0.14, 0.3, 0.2, 0.08, 0.06, 0.1, 0.1, 0.1, 0.14, 0.1, 0.22, 0.08, 0.22, 0.2, 0.16, 0.06, 0.14, 0.12, 0.26, 0.14, 0.16, 0.1, 0.14]","[0.6464976285134149, 0.5303060340934451, 0.8091315576289312, 0.9260405068938201, 0.3404678653660855, 0.35050983275386544, 0.4045657788144653, 0.7623808036643619, 0.7761758689832072, 0.688387645894672, 0.5205962045225315, 0.303045763365663, 0.5816935163286382, 0.40456577881446526, 0.7354021529276428, 0.4948716593053935, 0.3404678653660853, 0.23989793748209526, 0.3030457633656631, 0.36421567954234163, 0.3642156795423417, 0.45220547975269754, 0.303045763365663, 0.5816935163286384, 0.2740475156178697, 0.46467017049401715, 0.45175395145262565, 0.5095015571464864, 0.23989793748209526, 0.4045657788144654, 0.3854496446637727, 0.6327781311528599, 0.4045657788144654, 0.509501557146486, 0.3030457633656631, 0.4045657788144653]",50,20.0,10.0,B,2,60
0.03,"[0.5, 0.76, 1.14, 1.3, 0.18, 0.16, 0.48, 0.5, 0.8, 0.76, 0.12, 0.2, 0.36, 0.48, 0.48, 0.58, 0.08, 0.2, 0.48, 0.42, 0.6, 0.68, 0.14, 0.24, 0.16, 0.58, 0.46, 0.34, 0.16, 0.14, 0.28, 0.26, 0.32, 0.56, 0.26, 0.3]","[0.762648446573665, 0.8221425468536092, 1.0303555954432546, 1.0738068841694937, 0.43752550946038765, 0.42185208743523994, 1.0924602453888668, 0.7071067811865476, 1.2121830534626534, 1.0411924090450622, 0.3854496446637727, 0.49487165930539323, 0.5627918743883488, 0.8141603913585718, 0.7886956423909861, 0.970798114744686, 0.3404678653660855, 0.5345224838248483, 1.0544366906997684, 0.882713811758595, 1.106566670344976, 1.3468027142163064, 0.4045657788144654, 0.5174505793221382, 0.42185208743524, 0.9055385138137417, 0.8134080483135293, 0.8233827686279752, 0.42185208743523994, 0.3505098327538656, 0.7010196655077312, 0.63277813115286, 0.5510657577710258, 1.072095030816784, 0.5646020812962717, 0.6776309271789384]",50,20.0,10.0,B,2,60
0.035,"[0.66, 0.82, 1.4, 1.98, 0.28, 0.5, 0.58, 0.6, 1.04, 1.36, 0.14, 0.24, 0.36, 0.52, 0.7, 0.58, 0.22, 0.38, 0.6, 0.78, 1.0, 1.28, 0.44, 0.72, 0.78, 1.3, 1.24, 1.52, 0.26, 0.4, 0.6, 0.96, 0.7, 1.2, 0.44, 0.72]","[0.7982122882685142, 0.8497298490264601, 1.2121830534626523, 1.4775876644458186, 0.6401530429259449, 1.0926470386270253, 1.213697336443397, 0.9897433186107869, 1.7256764423476003, 1.758478006106185, 0.49528388066742035, 0.6246631745450129, 0.8020382198638971, 1.2162169516453005, 1.58113883008419, 1.2136973364433963, 0.5816935163286383, 0.752953368748825, 1.0690449676496974, 1.374550019134277, 1.4568627181693672, 1.7732709313351884, 0.8843307166024094, 1.1255837487766975, 1.555634918610405, 2.101991281366023, 1.9955051531696253, 2.1308233533696086, 0.750781905341195, 0.8081220356417687, 1.0301575072754252, 1.3844618788097958, 1.1994896874104761, 1.5518257844571735, 0.7045044574821687, 1.2623269733928297]",50,20.0,10.0,B,2,60
0.04,"[1.22, 1.58, 2.74, 3.64, 0.54, 0.74, 1.26, 1.8, 2.16, 2.34, 0.22, 0.52, 0.92, 1.26, 1.3, 1.76, 0.48, 0.88, 1.14, 1.7, 2.34, 2.7, 0.48, 0.72, 1.3, 1.56, 2.44, 2.92, 0.54, 0.92, 1.26, 1.8, 1.9, 3.04, 0.7, 1.46]","[0.9100347604933134, 1.3414886644078263, 2.1074212891104422, 2.593240821671539, 0.9521190115972359, 1.2257442553778652, 1.7000600229499698, 2.2677868380553634, 2.7727537332597936, 2.9249803767002653, 0.5816935163286383, 0.8141603913585717, 1.4262838827827071, 1.9358065344386852, 1.5811388300841893, 2.412213819337764, 0.8628382211738002, 1.394449639075706, 1.5119928733230164, 2.1213203435596415, 2.646599666726791, 2.9294423792014115, 0.8388524717658974, 1.0887176504718656, 1.5811388300841895, 1.9183326093250876, 3.0180409918639985, 3.330992375266211, 0.9521190115972364, 1.4405214475377752, 1.9980602838651254, 2.3733211036908783, 2.3321182453306446, 3.213237924459326, 1.1823532398033463, 1.7048550120889752]",50,20.0,10.0,B,2,60
0.045,"[1.12, 2.5, 3.26, 4.38, 0.52, 0.8, 1.84, 2.42, 3.36, 4.74, 0.82, 1.04, 1.38, 2.32, 3.06, 3.86, 0.72, 0.98, 1.68, 2.36, 3.16, 4.34, 1.04, 1.74, 2.26, 3.54, 3.92, 5.44, 0.96, 1.56, 2.04, 3.08, 3.68, 4.16, 1.16, 2.2]","[1.042759290908266, 1.5419309389230644, 1.8384776310850235, 2.088745351366974, 1.0149896953332354, 1.1065666703449764, 2.57428412874535, 2.956072960354459, 3.794518065174915, 4.822608321272646, 1.4097329317198735, 1.7491688988587393, 1.8940292866731259, 3.0999670834328787, 3.4547217023685604, 3.8173075242497667, 1.340727795045722, 1.5318389642011645, 2.45315290670465, 3.0623453730226884, 3.8932699650047597, 4.913995008012882, 1.4136362144974832, 2.776063870346808, 2.8700423092949094, 3.8767227901717103, 3.968446979433067, 5.79288796891569, 1.3546593818433934, 2.2238044254045772, 2.626085781274528, 3.2377871001847, 4.017512683647098, 3.996733360010449, 1.4478696524937058, 2.610809554642438]",50,20.0,10.0,B,2,60
0.05,"[1.5, 2.4, 4.2, 5.88, 1.1, 2.12, 2.78, 3.66, 5.4, 6.58, 1.14, 2.46, 3.34, 3.76, 4.76, 5.98, 1.28, 2.6, 3.92, 5.74, 7.22, 8.94, 1.8, 3.52, 4.88, 6.68, 9.44, 10.1, 2.4, 3.68, 5.16, 6.86, 8.54, 10.56, 2.54, 4.32]","[1.0350983390135313, 1.3702375780893485, 2.9137254363387344, 3.2553879984432212, 1.5551100755055172, 2.2645448251924987, 2.801530194120962, 3.4499926057300234, 4.040610178208842, 4.6339034543772915, 1.4287142785721425, 2.6512222826154614, 3.2739541093613513, 3.437844602393204, 3.992646301614497, 4.753044137332261, 1.6040764397277942, 3.2701494692170274, 4.379171480673354, 5.161909154803965, 5.1874652691239636, 6.634510885805943, 1.5649215928719036, 3.1638261517294763, 3.5607841374435187, 4.391271490823865, 5.414116092329798, 5.9564747826826805, 1.9272482233188633, 3.4666928308798104, 3.6997517842831193, 4.426312788084366, 4.777540995029103, 6.141727470877441, 1.8318051763442618, 2.9995918089647065]",50,20.0,10.0,B,2,60
