beta,mean,std,n_iter,isolation_time,avg_isolation_delay,data_type,init_env,tau0
0.055,"[2.18, 4.22, 6.44, 8.52, 1.76, 2.98, 4.5, 6.38, 9.22, 12.32, 2.38, 4.12, 5.6, 8.36, 10.08, 12.32, 2.48, 5.0, 6.24, 7.8, 9.98, 12.56, 3.38, 5.52, 8.3, 10.26, 13.14, 15.7, 2.98, 5.14, 7.7, 9.42, 11.44, 14.06, 3.22, 6.26]","[1.5076674780898458, 2.0926499166055907, 3.7041620275752805, 4.301115185243787, 1.9331691227471164, 2.676351461011267, 3.955105199973465, 4.877645802170199, 6.319035059376759, 6.625368684388938, 2.6487578914175867, 4.023603826807759, 4.750939756661683, 6.435742032602307, 7.585808447088444, 8.167731431351909, 2.8588566288797685, 4.389226141639205, 5.121224343407561, 5.767608353767528, 6.711215103337496, 6.966860329958026, 3.193679983457125, 5.1079769548646725, 6.360753388826625, 7.125149479276965, 8.256129448439369, 9.100908230074891, 2.470148305883925, 4.065835757647284, 5.643309204315337, 5.757302372834423, 6.5063861877765765, 6.9705210182099115, 2.392931768559144, 4.114732118639471]",50,20.0,10.0,B,2,60
0.06,"[2.36, 4.94, 7.16, 11.38, 1.88, 2.76, 5.2, 7.56, 10.9, 13.02, 2.8, 4.68, 6.5, 9.02, 11.64, 13.44, 3.24, 6.2, 8.74, 11.16, 14.46, 15.82, 4.66, 8.6, 12.74, 15.14, 18.74, 21.4, 6.0, 10.9, 14.18, 17.58, 19.74, 21.84, 6.88, 11.82]","[1.4251387329531335, 2.6833576286558056, 3.5246073742839985, 5.82356227330149, 2.0764962640693283, 2.744642276233789, 4.7423407636279515, 5.492703880455176, 7.094838595336581, 7.3108529891231875, 2.9067128499108286, 4.962882638309378, 6.661647770665165, 8.237519935871328, 8.663222758963812, 9.804538724072478, 3.0207446034353302, 5.587887775887986, 6.700015229955275, 7.388242175848026, 8.972088237803883, 8.620549724409713, 3.1918902339062543, 5.484672520129276, 7.099324486404696, 7.803740599670057, 7.471879254366786, 7.65586343255672, 4.0456577881446565, 6.091982017205828, 7.64169550584696, 7.236782462404356, 6.170403353997242, 6.198617357351327, 3.3236321415350556, 5.321078607859538]",50,20.0,10.0,B,2,60
0.02,"[0.22, 0.34, 0.32, 0.36, 0.12, 0.12, 0.12, 0.14, 0.24, 0.16, 0.0, 0.04, 0.02, 0.04, 0.02, 0.08, 0.04, 0.04, 0.04, 0.08, 0.14, 0.12, 0.08, 0.08, 0.08, 0.04, 0.1, 0.12, 0.02, 0.02, 0.04, 0.04, 0.04, 0.1, 0.06, 0.0]","[0.5066899385990917, 0.65807387464463, 0.5510657577710258, 0.59795570104161, 0.32826072265931605, 0.328260722659316, 0.5205962045225315, 0.3505098327538653, 0.47638091430094504, 0.37032803990902036, 0.0, 0.19794866372215747, 0.14142135623730945, 0.19794866372215753, 0.14142135623730945, 0.27404751561786983, 0.19794866372215744, 0.19794866372215744, 0.19794866372215747, 0.34046786536608525, 0.4045657788144656, 0.38544964466377274, 0.2740475156178698, 0.34046786536608525, 0.2740475156178697, 0.19794866372215744, 0.3030457633656631, 0.38544964466377274, 0.14142135623730948, 0.14142135623730948, 0.19794866372215741, 0.19794866372215741, 0.19794866372215741, 0.30304576336566313, 0.23989793748209529, 0.0]",50,28.0,14.0,B,2,60
0.025,"[0.54, 0.5, 0.76, 0.88, 0.04, 0.22, 0.3, 0.36, 0.24, 0.48, 0.08, 0.1, 0.16, 0.06, 0.24, 0.16, 0.08, 0.12, 0.18, 0.24, 0.24, 0.36, 0.16, 0.16, 0.12, 0.18, 0.28, 0.24, 0.06, 0.16, 0.14, 0.08, 0.2, 0.3, 0.08, 0.3]","[0.6131218209678554, 0.6468132241526726, 0.8935140440635366, 1.0621503025966346, 0.1979486637221575, 0.6157789160643519, 0.6468132241526725, 0.662709343128183, 0.5554920598635311, 0.8861749953869047, 0.2740475156178697, 0.303045763365663, 0.46773444410699755, 0.313635691430002, 0.5554920598635311, 0.37032803990902047, 0.2740475156178698, 0.32826072265931605, 0.48191793695522916, 0.5174505793221386, 0.5174505793221383, 0.6627093431281831, 0.42185208743524005, 0.5095015571464863, 0.32826072265931605, 0.4819179369552291, 0.607436903584837, 0.5174505793221384, 0.23989793748209529, 0.42185208743524005, 0.49528388066742063, 0.27404751561786983, 0.45175395145262554, 0.6468132241526725, 0.2740475156178699, 0.6776309271789384]",50,28.0,14.0,B,2,60
0.03,"[0.34, 1.08, 0.96, 1.2, 0.16, 0.22, 0.24, 0.44, 0.66, 0.58, 0.08, 0.12, 0.18, 0.3, 0.34, 0.46, 0.12, 0.24, 0.32, 0.48, 0.48, 0.7, 0.38, 0.52, 0.5, 0.54, 0.8, 0.78, 0.14, 0.38, 0.54, 0.36, 0.48, 0.92, 0.26, 0.3]","[0.4785181206984065, 0.9441549509633319, 0.9467452300446225, 1.0690449676496974, 0.42185208743524005, 0.5454823740581942, 0.47638091430094504, 0.7045044574821688, 1.0022423838165935, 0.8103916916390196, 0.395897327444315, 0.32826072265931605, 0.5602477586036454, 0.6144518047887589, 0.6262945776223707, 0.7879189847507244, 0.38544964466377285, 0.5554920598635312, 0.7125693664765668, 0.8388524717658972, 0.8628382211738002, 1.0350983390135315, 0.7253429871306348, 0.8628382211737998, 0.7889543583705186, 0.862128358263692, 1.1428571428571428, 1.1301074538037774, 0.35050983275386544, 0.7795864942652719, 1.0730463976122244, 0.662709343128183, 0.8141603913585718, 1.1399964196148575, 0.6642473107178668, 0.7071067811865475]",50,28.0,14.0,B,2,60
0.035,"[0.82, 1.6, 1.76, 2.28, 0.38, 0.34, 0.64, 0.66, 1.14, 1.8, 0.2, 0.36, 0.66, 0.94, 0.98, 1.04, 0.42, 0.52, 0.74, 0.74, 1.26, 1.52, 0.6, 0.56, 0.96, 0.9, 1.12, 1.38, 0.22, 0.42, 0.64, 0.98, 1.12, 1.4, 0.24, 0.58]","[0.800255061380624, 1.0101525445522104, 1.3785529236359795, 1.5123977448989772, 0.6966391622992347, 0.745325569185462, 1.1385633625812157, 1.1358715075362413, 1.7024592056606744, 2.1759351731039738, 0.6388765649999396, 0.9205144967764013, 1.0615737258948172, 1.4764823060233405, 1.571298695931723, 1.4563022785571034, 0.9495433918790784, 0.8141603913585717, 1.2906255404703126, 1.1919800025716092, 1.8273433375995298, 2.1781849774338182, 0.9476070829586855, 0.9722685444099176, 1.6408061731841406, 1.606745982743142, 1.6738078303859214, 1.759986085288223, 0.4646701704940173, 0.9915973508044732, 1.1738650619528075, 1.5842335428740755, 1.996323150807248, 2.0000000000000004, 0.624663174545013, 0.949543391879078]",50,28.0,14.0,B,2,60
0.04,"[0.96, 1.96, 2.34, 3.88, 0.52, 0.5, 1.04, 1.3, 1.94, 2.24, 0.46, 0.56, 0.74, 1.08, 1.44, 2.04, 0.34, 0.68, 1.14, 1.24, 2.0, 2.34, 0.64, 1.2, 1.52, 2.16, 2.92, 2.8, 0.52, 1.04, 1.4, 1.8, 2.18, 3.26, 0.94, 1.74]","[0.92493794607078, 1.5113178463357935, 1.6734420107267847, 2.200556515882252, 0.9527618286018897, 0.8144110179279557, 1.8839818882096617, 1.7985254731448814, 2.2534327555251052, 2.6920896973866806, 0.7879189847507246, 0.9722685444099176, 1.2422822972748384, 1.651715249462244, 2.101117292668598, 2.828138495006703, 0.772221814385119, 1.3915195042155344, 2.1093571900230743, 1.964584392876695, 3.0904725218262765, 3.021082384760502, 0.9847821679779476, 1.6288220358559111, 1.7640398903352152, 2.5979583820958414, 2.8702556239712833, 2.7404751561786966, 0.9946797248873835, 1.354659381843394, 1.979486637221574, 2.4578072191550366, 2.869188891997037, 3.089217588018437, 1.36142182579651, 1.8495448971383777]",50,28.0,14.0,B,2,60
0.045,"[1.18, 2.56, 2.98, 4.72, 0.78, 1.0, 1.34, 2.34, 3.34, 4.2, 0.64, 0.96, 1.3, 2.1, 2.5, 3.2, 0.64, 1.46, 2.1, 2.74, 3.78, 4.52, 0.9, 1.54, 2.08, 2.82, 3.56, 4.4, 0.9, 1.6, 2.28, 2.64, 3.48, 4.76, 1.3, 2.06]","[1.1899236813119316, 1.66794508792302, 2.09459946977352, 2.9557277497449315, 1.2501428489805249, 1.5907898179514348, 2.0264576512340198, 2.5443815655322624, 3.543375538110748, 3.8861344310672696, 1.381510560427038, 1.7138094576535796, 1.8098370656171325, 2.771943987418894, 3.1638906557643, 3.481730744843983, 0.9205144967764005, 2.0021417104119843, 2.2790080190776885, 2.6093239409033577, 3.6549658699096064, 3.94472005680132, 1.2494896917525646, 2.072265840640557, 2.345990935487125, 3.30546856723515, 3.923555239102123, 4.535573676110726, 1.2163847404233146, 2.364706479606693, 2.6499133601547284, 2.8979936761385074, 3.6435013436001813, 3.9515432273418223, 1.6444092047459054, 2.3335179713147656]",50,28.0,14.0,B,2,60
0.05,"[1.62, 2.8, 4.64, 6.42, 1.5, 2.38, 3.34, 5.3, 7.04, 8.5, 1.4, 2.62, 3.58, 4.66, 6.98, 7.48, 1.62, 3.0, 3.48, 5.38, 7.06, 8.06, 1.6, 3.04, 4.96, 6.38, 8.04, 9.78, 1.82, 3.26, 4.78, 5.54, 7.28, 9.14, 2.72, 3.16]","[1.2103296902842933, 1.8182745801939795, 2.693605428432611, 3.8813525940300337, 1.6319513798279803, 2.4734508654253617, 3.1918902339062534, 4.616960746054946, 4.557836937739262, 5.592451180303824, 1.9272482233188628, 3.5160854857152066, 3.7855256017669, 4.5338185014490415, 6.001666435249463, 6.789066840989899, 1.8170395298565256, 3.8703477668983046, 3.7592878179196636, 4.707310857613302, 5.2427209013049305, 5.036236041865767, 1.8070158058105026, 2.732719360278479, 3.675400852773943, 4.467067704607914, 5.573113298393878, 5.929139387596738, 1.923962747316388, 3.1610512330487754, 4.427603580876201, 4.334060640167954, 5.692960206989624, 6.050839037788436, 2.9763695184240953, 3.272395365565021]",50,28.0,14.0,B,2,60
0.055,"[1.82, 3.8, 6.12, 9.06, 1.42, 3.0, 4.56, 6.82, 9.04, 10.92, 3.0, 3.88, 5.7, 7.82, 9.76, 11.06, 2.56, 4.8, 6.26, 9.22, 11.28, 13.5, 3.5, 6.42, 8.58, 10.98, 13.0, 14.66, 3.24, 5.02, 7.74, 10.08, 11.98, 14.02, 4.1, 7.46]","[1.3353895709202046, 2.2223355980148636, 3.7232857992446853, 4.962759272001487, 1.7738462763849914, 3.2576440717118227, 4.422392002119233, 5.85431987719238, 6.620808261897964, 7.311829944880908, 3.1102201510110343, 3.993055195701453, 5.163648449122235, 6.65380050982067, 7.150167687487035, 7.672931483534857, 2.287142410993086, 3.880879344916036, 4.9808203569865315, 6.456415888281128, 6.521675007079023, 6.908291380357256, 2.7719439874188936, 4.5359786199690495, 5.635492481603013, 6.447559259763595, 7.247800510837613, 7.243885528569624, 2.73719653988514, 4.225722978837769, 6.110579651184442, 6.835800118881925, 6.831768528316061, 6.84966854553368, 2.8157719063467184, 4.9783613401051]",50,28.0,14.0,B,2,60
0.06,"[2.2, 4.48, 7.16, 9.4, 2.34, 4.28, 6.16, 9.04, 12.46, 14.42, 3.72, 6.38, 8.5, 12.52, 14.8, 17.14, 4.98, 8.46, 11.28, 14.1, 17.12, 19.24, 5.34, 7.96, 11.8, 14.58, 17.84, 20.12, 4.48, 7.98, 11.5, 13.94, 17.2, 19.06, 5.34, 9.52]","[1.4285714285714288, 2.392505304623808, 3.138698547396448, 4.602572483882003, 2.99393945653344, 4.242833092764931, 5.354227778311342, 5.969172506148844, 7.034057092722056, 7.573018700947327, 3.2327406708392106, 5.587486017879598, 6.975906056285624, 8.84155310024714, 9.456668093391638, 9.600191324624095, 3.987173312060584, 5.9939084724001415, 7.772373892085182, 8.236925322929073, 9.507548021848487, 9.02956594884216, 3.2363370576966184, 4.213486607045891, 6.436503043467892, 6.984209595471014, 7.568355171369799, 8.21308065694907, 3.7592878179196636, 5.072897171664897, 6.544198240597919, 7.257395946093016, 7.658528659245834, 8.14764270403735, 3.40234013104906, 5.1872685588892375]",50,28.0,14.0,B,2,60
