hcw_wash_rate,n_betas,mean,std,max,median,nonzero_mean,disease_free(%)
0.91,50,"[0.0, 0.0, 0.0, 9.24, 0.94, 4.4, 1.16, 1.04, 1.04, 3.88, 1.5, 2.26, 1.52, 1.62, 1.72, 1.5, 1.58, 1.98, 1.62]","[0.0, 0.0, 0.0, 14.295082642471918, 1.7660055238317016, 9.936533292730974, 1.5031938786246755, 1.3546593818433936, 1.3546593818433936, 9.228704112270407, 1.6690459207925603, 6.183618912671035, 1.593865792112155, 1.7483519937007965, 1.7266222776843574, 1.5939938288872426, 1.7034179325876617, 4.46523989802774, 1.6399352899130015]","[0.0, 0.0, 0.0, 32.0, 9.0, 31.0, 5.0, 4.0, 4.0, 33.0, 6.0, 32.0, 6.0, 6.0, 6.0, 6.0, 7.0, 31.0, 6.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.5, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 1.0, 2.0]","[0.0, 0.0, 0.0, np.float64(30.8), np.float64(3.1333333333333333), np.float64(10.476190476190476), np.float64(2.761904761904762), np.float64(2.4761904761904763), np.float64(2.4761904761904763), np.float64(7.461538461538462), np.float64(2.8846153846153846), np.float64(4.035714285714286), np.float64(2.7142857142857144), np.float64(2.892857142857143), np.float64(3.0714285714285716), np.float64(2.6785714285714284), np.float64(2.8214285714285716), np.float64(3.413793103448276), np.float64(2.793103448275862)]","[np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(70.0), np.float64(70.0), np.float64(57.99999999999999), np.float64(57.99999999999999), np.float64(57.99999999999999), np.float64(57.99999999999999), np.float64(48.0), np.float64(48.0), np.float64(44.0), np.float64(44.0), np.float64(44.0), np.float64(44.0), np.float64(44.0), np.float64(44.0), np.float64(42.0), np.float64(42.0)]"
0.93,50,"[0.0, 0.0, 0.0, 9.1, 1.36, 3.78, 1.34, 1.26, 1.24, 3.98, 1.78, 2.6, 1.72, 1.82, 1.86, 1.82, 1.74, 2.22, 1.82]","[0.0, 0.0, 0.0, 14.057099303068421, 2.760952216692123, 8.956333980337428, 1.9124724887977254, 1.8823563175239835, 1.8467842984219778, 8.965899114911762, 2.215805929761752, 6.253162465211224, 1.9798989873223334, 2.0671384144487748, 2.194706060928786, 2.0965472100769946, 2.0082482975194567, 4.590540406585023, 1.9865876804825142]","[0.0, 0.0, 0.0, 32.0, 13.0, 33.0, 8.0, 8.0, 8.0, 33.0, 8.0, 32.0, 8.0, 8.0, 10.0, 8.0, 8.0, 31.0, 8.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 1.0, 2.0]","[0.0, 0.0, 0.0, np.float64(26.764705882352942), np.float64(4.25), np.float64(9.45), np.float64(3.35), np.float64(3.15), np.float64(3.1), np.float64(7.96), np.float64(3.56), np.float64(4.814814814814815), np.float64(3.185185185185185), np.float64(3.3703703703703702), np.float64(3.4444444444444446), np.float64(3.3703703703703702), np.float64(3.2222222222222223), np.float64(3.9642857142857144), np.float64(3.25)]","[np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(66.0), np.float64(68.0), np.float64(60.0), np.float64(60.0), np.float64(60.0), np.float64(60.0), np.float64(50.0), np.float64(50.0), np.float64(46.0), np.float64(46.0), np.float64(46.0), np.float64(46.0), np.float64(46.0), np.float64(46.0), np.float64(44.0), np.float64(44.0)]"
0.97,50,"[0.0, 0.0, 0.0, 5.4, 2.74, 2.14, 1.52, 1.02, 1.0, 2.74, 2.54, 2.26, 1.42, 1.42, 1.42, 1.36, 1.36, 1.5, 1.94]","[0.0, 0.0, 0.0, 10.295630140986997, 5.9789085073092965, 5.7711810413679565, 3.195915760939329, 1.766929771192543, 1.7261494247992246, 6.589447346062535, 5.433118396483192, 5.961817282181874, 1.83046776669188, 1.841583169837456, 1.8636150955843314, 1.7815379734994168, 1.7815379734994168, 2.0726597326495586, 3.7275039522830444]","[0.0, 0.0, 0.0, 31.0, 24.0, 30.0, 16.0, 6.0, 6.0, 31.0, 26.0, 31.0, 6.0, 6.0, 6.0, 6.0, 6.0, 9.0, 24.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, np.float64(22.5), np.float64(11.416666666666666), np.float64(7.133333333333334), np.float64(5.066666666666666), np.float64(3.4), np.float64(3.3333333333333335), np.float64(6.85), np.float64(6.35), np.float64(5.136363636363637), np.float64(3.227272727272727), np.float64(3.227272727272727), np.float64(3.227272727272727), np.float64(3.090909090909091), np.float64(3.090909090909091), np.float64(3.260869565217391), np.float64(4.217391304347826)]","[np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(76.0), np.float64(76.0), np.float64(70.0), np.float64(70.0), np.float64(70.0), np.float64(70.0), np.float64(60.0), np.float64(60.0), np.float64(56.00000000000001), np.float64(56.00000000000001), np.float64(56.00000000000001), np.float64(56.00000000000001), np.float64(56.00000000000001), np.float64(56.00000000000001), np.float64(54.0), np.float64(54.0)]"
0.99,50,"[0.0, 0.0, 0.0, 1.7, 2.8, 1.18, 1.0, 0.4, 0.5, 0.48, 0.86, 0.96, 1.06, 1.18, 1.2, 0.96, 0.88, 1.06, 1.38]","[0.0, 0.0, 0.0, 4.413569058792973, 6.901641330960664, 3.348408089629142, 3.475864303027554, 1.0101525445522106, 1.1473127431577865, 1.1471348514219848, 2.258860106246475, 2.725241049065239, 2.8671965971189723, 3.021622756340153, 3.0169588688489815, 2.0199009876724165, 1.8142294704442912, 2.207686017308714, 3.7410573644468004]","[0.0, 0.0, 0.0, 18.0, 26.0, 19.0, 22.0, 4.0, 4.0, 5.0, 13.0, 17.0, 18.0, 15.0, 17.0, 8.0, 8.0, 9.0, 24.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, np.float64(10.625), np.float64(17.5), np.float64(6.555555555555555), np.float64(5.555555555555555), np.float64(2.5), np.float64(2.7777777777777777), np.float64(2.1818181818181817), np.float64(4.3), np.float64(4.0), np.float64(4.416666666666667), np.float64(4.916666666666667), np.float64(5.0), np.float64(4.0), np.float64(3.6666666666666665), np.float64(4.076923076923077), np.float64(5.3076923076923075)]","[np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(84.0), np.float64(84.0), np.float64(82.0), np.float64(82.0), np.float64(84.0), np.float64(82.0), np.float64(78.0), np.float64(80.0), np.float64(76.0), np.float64(76.0), np.float64(76.0), np.float64(76.0), np.float64(76.0), np.float64(76.0), np.float64(74.0), np.float64(74.0)]"
