0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18
"[0, 8, 15, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,
"[0, 10, 2, 6, 11, 8, 0, 1, 0, 2, 0, 2, 1, 0, 2, 2, 1, 1, 0, 1, 0, 2, 0, 0, 0, 0, 2, 1, 4, 0, 0, 2, 1, 1, 0, 0]",,,,,,,
"[0, 9, 15, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,
"[0, 6, 2, 12, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,
"[0, 4, 17, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,
"[0, 21, 14, 3, 3, 3, 3, 3, 0, 3, 0, 6, 2, 3, 2, 2, 3, 0, 3, 3, 0, 4, 2, 0, 2, 2, 3, 3, 5, 1, 3, 3, 2, 2, 0, 0]",,,,,,,
"[1, 18, 12, 18, 12, 6, 5, 7, 8, 7, 8, 6, 10, 6, 9, 10, 9, 2, 10, 8, 8, 10, 7, 4, 9, 7, 8, 10, 7, 3, 8, 8, 8, 8, 5, 2]",,,,,,,
"[0, 4, 9, 13, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,
"[0, 3, 14, 10, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,
"[0, 13, 9, 7, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,
"[1, 10, 16, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,
"[0, 5, 18, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,
"[0, 8, 13, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,
"[0, 13, 14, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,
"[0, 6, 15, 6, 3, 2, 1, 1, 0, 1, 1, 0, 2, 0, 3, 2, 0, 0, 1, 2, 0, 2, 0, 0, 0, 0, 2, 2, 2, 0, 1, 2, 1, 0, 0, 0]",,,,,,,
"[0, 10, 17, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,
"[0, 1, 7, 14, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,
"[0, 7, 17, 9, 3, 1, 1, 0, 0, 2, 0, 1, 1, 0, 2, 2, 1, 0, 1, 2, 0, 1, 1, 0, 0, 0, 2, 2, 2, 1, 0, 2, 1, 1, 0, 0]",,,,,,,
"[0, 10, 18, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,
"[1, 7, 11, 12, 4, 3, 1, 1, 0, 1, 1, 0, 1, 1, 1, 3, 0, 1, 1, 1, 0, 2, 0, 0, 0, 1, 1, 2, 3, 1, 0, 2, 0, 1, 0, 0]",,,,,,,
"[1, 12, 12, 7, 2, 4, 0, 0, 0, 1, 1, 1, 1, 0, 3, 2, 0, 1, 0, 2, 0, 2, 0, 0, 0, 0, 2, 2, 3, 0, 0, 2, 1, 0, 1, 0]",,,,,,,
"[0, 11, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,
"[1, 5, 9, 10, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,
,"[0, 6, 19, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,
,"[0, 13, 18, 4, 6, 3, 2, 2, 0, 4, 1, 3, 3, 1, 4, 4, 2, 1, 3, 2, 3, 3, 2, 0, 1, 3, 3, 3, 5, 1, 1, 4, 3, 1, 1, 0]",,,,,,
