isolation_time,cleaningDay,tau_offset_days,beta,mean,std,n,max,median,nonzero_mean,disease_free(%)
28,180,140,0.02,"[2.22, 0.92, 0.24, 0.16, 0.2, 0.36, 0.26, 0.2, 0.06, 0.08, 0.06, 0.02, 0.06, 0.02, 0.0, 0.0, 0.04, 0.02, 0.0]","[1.3310146505579872, 0.7959899496852957, 0.5122499389946281, 0.41761226035642196, 0.48989794855663554, 0.6248199740725324, 0.6264183905346331, 0.529150262212918, 0.23748684174075843, 0.2712931993250109, 0.23748684174075843, 0.1399999999999999, 0.2374868417407584, 0.1399999999999999, 0.0, 0.0, 0.19595917942265434, 0.1399999999999999, 0.0]",50,"[5.0, 3.0, 2.0, 2.0, 2.0, 3.0, 3.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0]","[2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.3617021276595747, 1.393939393939394, 1.2, 1.1428571428571428, 1.25, 1.2, 1.4444444444444444, 1.4285714285714286, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0]","[6.0, 34.0, 80.0, 86.0, 84.0, 70.0, 82.0, 86.0, 94.0, 92.0, 94.0, 98.0, 94.0, 98.0, 100.0, 100.0, 96.0, 98.0, 100.0]"
28,180,140,0.025,"[3.18, 1.56, 0.38, 0.74, 0.9, 0.84, 0.92, 0.46, 0.04, 0.1, 0.14, 0.06, 0.16, 0.02, 0.0, 0.0, 0.02, 0.08, 0.02]","[1.4098226838861685, 1.1859173664298872, 0.4853864439804637, 1.054703749874817, 1.0816653826391969, 1.065082156455547, 1.426043477598071, 0.805232885567896, 0.19595917942265428, 0.3605551275463987, 0.4476605857119877, 0.23748684174075843, 0.542586398650022, 0.13999999999999993, 0.0, 0.0, 0.13999999999999996, 0.4399999999999997, 0.13999999999999987]",50,"[7.0, 6.0, 1.0, 5.0, 4.0, 5.0, 7.0, 3.0, 1.0, 2.0, 2.0, 1.0, 3.0, 1.0, 0.0, 0.0, 1.0, 3.0, 1.0]","[3.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.18, 1.7727272727272727, 1.0, 1.608695652173913, 1.7307692307692308, 1.6153846153846154, 2.090909090909091, 1.5333333333333334, 1.0, 1.25, 1.4, 1.0, 1.6, 1.0, 0.0, 0.0, 1.0, 2.0, 1.0]","[0.0, 12.0, 62.0, 54.0, 48.0, 48.0, 56.00000000000001, 70.0, 96.0, 92.0, 90.0, 94.0, 90.0, 98.0, 100.0, 100.0, 98.0, 96.0, 98.0]"
28,180,140,0.03,"[4.62, 1.96, 0.94, 1.16, 1.28, 1.48, 1.66, 0.9, 0.22, 0.52, 0.34, 0.44, 0.52, 0.2, 0.18, 0.1, 0.1, 0.1, 0.14]","[1.9482299658921172, 1.3850631754544624, 1.1029052543169793, 1.3617635624439357, 1.2967652061957864, 1.7690675509996785, 1.9037857022259617, 1.0246950765959602, 0.609590026165127, 1.2039933554633933, 0.7378346698278688, 0.8979977728257461, 1.1872657663724664, 0.5999999999999996, 0.6539113089708722, 0.41231056256176585, 0.4582575694955839, 0.4999999999999999, 0.6003332407921456]",50,"[10.0, 5.0, 4.0, 5.0, 5.0, 8.0, 7.0, 3.0, 3.0, 5.0, 3.0, 4.0, 5.0, 3.0, 4.0, 2.0, 3.0, 3.0, 3.0]","[4.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.62, 2.2790697674418605, 1.8076923076923077, 2.0714285714285716, 2.0, 2.466666666666667, 2.9642857142857144, 1.8, 1.5714285714285714, 2.3636363636363638, 1.7, 1.8333333333333333, 2.888888888888889, 1.6666666666666667, 1.8, 1.6666666666666667, 1.6666666666666667, 2.5, 2.3333333333333335]","[0.0, 14.000000000000002, 48.0, 44.0, 36.0, 40.0, 44.0, 50.0, 86.0, 78.0, 80.0, 76.0, 82.0, 88.0, 90.0, 94.0, 94.0, 96.0, 94.0]"
28,180,140,0.035,"[6.02, 2.54, 0.88, 1.0, 1.1, 1.2, 1.34, 0.68, 0.26, 0.38, 0.38, 0.36, 0.42, 0.26, 0.0, 0.1, 0.1, 0.2, 0.16]","[1.9543796969882803, 1.3298120167903433, 1.1426285485668561, 1.3114877048604001, 1.38924439894498, 1.414213562373095, 1.7956614380222127, 1.1214276615100953, 0.5936328831862331, 0.79724525711979, 0.9775479527879944, 0.7939773296511683, 0.9400000000000001, 0.6264183905346329, 0.0, 0.7000000000000006, 0.45825756949558394, 0.9999999999999998, 0.6118823416311344]",50,"[12.0, 6.0, 4.0, 4.0, 5.0, 5.0, 8.0, 5.0, 3.0, 3.0, 5.0, 4.0, 4.0, 2.0, 0.0, 5.0, 3.0, 7.0, 3.0]","[6.0, 2.0, 0.0, 0.0, 1.0, 1.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[6.02, 2.6458333333333335, 1.9130434782608696, 2.272727272727273, 1.896551724137931, 2.3076923076923075, 2.68, 1.8888888888888888, 1.3, 1.7272727272727273, 2.111111111111111, 1.5, 2.1, 1.625, 0.0, 5.0, 1.6666666666666667, 2.5, 2.0]","[0.0, 4.0, 54.0, 56.00000000000001, 42.0, 48.0, 50.0, 64.0, 80.0, 78.0, 82.0, 76.0, 80.0, 84.0, 100.0, 98.0, 94.0, 92.0, 92.0]"
28,180,140,0.04,"[7.36, 3.5, 1.16, 1.9, 2.38, 2.44, 3.16, 1.36, 0.5, 0.76, 0.76, 0.82, 0.78, 0.46, 0.14, 0.2, 0.18, 0.42, 0.46]","[1.7973313550928784, 1.6643316977093239, 1.7928747864811976, 2.451530134426253, 3.1993124261315904, 2.721470190907848, 3.2946016451158395, 1.6942254867637891, 0.9, 1.5435025105259792, 1.2893409169028958, 1.7051686133634998, 1.6527552752903256, 0.8991106717195608, 0.4903060268852508, 0.7483314773547878, 0.5546169849544824, 1.2975361266646879, 1.512745847788056]",50,"[11.0, 7.0, 9.0, 9.0, 14.0, 10.0, 12.0, 6.0, 3.0, 8.0, 5.0, 10.0, 7.0, 4.0, 3.0, 4.0, 3.0, 6.0, 8.0]","[7.0, 3.0, 0.0, 1.0, 1.0, 2.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[7.36, 3.6458333333333335, 2.4166666666666665, 3.2758620689655173, 3.71875, 3.8125, 5.096774193548387, 2.5185185185185186, 1.7857142857142858, 2.7142857142857144, 2.375, 2.5625, 2.4375, 1.7692307692307692, 1.4, 2.5, 1.5, 4.2, 3.8333333333333335]","[0.0, 4.0, 52.0, 42.0, 36.0, 36.0, 38.0, 46.0, 72.0, 72.0, 68.0, 68.0, 68.0, 74.0, 90.0, 92.0, 88.0, 90.0, 88.0]"
28,180,140,0.045,"[9.36, 4.06, 1.94, 2.1, 2.96, 4.22, 4.7, 2.02, 0.9, 1.16, 1.7, 1.92, 2.72, 1.02, 0.48, 0.62, 0.8, 0.9, 1.32]","[2.4146221236458523, 1.7018813119603846, 2.072775916494593, 2.06155281280883, 2.727343029396925, 3.6237549586030244, 4.513313638558704, 2.1770622407271683, 1.565247584249853, 1.7476841819962785, 2.7874719729532704, 2.998933143636249, 3.97512263961755, 1.5810123339177344, 1.1356055653262715, 1.508509197850646, 1.6733200530681513, 2.022374841615669, 3.3072042573751017]",50,"[15.0, 7.0, 9.0, 8.0, 10.0, 13.0, 18.0, 9.0, 7.0, 6.0, 11.0, 12.0, 15.0, 5.0, 5.0, 8.0, 9.0, 11.0, 21.0]","[9.0, 4.0, 2.0, 2.0, 3.0, 4.0, 4.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[9.36, 4.06, 2.8529411764705883, 3.0, 4.111111111111111, 5.552631578947368, 6.184210526315789, 3.15625, 2.5, 3.0526315789473686, 4.473684210526316, 4.571428571428571, 6.476190476190476, 3.0, 2.4, 3.1, 2.857142857142857, 3.4615384615384617, 5.076923076923077]","[0.0, 0.0, 32.0, 30.0, 28.000000000000004, 24.0, 24.0, 36.0, 64.0, 62.0, 62.0, 57.99999999999999, 57.99999999999999, 66.0, 80.0, 80.0, 72.0, 74.0, 74.0]"
28,180,140,0.05,"[10.92, 4.42, 2.74, 3.86, 4.82, 6.28, 7.14, 3.12, 1.66, 2.56, 3.14, 4.04, 5.26, 2.6, 0.98, 1.56, 1.86, 2.4, 2.72]","[2.4563387388550466, 2.245796072665548, 2.6967387711827038, 3.5721702087106664, 4.102145779954681, 5.318044753478481, 6.161201181587888, 2.9640512816076576, 2.31179583873663, 3.76913783244922, 4.200047618777673, 5.039682529683789, 6.674758422594783, 3.532704346531139, 1.7831432920547912, 2.8993792439072203, 3.588927416373868, 4.294182110716777, 4.775102093149424]",50,"[17.0, 13.0, 11.0, 11.0, 14.0, 20.0, 21.0, 11.0, 8.0, 16.0, 14.0, 17.0, 23.0, 15.0, 7.0, 11.0, 13.0, 17.0, 18.0]","[11.0, 4.0, 2.0, 3.0, 4.0, 5.5, 6.0, 3.0, 0.0, 0.5, 1.0, 1.0, 1.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0]","[10.92, 4.42, 4.029411764705882, 5.361111111111111, 6.513513513513513, 8.051282051282051, 9.153846153846153, 4.457142857142857, 3.4583333333333335, 5.12, 6.038461538461538, 7.481481481481482, 9.74074074074074, 5.2, 3.2666666666666666, 4.875, 5.166666666666667, 7.0588235294117645, 8.0]","[0.0, 0.0, 32.0, 28.000000000000004, 26.0, 22.0, 22.0, 30.0, 52.0, 50.0, 48.0, 46.0, 46.0, 50.0, 70.0, 68.0, 64.0, 66.0, 66.0]"
28,180,140,0.055,"[11.54, 5.18, 2.74, 3.86, 5.3, 6.78, 8.68, 4.02, 2.5, 3.6, 4.88, 6.42, 8.16, 3.88, 2.0, 2.84, 3.92, 5.62, 6.66]","[2.3427334462119243, 2.242231031807383, 2.6893121797217967, 3.709501314193055, 4.788527957525152, 5.382527287436636, 7.710875436680325, 4.115774532211404, 3.4539832078341086, 4.795831523312721, 6.111104646461228, 7.356874336292553, 9.679586768039222, 4.798499765551729, 3.6221540552549665, 4.957257306212779, 5.771793482098954, 8.456689659671806, 10.090807698098306]",50,"[17.0, 13.0, 10.0, 13.0, 17.0, 18.0, 29.0, 15.0, 11.0, 18.0, 21.0, 31.0, 36.0, 18.0, 15.0, 20.0, 19.0, 24.0, 33.0]","[11.5, 5.0, 2.0, 3.0, 5.0, 6.5, 8.0, 3.0, 1.0, 2.0, 2.5, 3.5, 5.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0]","[11.54, 5.18, 4.029411764705882, 5.361111111111111, 6.973684210526316, 8.921052631578947, 11.128205128205128, 5.583333333333333, 4.8076923076923075, 6.428571428571429, 7.870967741935484, 10.7, 13.6, 6.689655172413793, 5.882352941176471, 7.888888888888889, 8.909090909090908, 13.380952380952381, 15.857142857142858]","[0.0, 0.0, 32.0, 28.000000000000004, 24.0, 24.0, 22.0, 28.000000000000004, 48.0, 44.0, 38.0, 40.0, 40.0, 42.0, 66.0, 64.0, 56.00000000000001, 57.99999999999999, 57.99999999999999]"
28,180,140,0.06,"[13.9, 7.66, 5.16, 6.52, 9.12, 10.1, 13.78, 7.08, 4.22, 6.42, 8.66, 11.24, 13.84, 6.92, 3.72, 5.52, 6.58, 9.36, 10.34]","[2.744084546802449, 2.7394159961568443, 3.9210202753875167, 4.738100885375912, 6.73688355250408, 6.865129277733961, 10.012572097118703, 5.287116416346438, 4.158316967235663, 6.261277824853327, 7.798999935889214, 8.961160639113663, 10.296329443058823, 5.592280393542512, 4.512382962471159, 7.239447492730368, 7.594972021014956, 10.34361638886516, 11.26163398446247]",50,"[20.0, 13.0, 13.0, 17.0, 27.0, 25.0, 38.0, 16.0, 18.0, 30.0, 37.0, 34.0, 32.0, 23.0, 18.0, 32.0, 31.0, 33.0, 37.0]","[14.0, 8.0, 4.5, 6.0, 9.5, 12.0, 14.5, 6.5, 4.0, 5.0, 7.0, 11.0, 13.0, 7.5, 2.0, 2.0, 4.0, 5.5, 6.5]","[13.9, 7.66, 6.0, 7.761904761904762, 10.604651162790697, 11.744186046511627, 16.023255813953487, 8.428571428571429, 5.552631578947368, 8.447368421052632, 10.560975609756097, 13.707317073170731, 16.878048780487806, 8.65, 6.2, 9.2, 10.966666666666667, 15.096774193548388, 16.677419354838708]","[0.0, 0.0, 14.000000000000002, 16.0, 14.000000000000002, 14.000000000000002, 14.000000000000002, 16.0, 24.0, 24.0, 18.0, 18.0, 18.0, 20.0, 40.0, 40.0, 40.0, 38.0, 38.0]"
