0.01,0.03,0.05,0.07,0.09
,"[3, 53, 26, 26, 28, 28, 30, 26, 25, 27, 23, 26, 29, 28, 29, 23, 28, 26, 27]",,,
,"[1, 50, 23, 22, 23, 21, 25, 21, 23, 21, 21, 25, 23, 24, 23, 20, 22, 26, 25]",,,
,"[3, 41, 21, 19, 19, 18, 18, 18, 18, 22, 17, 18, 18, 18, 18, 18, 16, 22, 20]",,,
,"[4, 49, 23, 24, 27, 26, 26, 24, 24, 26, 21, 26, 23, 24, 26, 24, 25, 27, 25]",,,
,"[4, 45, 21, 20, 23, 22, 21, 21, 20, 21, 16, 20, 21, 22, 21, 20, 21, 21, 21]",,,
,"[5, 61, 36, 36, 36, 41, 38, 36, 35, 39, 31, 35, 38, 43, 37, 36, 38, 36, 38]",,,
,"[1, 52, 24, 24, 25, 28, 25, 24, 25, 24, 22, 23, 25, 28, 24, 24, 24, 25, 25]",,,
,"[3, 41, 16, 17, 16, 17, 17, 16, 16, 16, 16, 16, 18, 15, 17, 16, 16, 16, 18]",,,
,"[1, 48, 21, 20, 21, 22, 20, 22, 21, 22, 13, 22, 21, 20, 20, 21, 20, 22, 24]",,,
,"[3, 48, 21, 23, 24, 23, 22, 21, 22, 23, 25, 22, 22, 23, 24, 22, 22, 25, 22]",,,
,"[4, 49, 27, 26, 26, 29, 28, 26, 27, 29, 23, 28, 27, 30, 26, 27, 25, 29, 27]",,,
,"[4, 61, 36, 36, 37, 39, 39, 37, 37, 38, 27, 38, 37, 37, 38, 35, 39, 40, 40]",,,
,"[2, 43, 17, 16, 14, 19, 17, 16, 16, 16, 13, 16, 16, 18, 17, 16, 19, 15, 18]",,,
,"[2, 46, 24, 22, 22, 24, 23, 22, 22, 24, 23, 22, 23, 24, 23, 22, 21, 25, 23]",,,
,"[3, 46, 21, 20, 23, 20, 21, 20, 20, 20, 18, 21, 21, 21, 20, 20, 19, 21, 21]",,,
,"[3, 44, 19, 18, 19, 19, 19, 18, 18, 20, 19, 18, 18, 19, 19, 18, 17, 22, 20]",,,
,"[3, 40, 16, 18, 16, 17, 18, 16, 17, 17, 12, 15, 16, 18, 17, 16, 16, 18, 16]",,,
,"[4, 49, 24, 24, 26, 25, 25, 25, 24, 27, 16, 25, 24, 25, 27, 24, 23, 29, 25]",,,
,"[5, 47, 25, 24, 22, 32, 23, 24, 25, 22, 24, 25, 26, 26, 25, 26, 22, 24, 24]",,,
,"[4, 67, 43, 42, 45, 46, 44, 40, 44, 47, 33, 47, 43, 43, 43, 42, 43, 48, 44]",,,
,"[2, 49, 29, 26, 25, 28, 27, 26, 26, 28, 22, 27, 27, 26, 27, 26, 26, 30, 27]",,,
,"[3, 49, 30, 28, 29, 34, 28, 28, 29, 30, 26, 30, 28, 32, 29, 29, 27, 32, 28]",,,
,"[4, 52, 33, 30, 32, 37, 31, 29, 30, 30, 26, 32, 33, 33, 29, 30, 32, 33, 30]",,,
,"[2, 42, 14, 14, 13, 17, 13, 14, 15, 14, 13, 15, 14, 13, 15, 14, 15, 15, 15]",,,
,"[1, 52, 27, 26, 26, 34, 26, 27, 25, 26, 24, 25, 26, 26, 29, 26, 29, 29, 26]",,,
,"[5, 49, 23, 25, 21, 30, 23, 24, 25, 25, 19, 26, 26, 27, 26, 23, 25, 23, 27]",,,
,"[1, 59, 33, 32, 32, 38, 31, 31, 37, 34, 30, 33, 32, 36, 34, 32, 32, 36, 34]",,,
,"[3, 57, 30, 28, 27, 38, 31, 30, 30, 31, 25, 29, 31, 34, 30, 30, 30, 31, 33]",,,
,"[3, 43, 16, 16, 16, 18, 17, 16, 17, 17, 14, 15, 17, 19, 17, 16, 14, 18, 17]",,,
,"[3, 36, 23, 16, 17, 16, 16, 16, 18, 18, 15, 15, 17, 16, 16, 16, 17, 20, 15]",,,
,"[3, 41, 17, 15, 16, 18, 16, 17, 16, 17, 14, 17, 16, 17, 17, 16, 16, 17, 18]",,,
,"[3, 51, 28, 26, 29, 29, 28, 26, 27, 28, 22, 27, 26, 28, 28, 27, 27, 27, 28]",,,
,"[3, 41, 30, 22, 21, 25, 23, 22, 23, 23, 20, 23, 23, 23, 21, 22, 26, 24, 22]",,,
,"[4, 57, 36, 36, 36, 44, 35, 37, 37, 37, 33, 36, 36, 42, 35, 36, 35, 40, 39]",,,
,"[4, 43, 18, 18, 20, 16, 21, 18, 19, 18, 16, 17, 19, 19, 18, 20, 16, 21, 17]",,,
,"[2, 43, 26, 22, 22, 24, 22, 24, 22, 23, 20, 23, 22, 23, 23, 23, 23, 25, 22]",,,
,"[3, 36, 22, 16, 17, 19, 17, 14, 17, 18, 15, 16, 18, 16, 16, 17, 16, 19, 16]",,,
,"[3, 43, 22, 20, 21, 21, 22, 18, 19, 22, 20, 20, 20, 19, 24, 20, 17, 24, 21]",,,
,"[2, 57, 31, 29, 34, 32, 31, 30, 31, 31, 27, 31, 31, 33, 31, 30, 27, 33, 35]",,,
,"[2, 52, 26, 26, 29, 33, 26, 25, 27, 27, 17, 26, 28, 28, 26, 28, 22, 31, 27]",,,
,"[3, 46, 25, 22, 22, 24, 21, 22, 25, 23, 22, 23, 21, 26, 21, 24, 22, 24, 22]",,,
,"[4, 48, 26, 24, 24, 29, 23, 24, 24, 28, 22, 24, 24, 27, 26, 24, 22, 28, 26]",,,
,"[4, 36, 21, 18, 18, 20, 21, 16, 18, 20, 14, 18, 18, 18, 21, 17, 19, 20, 19]",,,
,"[3, 41, 24, 20, 19, 21, 24, 20, 21, 20, 18, 20, 20, 23, 22, 20, 21, 20, 22]",,,
,"[5, 53, 28, 27, 29, 33, 31, 28, 29, 26, 21, 29, 28, 34, 28, 26, 29, 30, 31]",,,
,"[3, 50, 24, 24, 26, 23, 25, 26, 25, 26, 22, 25, 26, 24, 27, 24, 23, 26, 25]",,,
,"[1, 48, 21, 19, 22, 21, 24, 20, 19, 22, 17, 22, 20, 20, 22, 20, 21, 22, 24]",,,
,"[4, 49, 25, 24, 23, 28, 26, 22, 25, 26, 23, 25, 24, 26, 25, 24, 24, 29, 25]",,,
,"[2, 39, 21, 16, 18, 17, 16, 16, 17, 18, 13, 17, 17, 16, 16, 16, 14, 18, 20]",,,
,"[3, 46, 29, 26, 24, 34, 27, 27, 26, 25, 25, 26, 26, 28, 28, 26, 25, 28, 28]",,,
,,"[4, 71, 46, 46, 55, 52, 47, 48, 48, 46, 46, 47, 54, 53, 46, 47, 46, 50, 48]",,
,,"[4, 68, 42, 42, 49, 50, 44, 41, 43, 43, 43, 42, 49, 46, 42, 43, 44, 45, 44]",,
,,"[2, 52, 24, 24, 28, 30, 24, 24, 25, 23, 25, 24, 23, 27, 26, 24, 26, 27, 25]",,
,,"[4, 58, 32, 32, 38, 35, 36, 32, 34, 31, 29, 32, 32, 40, 33, 32, 33, 35, 34]",,
,,"[5, 59, 37, 36, 41, 44, 37, 36, 38, 36, 34, 38, 37, 44, 37, 36, 39, 39, 37]",,
,,"[2, 57, 31, 30, 33, 34, 33, 29, 30, 33, 30, 30, 35, 33, 31, 29, 33, 33, 30]",,
,,"[3, 67, 40, 40, 46, 51, 40, 40, 41, 39, 41, 40, 44, 46, 43, 41, 41, 44, 39]",,
