day,patients,patient_C,patient_S,patient_isolated,patient_positive,patient_preinfection,hcws,hcw_C,goo,goo_C,beds,filled_beds,filled_sick_beds,empty_isolated_beds,daily_hcw_infections,cumulative_sick_patients,cumulative_sick_patients_by_HCW,cumulative_patients,move2isol,daily_discharges,daily_admissions,prob_transmission,iteration
0,30,0,30,16,0,0,19,0,30,9,30,0,0,0,0,0,0,30,0,0,0,0.03802,1
0,30,0,30,16,0,0,19,0,30,9,30,0,0,0,0,0,0,30,0,0,0,0.03802,2
0,30,0,30,16,0,0,19,0,30,9,30,0,0,0,0,0,0,30,0,0,0,0.03802,3
0,30,0,30,16,0,0,19,0,30,9,30,0,0,0,0,0,0,30,0,0,0,0.03802,4
0,30,0,30,16,0,0,19,0,30,9,30,0,0,0,0,0,0,30,0,0,0,0.03802,5
0,30,0,30,16,0,0,19,0,30,9,30,0,0,0,0,0,0,30,0,0,0,0.03802,6
0,30,0,30,16,0,0,19,0,30,9,30,0,0,0,0,0,0,30,0,0,0,0.03802,7
0,30,0,30,16,0,0,19,0,30,9,30,0,0,0,0,0,0,30,0,0,0,0.03802,8
0,30,0,30,16,0,0,19,0,30,9,30,0,0,0,0,0,0,30,0,0,0,0.03802,9
0,30,0,30,16,0,0,19,0,30,9,30,0,0,0,0,0,0,30,0,0,0,0.03802,10
