beta,nll,sse,n_abm_runs,elapsed_seconds,min_sd_cum,mean_sd_cum
0.036,62.82280992694626,606.3444000000001,50,1646.0024583339691,2.2274722564066254,10.995434651017659
0.037,62.510931131380964,708.0884000000001,50,1644.4009456634521,2.2750644754263427,11.151530850261798
0.0375,65.25720858537169,461.31960000000004,50,1640.6494779586792,2.3980434201444223,12.089621656350822
0.03775,65.08418663289024,451.46119999999996,50,1648.701952457428,2.3352664489850192,11.797586728031078
0.03787,65.82866435207455,378.434,50,1647.5194306373596,2.1189138534559038,13.340714840853328
0.03794,66.02473016917529,484.622,50,1631.7556800842285,2.3643612417802515,12.498456817336432
0.03797,64.08528327831485,428.0468,50,1659.3725414276123,2.097714986185041,11.669988109876135
0.03798,68.08475975415683,534.6863999999999,50,1639.7821967601776,2.2246302146282053,14.804961100605148
0.038,62.089979886816224,701.6684,50,1648.5844388008118,2.2355203019449768,10.186095682835003
0.03801,61.81456764547412,580.3263999999999,50,1631.2344253063202,2.0228288940723282,9.43997206298601
0.03802,65.9413194855132,496.122,50,1634.3913493156433,2.258408325185086,12.489789841471923
0.03803,65.425912626963,388.42240000000004,50,1629.8713290691376,2.7093187636867886,12.92338689549236
0.03806,63.793398698622845,616.3836,50,1628.6952679157257,1.9403344967256733,10.033660708883595
0.03813,64.67646524842455,690.3467999999999,50,1625.5606253147125,1.806563995375684,10.951746220165742
0.03825,66.8088432971956,392.19759999999997,50,1640.3525807857513,2.438132440192363,13.464943904602702
0.0385,62.30336125470183,729.1804000000001,50,1652.2143425941467,2.3394574637060184,9.259621575718015
0.039,67.79470754501097,428.53959999999995,50,1644.8253343105316,2.2692262459045467,13.265149653972427
0.04,70.56996552017733,704.2280000000001,50,1651.0146520137787,2.106258894488578,15.353155572493401
0.042,71.85187095408769,639.2264,50,1667.1687860488892,2.2757819916392226,14.863556994824732
