,0.08,0.082,0.083,0.084,0.086,0.088
20,"[0, 24, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 32, 0, 1, 3, 3, 0, 1, 0, 2, 0, 1, 2, 0, 2, 2, 2, 0, 0, 2, 0, 2, 0, 0, 0, 0, 2, 2, 2, 0, 1, 2, 1, 0, 0, 0]","[0, 32, 0, 1, 2, 4, 0, 1, 0, 2, 0, 1, 2, 0, 2, 2, 2, 0, 0, 2, 0, 2, 0, 0, 0, 0, 2, 2, 2, 0, 1, 2, 1, 0, 0, 0]","[0, 38, 3, 5, 8, 7, 5, 5, 4, 5, 4, 6, 6, 5, 5, 8, 5, 4, 5, 5, 5, 6, 5, 2, 6, 5, 5, 7, 8, 3, 5, 5, 6, 5, 3, 0]","[0, 45, 8, 9, 15, 12, 11, 9, 11, 13, 9, 10, 14, 10, 9, 15, 9, 12, 9, 12, 10, 13, 9, 9, 10, 13, 9, 14, 13, 9, 9, 14, 10, 9, 9, 9]","[0, 72, 20, 22, 42, 24, 37, 22, 34, 29, 22, 34, 28, 34, 27, 27, 36, 25, 28, 31, 29, 36, 22, 24, 37, 24, 29, 36, 30, 28, 22, 37, 26, 33, 22, 28]"
21,"[0, 40, 4, 6, 10, 8, 6, 6, 6, 7, 6, 6, 8, 7, 6, 9, 6, 6, 6, 8, 5, 8, 6, 4, 6, 9, 6, 6, 12, 4, 6, 6, 8, 6, 5, 1]","[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 27, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 39, 5, 6, 10, 8, 6, 6, 6, 7, 6, 6, 8, 7, 6, 9, 6, 6, 6, 8, 6, 7, 6, 4, 6, 9, 6, 6, 12, 4, 6, 6, 8, 6, 5, 1]"
22,"[0, 27, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 34, 1, 3, 4, 4, 2, 2, 2, 2, 1, 4, 3, 2, 3, 3, 3, 1, 3, 3, 0, 4, 2, 0, 3, 2, 3, 3, 4, 2, 1, 4, 3, 1, 0, 0]","[0, 30, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 34, 1, 3, 4, 4, 2, 2, 1, 3, 1, 4, 3, 2, 3, 3, 3, 1, 3, 3, 2, 3, 1, 0, 3, 2, 3, 3, 5, 0, 3, 3, 3, 1, 0, 0]","[0, 30, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 42, 7, 8, 14, 10, 9, 8, 9, 12, 7, 9, 12, 9, 9, 12, 9, 9, 8, 12, 8, 10, 8, 8, 9, 11, 8, 11, 13, 8, 8, 10, 11, 8, 8, 5]"
23,"[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 52, 10, 12, 22, 14, 17, 12, 14, 19, 12, 15, 18, 13, 18, 15, 17, 13, 12, 20, 12, 19, 12, 12, 15, 18, 12, 16, 20, 12, 15, 16, 17, 15, 12, 12]","[0, 34, 1, 3, 4, 4, 2, 2, 1, 3, 1, 4, 3, 2, 3, 3, 3, 1, 3, 3, 1, 3, 2, 0, 3, 2, 3, 3, 5, 0, 3, 3, 3, 1, 0, 0]","[0, 34, 1, 3, 3, 5, 2, 2, 0, 4, 0, 6, 1, 3, 3, 3, 3, 1, 3, 3, 2, 3, 1, 0, 3, 2, 3, 3, 5, 0, 3, 3, 3, 1, 0, 0]","[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 38, 3, 5, 8, 7, 5, 5, 5, 5, 3, 7, 5, 5, 6, 6, 6, 4, 5, 5, 5, 6, 5, 2, 6, 5, 5, 8, 7, 3, 5, 6, 6, 5, 1, 3]"
24,"[0, 5, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 32, 0, 1, 3, 3, 0, 1, 0, 2, 0, 1, 2, 0, 2, 2, 2, 0, 0, 2, 0, 2, 0, 0, 0, 0, 2, 2, 2, 0, 1, 2, 1, 0, 0, 0]","[0, 26, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 36, 2, 4, 6, 6, 3, 3, 4, 4, 1, 6, 4, 4, 4, 5, 4, 3, 4, 4, 4, 4, 3, 0, 4, 5, 4, 4, 8, 0, 4, 5, 4, 4, 0, 1]","[0, 56, 12, 14, 26, 16, 21, 14, 19, 20, 14, 18, 21, 17, 19, 19, 20, 17, 14, 21, 16, 23, 14, 14, 20, 19, 15, 23, 19, 14, 18, 23, 16, 16, 14, 17]"
25,"[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 49, 9, 11, 20, 13, 15, 11, 15, 15, 11, 13, 17, 12, 14, 17, 12, 14, 11, 16, 12, 19, 10, 11, 13, 17, 11, 14, 19, 11, 11, 17, 13, 15, 11, 11]","[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
26,"[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 52, 10, 12, 21, 15, 17, 12, 16, 17, 12, 16, 18, 12, 17, 18, 15, 12, 14, 19, 12, 18, 13, 12, 15, 18, 12, 20, 16, 12, 15, 19, 14, 12, 13, 14]","[0, 62, 15, 17, 32, 19, 27, 17, 24, 24, 17, 26, 22, 23, 22, 22, 26, 20, 18, 26, 19, 31, 16, 17, 25, 23, 21, 27, 24, 17, 21, 29, 19, 22, 17, 21]","[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
27,"[0, 34, 1, 3, 4, 4, 2, 2, 2, 2, 1, 4, 3, 2, 3, 3, 3, 1, 3, 3, 0, 4, 2, 0, 3, 2, 3, 3, 5, 0, 3, 3, 3, 1, 0, 0]","[0, 46, 7, 9, 16, 11, 11, 9, 10, 14, 8, 10, 14, 10, 12, 12, 12, 9, 9, 14, 9, 13, 9, 9, 10, 13, 9, 14, 13, 9, 9, 14, 10, 9, 9, 9]","[0, 12, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 34, 1, 3, 4, 4, 2, 2, 1, 3, 1, 4, 3, 2, 3, 3, 3, 1, 3, 3, 0, 4, 2, 0, 3, 2, 3, 3, 4, 2, 1, 4, 3, 1, 0, 0]","[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 32, 0, 1, 3, 3, 0, 1, 0, 2, 0, 1, 2, 0, 2, 2, 2, 0, 0, 2, 0, 2, 0, 0, 0, 0, 2, 2, 2, 0, 1, 2, 1, 0, 0, 0]"
28,"[0, 52, 10, 12, 21, 15, 17, 12, 15, 18, 12, 16, 17, 13, 17, 18, 14, 13, 15, 18, 12, 17, 15, 12, 14, 19, 12, 15, 21, 12, 14, 16, 15, 16, 12, 12]","[0, 41, 6, 7, 12, 9, 7, 7, 7, 11, 5, 9, 9, 8, 8, 11, 7, 7, 7, 10, 7, 10, 7, 5, 7, 11, 7, 8, 13, 6, 7, 8, 9, 7, 7, 4]","[2, 44, 7, 9, 15, 12, 11, 9, 10, 14, 8, 10, 14, 10, 12, 12, 10, 11, 10, 12, 9, 14, 9, 9, 9, 15, 9, 10, 17, 9, 9, 9, 15, 9, 9, 8]","[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 54, 11, 13, 24, 15, 19, 13, 18, 18, 13, 16, 20, 15, 18, 18, 16, 17, 14, 17, 17, 20, 14, 13, 17, 19, 13, 20, 19, 13, 17, 18, 17, 17, 13, 13]","[0, 36, 2, 4, 6, 6, 3, 3, 4, 4, 1, 6, 4, 4, 4, 5, 4, 3, 4, 4, 4, 4, 3, 0, 4, 5, 4, 4, 8, 0, 4, 6, 4, 3, 0, 2]"
29,"[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 52, 10, 12, 22, 14, 17, 12, 16, 17, 12, 15, 19, 13, 15, 18, 15, 14, 13, 17, 14, 20, 12, 12, 15, 18, 12, 17, 19, 12, 13, 18, 15, 16, 12, 12]","[0, 32, 0, 1, 3, 3, 0, 1, 0, 2, 0, 1, 2, 0, 2, 2, 2, 0, 0, 2, 0, 2, 0, 0, 0, 0, 2, 2, 2, 0, 1, 2, 1, 0, 0, 0]","[0, 24, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 30, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
