beta,mean,std,n,max,median,nonzero_mean,disease_free(%)
0.08,"[0.0, 0.0, 0.0, 2.006666666666667, 0.27, 0.57, 0.24333333333333335, 0.23, 0.22, 0.37666666666666665, 0.27666666666666667, 0.3, 0.2733333333333333, 0.2966666666666667, 0.30333333333333334, 0.29, 0.2733333333333333, 0.25666666666666665, 0.2866666666666667]","[0.0, 0.0, 0.0, 7.62849495903492, 1.593391452553401, 3.6408725845952903, 0.9056431530267952, 0.8560819202509751, 0.828989795032211, 2.691766628224821, 1.031342708072279, 2.024102261881823, 0.9909062550226664, 1.061009594720597, 1.0871654202829857, 1.0753703569850974, 0.9909062550226664, 1.013680117273718, 1.020437748985235]",300,"[0.0, 0.0, 0.0, 33.0, 24.0, 32.0, 6.0, 6.0, 6.0, 32.0, 8.0, 32.0, 8.0, 8.0, 9.0, 10.0, 8.0, 8.0, 8.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, np.float64(30.1), np.float64(4.05), np.float64(7.125), np.float64(3.0416666666666665), np.float64(2.875), np.float64(2.75), np.float64(4.346153846153846), np.float64(3.1923076923076925), np.float64(3.3333333333333335), np.float64(3.037037037037037), np.float64(3.2962962962962963), np.float64(3.3703703703703702), np.float64(3.2222222222222223), np.float64(3.037037037037037), np.float64(2.8518518518518516), np.float64(3.185185185185185)]","[np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(93.33333333333333), np.float64(93.33333333333333), np.float64(92.0), np.float64(92.0), np.float64(92.0), np.float64(92.0), np.float64(91.33333333333333), np.float64(91.33333333333333), np.float64(91.0), np.float64(91.0), np.float64(91.0), np.float64(91.0), np.float64(91.0), np.float64(91.0), np.float64(91.0), np.float64(91.0)]"
0.082,"[0.0, 0.0, 0.0, 1.7866666666666666, 0.2866666666666667, 0.8166666666666667, 0.29, 0.28, 0.2733333333333333, 0.38333333333333336, 0.36333333333333334, 0.36, 0.30666666666666664, 0.32, 0.33666666666666667, 0.31, 0.30666666666666664, 0.30333333333333334, 0.32666666666666666]","[0.0, 0.0, 0.0, 7.289142213106975, 1.9174839515810345, 4.517863713156649, 1.1060339220789221, 1.0449432302833688, 1.0306128103082512, 2.1982941597820793, 1.5575865331498255, 2.0908464305124395, 1.07850178917471, 1.11132810961663, 1.175270077360106, 1.085276963247865, 1.07850178917471, 1.1175053839539681, 1.190804605122446]",300,"[0.0, 0.0, 0.0, 33.0, 30.0, 34.0, 8.0, 8.0, 8.0, 32.0, 19.0, 32.0, 8.0, 8.0, 8.0, 8.0, 8.0, 9.0, 10.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, np.float64(29.77777777777778), np.float64(4.777777777777778), np.float64(10.208333333333334), np.float64(3.625), np.float64(3.5), np.float64(3.4166666666666665), np.float64(4.423076923076923), np.float64(4.1923076923076925), np.float64(4.0), np.float64(3.4074074074074074), np.float64(3.5555555555555554), np.float64(3.740740740740741), np.float64(3.4444444444444446), np.float64(3.4074074074074074), np.float64(3.3703703703703702), np.float64(3.6296296296296298)]","[np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(94.0), np.float64(94.0), np.float64(92.0), np.float64(92.0), np.float64(92.0), np.float64(92.0), np.float64(91.33333333333333), np.float64(91.33333333333333), np.float64(91.0), np.float64(91.0), np.float64(91.0), np.float64(91.0), np.float64(91.0), np.float64(91.0), np.float64(91.0), np.float64(91.0)]"
0.084,"[0.0, 0.0, 0.0, 1.7866666666666666, 0.18666666666666668, 0.6, 0.24333333333333335, 0.23333333333333334, 0.23333333333333334, 0.39666666666666667, 0.2633333333333333, 0.4, 0.27666666666666667, 0.2866666666666667, 0.2833333333333333, 0.27, 0.27, 0.26, 0.2833333333333333]","[0.0, 0.0, 0.0, 7.303352111354752, 0.8128291289472261, 3.6830988842691172, 0.9698406355772777, 0.9174391191499902, 0.9174391191499902, 2.570606077869724, 0.9783555014305779, 2.461747482764299, 0.9916653785251538, 1.0237099993478436, 1.0032000081789565, 0.973099726093415, 0.973099726093415, 0.970673661875888, 1.0488354214842723]",300,"[0.0, 0.0, 0.0, 33.0, 6.0, 32.0, 7.0, 6.0, 6.0, 30.0, 7.0, 30.0, 6.0, 7.0, 6.0, 6.0, 6.0, 7.0, 8.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, np.float64(31.529411764705884), np.float64(3.2941176470588234), np.float64(8.571428571428571), np.float64(3.4761904761904763), np.float64(3.3333333333333335), np.float64(3.3333333333333335), np.float64(5.173913043478261), np.float64(3.2916666666666665), np.float64(4.8), np.float64(3.32), np.float64(3.44), np.float64(3.4), np.float64(3.24), np.float64(3.24), np.float64(3.12), np.float64(3.4)]","[np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(94.33333333333334), np.float64(94.33333333333334), np.float64(93.0), np.float64(93.0), np.float64(93.0), np.float64(93.0), np.float64(92.33333333333333), np.float64(92.0), np.float64(91.66666666666666), np.float64(91.66666666666666), np.float64(91.66666666666666), np.float64(91.66666666666666), np.float64(91.66666666666666), np.float64(91.66666666666666), np.float64(91.66666666666666), np.float64(91.66666666666666)]"
0.086,"[0.0, 0.0, 0.0, 1.5566666666666666, 0.32, 0.9333333333333333, 0.31333333333333335, 0.29, 0.2866666666666667, 0.85, 0.35333333333333333, 0.4766666666666667, 0.34, 0.36, 0.36333333333333334, 0.3466666666666667, 0.34, 0.3333333333333333, 0.36666666666666664]","[0.0, 0.0, 0.0, 6.793178918711581, 2.0893742962506194, 4.959591452948141, 1.3194539595580947, 1.218269511235786, 1.2066519459303942, 4.347855351072078, 1.3320674034924198, 2.7228972536132616, 1.2367288820752864, 1.2763870414567267, 1.302681395538898, 1.274848888240634, 1.2367288820752864, 1.3447117614169923, 1.3384794780893832]",300,"[0.0, 0.0, 0.0, 36.0, 30.0, 35.0, 13.0, 12.0, 12.0, 30.0, 13.0, 31.0, 12.0, 12.0, 12.0, 13.0, 12.0, 14.0, 13.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, np.float64(29.1875), np.float64(6.0), np.float64(12.173913043478262), np.float64(4.086956521739131), np.float64(3.782608695652174), np.float64(3.739130434782609), np.float64(8.793103448275861), np.float64(3.6551724137931036), np.float64(4.612903225806452), np.float64(3.2903225806451615), np.float64(3.4838709677419355), np.float64(3.5161290322580645), np.float64(3.3548387096774195), np.float64(3.2903225806451615), np.float64(3.225806451612903), np.float64(3.5483870967741935)]","[np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(94.66666666666667), np.float64(94.66666666666667), np.float64(92.33333333333333), np.float64(92.33333333333333), np.float64(92.33333333333333), np.float64(92.33333333333333), np.float64(90.33333333333333), np.float64(90.33333333333333), np.float64(89.66666666666666), np.float64(89.66666666666666), np.float64(89.66666666666666), np.float64(89.66666666666666), np.float64(89.66666666666666), np.float64(89.66666666666666), np.float64(89.66666666666666), np.float64(89.66666666666666)]"
0.088,"[0.0, 0.0, 0.0, 1.7666666666666666, 0.16333333333333333, 0.6733333333333333, 0.24333333333333335, 0.23333333333333334, 0.22666666666666666, 0.46, 0.29333333333333333, 0.49, 0.2866666666666667, 0.2966666666666667, 0.30666666666666664, 0.2733333333333333, 0.2733333333333333, 0.24333333333333335, 0.30333333333333334]","[0.0, 0.0, 0.0, 7.221684798344809, 0.7606472043291408, 4.120260190288289, 0.9732830120923954, 0.9354888312536002, 0.9118078383092748, 2.8791256569477834, 1.1798002589672052, 3.0310378809001217, 1.0138615650731917, 1.0290052128061147, 1.0502216148778982, 0.9635265956668839, 0.9635265956668839, 0.9418487950469145, 1.1115036467527686]",300,"[0.0, 0.0, 0.0, 33.0, 6.0, 33.0, 7.0, 6.0, 6.0, 30.0, 11.0, 31.0, 6.0, 7.0, 6.0, 6.0, 6.0, 7.0, 8.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, np.float64(31.176470588235293), np.float64(2.8823529411764706), np.float64(9.181818181818182), np.float64(3.3181818181818183), np.float64(3.1818181818181817), np.float64(3.090909090909091), np.float64(5.52), np.float64(3.52), np.float64(5.25), np.float64(3.0714285714285716), np.float64(3.1785714285714284), np.float64(3.2857142857142856), np.float64(2.9285714285714284), np.float64(2.9285714285714284), np.float64(2.607142857142857), np.float64(3.25)]","[np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(94.33333333333334), np.float64(94.33333333333334), np.float64(92.66666666666666), np.float64(92.66666666666666), np.float64(92.66666666666666), np.float64(92.66666666666666), np.float64(91.66666666666666), np.float64(91.66666666666666), np.float64(90.66666666666666), np.float64(90.66666666666666), np.float64(90.66666666666666), np.float64(90.66666666666666), np.float64(90.66666666666666), np.float64(90.66666666666666), np.float64(90.66666666666666), np.float64(90.66666666666666)]"
0.09,"[0.0, 0.0, 0.0, 1.25, 0.10666666666666667, 0.8466666666666667, 0.23, 0.22, 0.21333333333333335, 0.81, 0.29, 0.44, 0.2966666666666667, 0.31333333333333335, 0.31333333333333335, 0.29333333333333333, 0.29333333333333333, 0.28, 0.30333333333333334]","[0.0, 0.0, 0.0, 6.134569515769848, 0.5564659949785317, 4.895888202685959, 0.9799494902006333, 0.9387246738942818, 0.9002910467092513, 4.452713276014373, 1.0309102384458315, 2.6374711715205548, 1.025749854872746, 1.0734663426729916, 1.0919998938259758, 1.0185350268360247, 1.0185350268360247, 1.0124310951408129, 1.039997212928261]",300,"[0.0, 0.0, 0.0, 32.0, 4.0, 34.0, 7.0, 7.0, 6.0, 32.0, 6.0, 31.0, 6.0, 6.0, 7.0, 6.0, 6.0, 6.0, 6.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, np.float64(31.25), np.float64(2.6666666666666665), np.float64(13.368421052631579), np.float64(3.6315789473684212), np.float64(3.473684210526316), np.float64(3.3684210526315788), np.float64(9.72), np.float64(3.48), np.float64(4.888888888888889), np.float64(3.2962962962962963), np.float64(3.4814814814814814), np.float64(3.4814814814814814), np.float64(3.259259259259259), np.float64(3.259259259259259), np.float64(3.111111111111111), np.float64(3.3703703703703702)]","[np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(96.0), np.float64(96.0), np.float64(93.66666666666667), np.float64(93.66666666666667), np.float64(93.66666666666667), np.float64(93.66666666666667), np.float64(91.66666666666666), np.float64(91.66666666666666), np.float64(91.0), np.float64(91.0), np.float64(91.0), np.float64(91.0), np.float64(91.0), np.float64(91.0), np.float64(91.0), np.float64(91.0)]"
