beta,mean,std,n,max,median,nonzero_mean,disease_free(%)
0.01,"[0.525, 8.16, 3.595, 4.515, 4.685, 4.595, 4.62, 4.625, 2.64, 3.65, 4.37, 4.375, 4.38, 4.645, 3.09, 3.935, 4.385, 4.54, 4.72]","[1.0559118091695496, 14.421661541169211, 6.625743534648384, 8.208940768620122, 8.335657799764462, 8.196762138048124, 8.230083314085215, 8.295083910692354, 4.923576752748064, 6.81909084849294, 7.767546193576647, 7.79152838491039, 7.821860874350076, 8.257719093255462, 5.7250134405494935, 7.071833506646545, 7.828358126374548, 8.11465576540095, 8.417593444505643]",200,"[5.0, 44.0, 25.0, 29.0, 26.0, 27.0, 27.0, 29.0, 17.0, 26.0, 26.0, 25.0, 25.0, 28.0, 23.0, 27.0, 27.0, 32.0, 26.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[np.float64(2.1875), np.float64(32.64), np.float64(14.38), np.float64(18.06), np.float64(18.74), np.float64(18.38), np.float64(18.48), np.float64(18.5), np.float64(10.56), np.float64(14.6), np.float64(17.48), np.float64(17.5), np.float64(17.52), np.float64(18.58), np.float64(12.36), np.float64(15.74), np.float64(17.54), np.float64(18.16), np.float64(18.88)]","[np.float64(76.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0)]"
0.02,"[0.98, 11.88, 6.525, 6.85, 6.93, 7.215, 6.86, 6.755, 5.605, 7.085, 6.975, 6.615, 6.815, 7.165, 5.805, 6.72, 6.75, 7.21, 6.96]","[1.8347839548034108, 20.968164430821968, 11.613082858024278, 12.24816671750098, 12.412714344047997, 12.964147507762139, 12.210482357261126, 12.074516334976627, 10.17677793042697, 12.710845881178614, 12.517901753952504, 11.833721299700938, 12.160599322377026, 12.783381760951633, 10.37764194127487, 12.031015195450713, 12.028337562714686, 12.878867424220735, 12.512843652879477]",200,"[6.0, 67.0, 41.0, 45.0, 43.0, 52.0, 41.0, 45.0, 42.0, 47.0, 47.0, 39.0, 44.0, 46.0, 44.0, 45.0, 42.0, 44.0, 49.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[np.float64(3.92), np.float64(47.52), np.float64(26.1), np.float64(27.4), np.float64(27.72), np.float64(28.86), np.float64(27.44), np.float64(27.02), np.float64(22.42), np.float64(28.34), np.float64(27.9), np.float64(26.46), np.float64(27.26), np.float64(28.66), np.float64(23.22), np.float64(26.88), np.float64(27.0), np.float64(28.84), np.float64(27.84)]","[np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0)]"
0.03,"[1.315, 13.605, 7.61, 7.82, 8.575, 8.825, 8.17, 7.825, 7.21, 8.395, 8.115, 7.81, 8.085, 8.69, 7.375, 7.96, 8.165, 8.635, 8.16]","[2.454771786258974, 23.761566345169268, 13.444391332130198, 13.82327801483341, 15.149319602612866, 15.615492082058237, 14.434085148368474, 13.838783713656555, 12.799807630464013, 14.846923272290027, 14.331389276443664, 13.810777962870073, 14.279963648729842, 15.36274616887379, 13.039729588403798, 14.072261464084834, 14.41864283857992, 15.268181352376079, 14.41155315438304]",200,"[9.0, 71.0, 43.0, 47.0, 52.0, 49.0, 49.0, 46.0, 45.0, 50.0, 48.0, 46.0, 48.0, 51.0, 45.0, 47.0, 46.0, 52.0, 45.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[np.float64(5.26), np.float64(54.42), np.float64(30.44), np.float64(31.28), np.float64(34.3), np.float64(35.3), np.float64(32.68), np.float64(31.3), np.float64(28.84), np.float64(33.58), np.float64(32.46), np.float64(31.24), np.float64(32.34), np.float64(34.76), np.float64(29.5), np.float64(31.84), np.float64(32.66), np.float64(34.54), np.float64(32.64)]","[np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0)]"
0.04,"[1.65, 14.69, 8.94, 9.05, 10.425, 10.595, 9.365, 9.045, 8.385, 9.73, 9.17, 9.06, 9.615, 10.43, 8.86, 9.135, 9.625, 9.895, 9.435]","[2.94292439931788, 25.67273547430558, 15.832870838700575, 15.999921482219403, 18.477322104699162, 18.78738417183458, 16.647446119797404, 16.006687515727, 14.855308003518374, 17.22354062783822, 16.227995538450823, 16.028128540868803, 17.082618484042687, 18.48006123681908, 15.685361097654686, 16.173269559405917, 17.025088640476454, 17.506466142083603, 16.721958452058235]",200,"[10.0, 74.0, 52.0, 52.0, 61.0, 62.0, 58.0, 53.0, 51.0, 58.0, 52.0, 52.0, 61.0, 63.0, 51.0, 54.0, 57.0, 58.0, 58.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[np.float64(6.6), np.float64(58.76), np.float64(35.76), np.float64(36.2), np.float64(41.7), np.float64(42.38), np.float64(37.46), np.float64(36.18), np.float64(33.54), np.float64(38.92), np.float64(36.68), np.float64(36.24), np.float64(38.46), np.float64(41.72), np.float64(35.44), np.float64(36.54), np.float64(38.5), np.float64(39.58), np.float64(37.74)]","[np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(75.0)]"
