beta,mean,std,n_iter,cleaningDay,first_clean_day,tau0,data_type,init_env
0.025,"[0.18, 0.08, 0.06, 0.04, 0.02, 0.02, 0.06, 0.06, 0.04, 0.16, 0.0, 0.06, 0.12, 0.04, 0.06, 0.04, 0.06, 0.12, 0.2, 0.06, 0.14, 0.14, 0.08, 0.04, 0.02, 0.04, 0.0, 0.0, 0.04, 0.12, 0.06, 0.04, 0.06, 0.1, 0.04, 0.1]","[0.38808793449160356, 0.2740475156178697, 0.23989793748209526, 0.19794866372215747, 0.14142135623730942, 0.14142135623730942, 0.3136356914300018, 0.23989793748209529, 0.1979486637221575, 0.5095015571464863, 0.0, 0.31363569143000214, 0.47979587496419046, 0.19794866372215744, 0.313635691430002, 0.1979486637221575, 0.23989793748209529, 0.38544964466377274, 0.5345224838248483, 0.23989793748209523, 0.35050983275386566, 0.4522054797526978, 0.27404751561786983, 0.19794866372215744, 0.14142135623730948, 0.19794866372215747, 0.0, 0.0, 0.19794866372215744, 0.593845991166472, 0.2398979374820953, 0.1979486637221575, 0.23989793748209526, 0.30304576336566297, 0.1979486637221575, 0.3642156795423415]",50,90.0,20,70.0,B,2
0.03,"[0.3, 0.16, 0.28, 0.24, 0.02, 0.16, 0.12, 0.1, 0.34, 0.14, 0.02, 0.06, 0.16, 0.04, 0.1, 0.08, 0.08, 0.24, 0.16, 0.1, 0.16, 0.14, 0.1, 0.18, 0.12, 0.06, 0.2, 0.04, 0.14, 0.18, 0.24, 0.14, 0.26, 0.3, 0.28, 0.32]","[0.46291004988627565, 0.37032803990902036, 0.6074369035848372, 0.591090310445063, 0.14142135623730948, 0.5095015571464864, 0.32826072265931605, 0.303045763365663, 0.9816687167205419, 0.45220547975269754, 0.14142135623730942, 0.23989793748209526, 0.42185208743523994, 0.19794866372215744, 0.4629100498862757, 0.3404678653660854, 0.34046786536608536, 0.7439552323595167, 0.42185208743524005, 0.36421567954234163, 0.5480950312357395, 0.40456577881446526, 0.3030457633656632, 0.6288960200872896, 0.3854496446637727, 0.4242640687119289, 1.1428571428571426, 0.1979486637221575, 0.4045657788144656, 0.5602477586036452, 0.591090310445063, 0.40456577881446565, 0.5646020812962714, 0.580288457473997, 0.536047515408392, 0.7938539422542741]",50,90.0,20,70.0,B,2
0.035,"[0.46, 0.18, 0.18, 0.18, 0.06, 0.12, 0.06, 0.2, 0.2, 0.18, 0.0, 0.16, 0.1, 0.04, 0.02, 0.16, 0.24, 0.18, 0.18, 0.26, 0.28, 0.38, 0.34, 0.46, 0.5, 0.34, 0.5, 0.26, 0.3, 0.52, 0.42, 0.1, 0.24, 0.42, 0.32, 0.58]","[0.7059513771774765, 0.43752550946038726, 0.4375255094603874, 0.5602477586036451, 0.3136356914300017, 0.3854496446637728, 0.2398979374820953, 0.45175395145262537, 0.7824607964359511, 0.5602477586036454, 0.0, 0.42185208743523994, 0.3030457633656631, 0.28284271247461884, 0.14142135623730948, 0.42185208743523994, 0.5174505793221382, 0.48191793695522867, 0.5602477586036455, 0.5646020812962718, 0.6401530429259448, 0.8302937763840222, 0.8233827686279751, 0.9521190115972356, 1.1111677990074318, 0.8233827686279752, 1.1473127431577865, 0.6942915931555922, 0.6468132241526725, 0.973946317089104, 0.882713811758595, 0.36421567954234163, 0.5554920598635311, 0.7309485031694872, 0.652780551931192, 1.0319389319061827]",50,90.0,20,70.0,B,2
0.04,"[0.66, 0.44, 0.74, 0.68, 0.12, 0.32, 0.52, 0.3, 0.68, 0.84, 0.26, 0.44, 0.58, 0.14, 0.28, 0.36, 0.42, 0.62, 0.62, 0.4, 0.52, 0.46, 0.38, 0.42, 0.36, 0.22, 0.24, 0.24, 0.36, 0.44, 0.38, 0.14, 0.36, 0.32, 0.46, 0.76]","[0.626294577622371, 0.8843307166024095, 1.3218725123004527, 1.1682884743006214, 0.4351870346207949, 0.6833291853200797, 1.147134851421985, 0.7354021529276429, 1.3767752917893443, 1.1313708498984756, 0.7230886134196433, 0.9071147352221458, 1.0319389319061825, 0.3505098327538656, 0.8815570640309444, 0.7494215456345145, 0.7024737630368143, 0.8545197959278957, 0.9010198303555129, 0.8329931278350429, 0.9527618286018896, 0.8134080483135292, 0.6353530273696311, 0.835195198985341, 0.7761758689832072, 0.5066899385990918, 0.8466018508588032, 0.7159979477795243, 0.8514093957572195, 0.99303698268473, 0.9665845613735579, 0.4045657788144656, 0.7494215456345145, 0.6207303137828694, 0.7059513771774765, 1.204752493846172]",50,90.0,20,70.0,B,2
0.045,"[0.76, 0.62, 0.76, 1.06, 0.44, 0.62, 0.7, 0.5, 0.82, 1.06, 0.2, 0.38, 0.62, 0.28, 0.52, 0.44, 0.54, 1.14, 0.94, 0.56, 0.98, 0.9, 0.74, 1.26, 1.34, 0.6, 0.92, 0.94, 0.7, 1.6, 1.32, 0.66, 0.98, 1.04, 0.72, 1.38]","[0.7708992893275455, 1.1228607778930617, 1.4785541751926412, 1.621412838186726, 1.1277573917708894, 1.158641005485235, 1.164964745021435, 0.8390957231764807, 1.5211435011268353, 1.4902403586437363, 0.728431359084683, 0.8053393251117374, 0.9010198303555127, 0.9484681527255906, 1.1109841197270622, 0.9722685444099183, 0.885483840989242, 1.9484164161216266, 1.3463480460952475, 0.8121525944886797, 1.4068346290411633, 1.417816660091372, 1.1214058232451638, 2.078166381742348, 2.0663484503750444, 1.293626448305345, 1.73605228925295, 1.9103370789214247, 1.3887301496588262, 2.1476137683389878, 1.719515831237838, 1.2874591334905205, 1.5451041837932833, 1.1945454263066788, 0.8815570640309434, 1.794435844492636]",50,90.0,20,70.0,B,2
0.05,"[0.88, 1.12, 1.82, 1.62, 0.46, 1.04, 1.06, 0.62, 1.12, 1.3, 0.3, 0.8, 0.76, 0.28, 0.44, 0.48, 0.66, 1.34, 1.28, 0.92, 1.68, 1.5, 0.94, 1.78, 1.92, 0.52, 0.84, 0.9, 0.86, 1.92, 1.94, 0.7, 1.44, 1.58, 1.24, 1.68]","[0.6892764618179894, 1.8805123053604953, 2.344685697574019, 2.4568936750727013, 1.1988089327089853, 2.6799329872828013, 2.0840502167948, 1.0859022393702793, 1.9860739653694595, 1.6812288994199742, 0.7889543583705185, 1.142857142857143, 1.0411924090450624, 0.6401530429259449, 1.264265536562148, 0.9310954706743048, 1.0224021334333082, 1.8693008624311165, 1.6541845515577291, 1.6883756231650469, 2.1987009151509693, 2.261027398763488, 1.5702593052468394, 2.816061803588953, 2.456478315451963, 0.8861749953869043, 1.5954015552358538, 1.6444092047459056, 1.3249566800773642, 2.5859905140536594, 2.289372073254131, 1.541930938923064, 2.383275057562597, 1.9804143042117552, 1.7561553555004918, 2.0347992931159826]",50,90.0,20,70.0,B,2
0.055,"[1.1, 1.2, 2.34, 2.22, 0.86, 1.42, 1.56, 1.22, 2.3, 2.86, 0.7, 1.88, 1.84, 0.84, 1.46, 1.66, 1.48, 2.08, 2.26, 1.62, 3.16, 3.2, 1.58, 3.44, 3.46, 1.56, 2.32, 2.7, 1.94, 3.3, 3.5, 1.68, 3.2, 3.34, 2.52, 4.82]","[1.0926470386270255, 1.9999999999999998, 2.5039560536014496, 2.7051726716927837, 2.2315913604421396, 2.3826755669085244, 2.130057007956092, 1.876710104498436, 2.5091668671786134, 2.5395644813829867, 1.4033487645991787, 3.114416773126984, 2.6981475126464085, 1.4193991255284824, 2.1496084123697066, 1.9960164409776437, 2.2518926280272042, 3.250368895861464, 3.0156733434318963, 2.09849314256391, 3.79774369104303, 3.5050983275386565, 1.8636150955843307, 4.046464821423809, 3.447625624829296, 2.120454321746226, 3.099967083432879, 3.3273756282434626, 2.461209259776211, 4.180860179046256, 3.5642785571070426, 2.244630781874555, 3.434518651477516, 3.3540106969271934, 2.4763369920023375, 3.794141563526806]",50,90.0,20,70.0,B,2
0.06,"[1.94, 1.44, 2.76, 2.58, 1.26, 2.24, 2.9, 3.18, 5.44, 5.02, 2.02, 3.58, 3.44, 1.62, 2.46, 2.74, 2.18, 4.04, 4.5, 2.5, 4.22, 4.28, 2.54, 4.94, 5.6, 2.06, 3.84, 3.5, 2.02, 3.04, 3.46, 1.6, 3.92, 4.14, 3.0, 5.36]","[1.3463480460952473, 2.1774353009437313, 3.531548772804062, 3.0175676107942118, 2.3457299460065393, 3.485011638782428, 4.102015432960351, 3.7235598503560636, 5.272802763198319, 4.349478035773196, 2.758955732644849, 4.9325656692671265, 4.4956214525800515, 2.6870057685088797, 3.3209907545545403, 3.361304411525202, 2.8117102065672217, 4.050497575884338, 4.4228073086893485, 2.922467506496969, 4.661128881395535, 4.204176737580894, 2.5889088395677122, 4.54640472443527, 4.861342722049587, 2.7583639043047645, 4.464645699771685, 4.291662538799944, 2.4535688292770597, 3.5453907991034423, 3.6489305114719595, 1.958758457257441, 3.663610352688524, 3.2388584534728673, 3.0438965360946453, 3.767530453000442]",50,90.0,20,70.0,B,2
0.02,"[0.08, 0.12, 0.06, 0.18, 0.04, 0.06, 0.12, 0.04, 0.02, 0.1, 0.04, 0.06, 0.14, 0.0, 0.04, 0.02, 0.02, 0.04, 0.04, 0.04, 0.0, 0.08, 0.06, 0.06, 0.04, 0.02, 0.04, 0.08, 0.02, 0.04, 0.14, 0.0, 0.06, 0.06, 0.12, 0.22]","[0.27404751561786983, 0.3854496446637728, 0.23989793748209523, 0.48191793695522867, 0.1979486637221575, 0.2398979374820953, 0.3854496446637727, 0.19794866372215753, 0.14142135623730945, 0.3030457633656631, 0.28284271247461873, 0.3136356914300019, 0.3505098327538655, 0.0, 0.1979486637221575, 0.1414213562373095, 0.14142135623730942, 0.19794866372215744, 0.1979486637221575, 0.1979486637221575, 0.0, 0.34046786536608525, 0.23989793748209529, 0.2398979374820953, 0.1979486637221575, 0.14142135623730948, 0.1979486637221575, 0.44446711960297264, 0.14142135623730948, 0.28284271247461895, 0.45220547975269737, 0.0, 0.31363569143000214, 0.23989793748209529, 0.4797958749641905, 0.5454823740581941]",50,180.0,20,160.0,B,2
0.025,"[0.24, 0.06, 0.24, 0.18, 0.22, 0.24, 0.12, 0.06, 0.06, 0.12, 0.06, 0.18, 0.12, 0.1, 0.06, 0.06, 0.18, 0.22, 0.1, 0.08, 0.14, 0.2, 0.28, 0.38, 0.16, 0.16, 0.06, 0.06, 0.08, 0.22, 0.14, 0.0, 0.02, 0.14, 0.36, 0.42]","[0.43141911058689997, 0.23989793748209529, 0.4763809143009449, 0.48191793695522883, 0.545482374058194, 0.5174505793221384, 0.32826072265931605, 0.23989793748209529, 0.23989793748209529, 0.3854496446637727, 0.23989793748209529, 0.5602477586036454, 0.3854496446637728, 0.3642156795423417, 0.3136356914300021, 0.23989793748209526, 0.3880879344916036, 0.545482374058194, 0.3642156795423417, 0.27404751561786983, 0.40456577881446537, 0.5345224838248485, 0.6074369035848369, 0.8780776777502459, 0.42185208743524005, 0.6180945043652554, 0.23989793748209529, 0.23989793748209526, 0.2740475156178697, 0.5066899385990914, 0.4952838806674204, 0.0, 0.1414213562373094, 0.4045657788144655, 0.6928203230275509, 0.7583548251421143]",50,180.0,20,160.0,B,2
