beta,mean,std,n_iter,cleaningDay,first_clean_day,tau0,data_type,init_env
0.03,"[0.38, 0.18, 0.18, 0.24, 0.4, 0.6, 0.18, 0.14, 0.24, 0.32, 0.42, 0.66, 0.44, 0.1, 0.12, 0.26, 0.3, 0.44, 0.44, 0.16, 0.22, 0.22, 0.34, 0.62, 0.54, 0.14, 0.12, 0.18, 0.5, 0.4, 0.26, 0.14, 0.1, 0.5, 0.68, 0.88]","[0.6023762469230859, 0.522552604519197, 0.4819179369552287, 0.5174505793221382, 0.7824607964359518, 1.2289036095775179, 0.5602477586036454, 0.4045657788144654, 0.5554920598635311, 0.8437041748704802, 0.9495433918790782, 1.2389923489740866, 0.8609439527611068, 0.41649656391752127, 0.5938459911664719, 0.5646020812962718, 0.7071067811865475, 0.9510466844053282, 0.9071147352221459, 0.42185208743524, 0.545482374058194, 0.5066899385990918, 0.5928141120356123, 0.9233921492109892, 1.164263803474811, 0.3505098327538655, 0.43518703462079494, 0.5955618167335949, 1.0738068841694934, 0.8806305718527108, 0.5996597674804386, 0.5349041493385445, 0.3030457633656631, 0.762648446573665, 1.1328130058056578, 1.3192453006417366]",50,180.0,20,160.0,B,2
0.035,"[0.46, 0.16, 0.24, 0.36, 0.44, 0.52, 0.72, 0.3, 0.42, 0.54, 0.62, 0.98, 0.72, 0.18, 0.36, 0.5, 0.86, 0.98, 0.86, 0.36, 0.5, 0.6, 0.86, 0.98, 1.0, 0.18, 0.4, 0.34, 0.66, 0.92, 0.64, 0.14, 0.64, 0.48, 0.92, 1.0]","[0.6131218209678555, 0.6180945043652556, 0.5910903104450629, 0.9424241429983229, 1.0528871870107595, 1.0544366906997682, 1.19591140208322, 0.8144110179279559, 0.9707981147446862, 1.0143863129186708, 1.4692772067258382, 1.7553417017196158, 1.3099306727254458, 0.5602477586036453, 0.8514093957572195, 1.1473127431577865, 1.293784198010011, 1.3475601535170656, 1.2290696664135679, 0.6928203230275509, 0.8144110179279557, 1.1780301787479028, 1.1430357003370009, 1.696214272178741, 1.5907898179514348, 0.7196938124462855, 1.0497813183356468, 1.2055991820481224, 1.2389923489740868, 1.2262436419357108, 1.1911236334671902, 0.45220547975269765, 0.9847821679779477, 0.9089127840335356, 1.2427750383389458, 1.3997084244475304]",50,180.0,20,160.0,B,2
0.04,"[0.64, 0.32, 0.44, 0.78, 0.82, 1.4, 1.08, 0.68, 0.8, 1.3, 1.8, 2.56, 2.12, 0.6, 0.88, 1.22, 1.4, 1.8, 1.78, 0.56, 0.96, 1.44, 1.58, 2.6, 2.0, 0.62, 0.68, 0.98, 1.16, 1.8, 1.58, 0.5, 0.76, 1.32, 1.7, 2.54]","[0.8270922757788645, 0.7938539422542743, 0.9071147352221456, 1.3893178475901957, 1.649860847564584, 2.0800313969372914, 1.468582545816731, 1.346802714216306, 1.498298354528788, 1.7408653724219914, 2.1285234893930487, 3.0315349382173795, 2.3959148906556145, 0.903507902905251, 1.3498299212591676, 1.729574679344194, 1.7496355305594127, 2.6108095546424375, 2.0730535498168305, 1.0133798771981828, 1.3991250910508906, 2.0016319872156565, 1.9492541744817922, 2.849991049037144, 2.1092604371762, 1.122860777893062, 1.096190062471479, 1.6224194580807954, 1.8445728447507395, 2.3819045715047245, 2.0413081040132584, 0.9313146293146641, 1.238168496001168, 1.9213090775376482, 2.1594594939758527, 2.7494711921994552]",50,180.0,20,160.0,B,2
0.045,"[0.72, 0.26, 0.6, 0.74, 0.94, 1.32, 1.6, 0.8, 1.44, 2.52, 3.84, 4.28, 3.78, 0.86, 1.88, 2.02, 2.74, 3.44, 3.32, 1.26, 1.6, 2.18, 2.86, 4.54, 3.74, 1.06, 1.92, 2.04, 3.28, 4.02, 3.8, 0.9, 1.66, 2.44, 3.82, 5.54]","[0.7835033829029764, 0.6942915931555924, 1.0879675865519869, 1.2257442553778652, 1.6214128381867265, 2.0347992931159835, 2.747912008810193, 1.1605769149479945, 2.042007815452073, 2.8659863138229413, 4.306426142690593, 3.7309516212355254, 3.370278254121474, 1.958862643766238, 3.000952229828774, 2.9794534494002174, 3.3123762972666446, 3.6542399192930817, 3.1908031104717067, 1.688012960584735, 2.1092604371762005, 2.438550924677379, 3.3197614863918488, 3.7318813989072863, 2.954139261360271, 1.4201178450669336, 2.1744340103360518, 2.7845052321292383, 3.4819651969330567, 3.700468806483187, 3.57998973889762, 1.4178166600913722, 2.421080885278561, 2.564753240308601, 3.192401693306871, 4.563430503380507]",50,180.0,20,160.0,B,2
0.05,"[1.08, 0.92, 1.64, 2.08, 2.96, 3.54, 3.32, 1.68, 2.66, 3.7, 4.92, 6.5, 4.96, 1.42, 2.18, 3.24, 4.06, 5.68, 4.96, 2.24, 3.78, 4.58, 6.78, 8.14, 6.72, 1.64, 2.22, 3.08, 4.26, 5.14, 4.62, 1.44, 2.58, 4.28, 5.88, 8.1]","[1.1036118809044553, 1.2094863136295273, 1.7468338705866027, 2.8702556239712815, 3.8116898603948273, 4.116715552327548, 3.2162850924503514, 2.3073971553794235, 2.9389016412841817, 4.06201920231798, 5.05819198157296, 6.395948973006751, 4.46281690122702, 2.2139631101401003, 3.2305303791501876, 4.103557441229426, 4.5821748690564235, 5.448984177938909, 4.361052110466472, 2.4458210924608794, 4.042074634013922, 4.490761491719439, 5.668711115790406, 5.983003136436772, 4.504147748328813, 2.5853590916259703, 2.47674902125462, 4.024618121065421, 4.610591179058079, 4.9031851372139625, 4.313670722486919, 2.2146082714372692, 3.4409894163256745, 4.384760249885915, 4.843004633236584, 6.081923702116571]",50,180.0,20,160.0,B,2
0.055,"[1.14, 0.48, 1.5, 2.64, 3.66, 4.98, 4.0, 1.84, 2.96, 4.5, 6.98, 8.0, 6.34, 2.46, 3.46, 4.84, 6.94, 8.44, 7.18, 3.62, 5.12, 7.02, 9.46, 12.04, 9.66, 3.54, 5.84, 6.58, 9.14, 11.16, 9.34, 3.36, 5.38, 7.42, 10.24, 13.52]","[1.0303555954432548, 0.886174995386904, 1.6567733578204573, 3.1086449571135906, 4.264758289200706, 5.3699466040745945, 4.125579736626757, 2.8093139550358526, 3.533859542385085, 4.505099151777565, 6.569844529580371, 6.727949622466638, 5.286138979077493, 3.2652155599686257, 4.603503545991812, 5.5709157273123715, 7.144028475387177, 7.53538591024551, 6.727009221134195, 3.869767698559738, 4.934840733116367, 5.589677074386175, 6.8249542123006215, 7.922996753187547, 5.961132613926344, 3.3515759314820532, 5.545213048666574, 5.855714111455752, 6.975203895783627, 7.1866088622364535, 5.404495483259415, 3.5442393617053045, 5.439425239745052, 5.925007534654642, 7.135882308904108, 7.562636404571827]",50,180.0,20,160.0,B,2
0.06,"[1.38, 0.98, 1.76, 3.5, 5.04, 6.24, 5.1, 3.38, 5.24, 6.7, 10.68, 12.5, 10.66, 4.4, 6.54, 8.86, 11.4, 14.78, 12.04, 5.14, 8.92, 11.78, 14.14, 18.48, 14.0, 6.02, 8.84, 12.52, 14.78, 16.78, 14.24, 4.94, 7.92, 11.12, 14.76, 19.28]","[1.2270755012281378, 1.406834629041163, 2.190517597952314, 4.021625217216928, 6.037163815797572, 6.858809321312443, 5.3955764194346445, 4.00453824187162, 5.85735191264546, 6.569098965953382, 8.858156624011015, 9.37049211349007, 7.274809766781337, 4.686062704816207, 6.331682563239622, 7.425851150280515, 7.811556065424181, 8.983635916805305, 6.4141425373775345, 3.464160527929574, 6.033376554887091, 7.226058287015608, 7.3262458019793755, 8.281378175750454, 5.8936146699246486, 4.038033467631774, 5.474840413292465, 7.242843054367812, 7.659301401510694, 8.550665327974217, 6.843915814317809, 4.107782558877771, 5.692243200449295, 5.7379509960135655, 6.045946525380051, 5.73225745323813]",50,180.0,20,160.0,B,2
0.02,"[0.16, 0.1, 0.08, 0.14, 0.12, 0.14, 0.16, 0.32, 0.2, 0.32, 0.32, 0.36, 0.22, 0.06, 0.08, 0.06, 0.14, 0.14, 0.14, 0.06, 0.14, 0.14, 0.16, 0.2, 0.18, 0.02, 0.06, 0.04, 0.06, 0.08, 0.02, 0.06, 0.12, 0.18, 0.1, 0.1]","[0.37032803990902047, 0.36421567954234163, 0.3404678653660855, 0.40456577881446537, 0.32826072265931605, 0.4045657788144654, 0.46773444410699716, 0.5869325309764037, 0.6388765649999394, 0.6207303137828692, 0.7938539422542743, 0.9638358739104573, 0.46467017049401715, 0.23989793748209526, 0.3404678653660855, 0.23989793748209526, 0.45220547975269765, 0.4045657788144653, 0.5349041493385445, 0.2398979374820953, 0.3505098327538656, 0.3505098327538656, 0.37032803990902047, 0.45175395145262554, 0.43752550946038726, 0.1414213562373094, 0.23989793748209529, 0.2828427124746189, 0.2398979374820953, 0.3404678653660855, 0.1414213562373094, 0.23989793748209529, 0.38544964466377274, 0.3880879344916036, 0.303045763365663, 0.3030457633656631]",50,360.0,20,340.0,B,2
0.025,"[0.18, 0.26, 0.24, 0.22, 0.16, 0.22, 0.46, 0.28, 0.4, 0.54, 0.54, 0.74, 0.46, 0.14, 0.18, 0.24, 0.34, 0.2, 0.26, 0.4, 0.46, 0.44, 0.64, 0.92, 0.52, 0.1, 0.08, 0.2, 0.2, 0.14, 0.22, 0.16, 0.34, 0.48, 0.44, 0.58]","[0.5225526045191969, 0.6642473107178661, 0.5174505793221384, 0.4646701704940175, 0.4677344441069975, 0.5066899385990916, 0.862128358263692, 0.5728553615932407, 0.6998542122237652, 0.813408048313529, 0.7342912729083654, 1.1747340124470735, 0.7059513771774767, 0.4045657788144653, 0.6605501726683937, 0.5174505793221386, 1.0615737258948172, 0.49487165930539323, 0.63277813115286, 0.7284313590846837, 1.0918996739440778, 0.9722685444099178, 1.1738650619528075, 1.3678524804098084, 0.8861749953869043, 0.5050762722761052, 0.3404678653660855, 0.5345224838248485, 0.6388765649999395, 0.3505098327538653, 0.46467017049401715, 0.5095015571464863, 0.5928141120356123, 0.9739463170891042, 1.0528871870107592, 1.179588305905315]",50,360.0,20,340.0,B,2
0.03,"[0.36, 0.12, 0.28, 0.34, 0.44, 0.36, 0.42, 0.68, 0.68, 0.8, 1.34, 1.48, 0.9, 0.18, 0.3, 0.62, 0.52, 0.66, 0.7, 0.9, 1.12, 1.22, 1.44, 1.56, 1.36, 0.34, 0.44, 0.42, 0.76, 0.66, 0.86, 0.98, 1.02, 1.14, 1.38, 1.9]","[0.5627918743883488, 0.3854496446637727, 0.640153042925945, 0.7174216873994127, 0.8121525944886797, 0.8270922757788646, 0.6417450698633201, 1.2361890087305112, 1.0388376550113054, 1.1065666703449761, 1.648870980460291, 1.6932037017176058, 1.0926470386270255, 0.4375255094603874, 0.8630747123996129, 1.2598995748771051, 1.0349011586442767, 1.1358715075362413, 1.297564437470353, 1.1823532398033465, 1.7218879055222132, 1.5816550360496517, 2.3225601637601803, 2.3400680262220885, 1.8818141485800128, 0.7982122882685142, 0.8121525944886797, 0.8351951989853413, 1.3785529236359797, 1.4229890931358784, 1.4709430544340436, 1.435554362095219, 1.6719779316969567, 1.4984345572793558, 1.5764853701982076, 2.2246302146282058]",50,360.0,20,340.0,B,2
0.035,"[0.38, 0.22, 0.46, 0.66, 0.72, 0.7, 1.06, 1.4, 1.62, 1.64, 2.96, 3.16, 2.08, 0.44, 0.5, 0.66, 0.82, 1.2, 1.44, 1.72, 2.14, 2.14, 2.62, 3.38, 2.58, 0.74, 0.9, 0.92, 1.16, 1.82, 1.92, 1.8, 1.94, 2.62, 2.9, 3.74]","[0.5674864018868913, 0.5816935163286382, 0.9082389328715618, 1.2553558727894403, 1.5258319911792788, 1.3590212564600312, 1.9209903908225714, 2.2038926600773596, 2.3551073462254113, 1.8489931071272503, 3.446145436186194, 3.694231576224683, 2.028772625837342, 0.8121525944886797, 1.0151907431108496, 1.3341664064126326, 1.5211435011268344, 2.2587697572631273, 2.0816006400099414, 2.399319631453374, 2.432853368003111, 2.4908813291520664, 3.225472596285349, 3.658314544448365, 2.458554411827887, 1.2089800052363249, 1.3131983079178742, 1.5628336378488394, 1.6946494430099333, 2.4718001372213223, 2.337275581282007, 2.240626734479732, 2.34224730739083, 2.8847947615604355, 2.7866298861615952, 3.421480763097303]",50,360.0,20,340.0,B,2
0.04,"[0.88, 0.42, 0.5, 1.08, 1.0, 1.62, 1.94, 2.78, 3.4, 3.76, 4.58, 5.24, 3.62, 0.86, 0.96, 1.48, 1.94, 2.12, 2.76, 3.26, 4.28, 4.7, 5.42, 6.14, 4.68, 1.14, 2.02, 2.06, 2.8, 3.32, 4.52, 4.6, 5.28, 5.48, 6.58, 8.02]","[0.8485281374238569, 0.9055385138137421, 1.0546302185881, 1.7709676819784843, 1.4708043058552858, 2.284731931759173, 3.2913616064616473, 3.246913762265923, 3.9279220242478607, 4.148075531164411, 4.998326250468496, 5.408081632036955, 3.590747747719841, 1.0881551510024023, 1.3696416930522146, 2.1212241363737814, 2.2893720732541314, 2.1912627987216013, 3.034226526191625, 3.167500785239018, 3.6479795917796505, 3.6491542212699435, 3.99024320265401, 4.403199207997081, 3.5938723359834213, 1.6661087501561649, 2.5353822720264736, 1.9421217095470293, 3.123315872725063, 3.334666400106613, 4.258197376585447, 4.257046978786096, 4.155350620045222, 4.27732512255985, 4.844900538142119, 5.456656672433802]",50,360.0,20,340.0,B,2
0.045,"[0.98, 0.42, 0.6, 1.32, 1.54, 1.82, 2.54, 3.5, 4.14, 5.2, 6.42, 7.96, 5.68, 1.76, 2.22, 2.98, 3.58, 5.24, 6.28, 6.8, 7.84, 8.94, 11.02, 11.38, 9.78, 2.66, 3.98, 4.88, 5.6, 7.16, 8.1, 9.56, 10.1, 9.82, 11.92, 13.38]","[1.0200040015927905, 0.672794962246664, 0.903507902905251, 1.856483399399224, 1.971325049041784, 2.173025728408785, 2.9081868957149513, 3.465574134488058, 4.0356068253708255, 4.080816244881629, 4.849111006258819, 5.488243464582324, 3.7766198038533267, 2.317282010970471, 3.570228369760805, 3.9200687207637324, 3.7312251093074686, 5.06512686949514, 5.7108561136681075, 5.760527186758843, 5.932821196272376, 5.552752580881827, 6.665445466381533, 5.9655131328977475, 5.1440078077828195, 2.3613382577146664, 3.5369189866842223, 4.2696843070223185, 5.018333734357226, 6.115754162782529, 6.071848724958117, 6.707169481158173, 6.890543653205799, 6.294441992742486, 6.365852781258225, 6.84191762115665]",50,360.0,20,340.0,B,2
0.05,"[1.14, 1.06, 1.78, 2.48, 3.36, 4.26, 5.62, 7.04, 8.04, 9.7, 11.6, 12.3, 9.7, 3.1, 3.96, 5.08, 6.44, 8.34, 10.44, 11.2, 13.7, 14.84, 15.86, 17.8, 13.3, 4.18, 5.6, 7.74, 8.94, 10.48, 13.44, 15.26, 15.42, 17.36, 17.46, 21.2]","[0.9899494936611665, 1.7427400429045226, 2.1217051286786353, 3.441878936314422, 4.008969535266373, 4.78863450350549, 5.401775974017193, 6.430031580206196, 6.69437778120947, 7.426510703182875, 8.12403840463596, 7.52478896578448, 5.530066243098832, 3.4773318413251673, 4.1843244889195, 4.044850593845292, 5.326713578842061, 6.0663339970088455, 6.86654117843198, 6.854166020511517, 6.842991349712851, 7.022878065759835, 6.423839528328389, 6.023762469230863, 5.123973266988845, 2.767817972073058, 4.145319465299117, 5.078204728573487, 4.896521047370974, 5.023373937333923, 6.424316051899522, 6.918800179103839, 6.518701510865112, 6.492570322126292, 5.62868020199465, 6.58693821908486]",50,360.0,20,340.0,B,2
0.055,"[1.02, 0.78, 1.76, 2.66, 3.54, 4.98, 6.7, 8.48, 10.8, 12.24, 15.38, 16.44, 12.56, 5.04, 7.16, 8.94, 10.98, 14.3, 16.62, 17.54, 20.86, 19.34, 20.76, 24.14, 18.1, 6.76, 10.66, 13.2, 14.08, 18.02, 20.4, 21.54, 22.42, 23.4, 23.82, 25.8]","[0.9581018649775549, 1.3445278360974222, 2.378131662478264, 3.2926014775244083, 4.371568625207428, 5.377542113612265, 6.667772017208551, 7.440210661928704, 8.875556895433753, 8.784401760263147, 9.93425325603802, 10.053245998285371, 6.905070600652827, 4.4352944360768065, 5.5709157273123715, 6.7018425733189995, 7.112765184612, 8.885323831568366, 9.222620814816011, 8.579068024165872, 8.542833253669418, 7.10449699493359, 6.7387396629412795, 6.027183320217679, 4.6169607460549456, 3.4791507291174333, 4.779249364680181, 5.799366608624126, 5.720853368624835, 5.974401173988494, 6.295447010437344, 5.300019252949244, 4.526971326146778, 3.984664480280386, 4.148715070319228, 4.407785320154718]",50,360.0,20,340.0,B,2
0.06,"[1.3, 1.28, 2.68, 4.34, 6.36, 8.8, 11.28, 13.64, 16.6, 17.86, 21.56, 22.42, 16.06, 7.84, 11.3, 14.2, 17.08, 19.84, 22.62, 23.06, 25.0, 26.14, 24.66, 27.12, 19.92, 7.58, 10.7, 14.62, 16.36, 19.9, 22.72, 24.64, 25.56, 24.84, 26.64, 27.62]","[1.1473127431577868, 1.8520810137876402, 3.177985499767847, 4.744965108148954, 7.230208736084107, 7.8506466651623334, 8.151724495154259, 8.998321839007946, 9.075645813867768, 8.552383603775176, 9.118628611534852, 8.642774497833908, 6.569596017772684, 5.754714127902233, 7.412757893782633, 9.055385138137416, 8.51371043118818, 8.46929628669565, 8.547323247302488, 7.939593368500862, 7.8636336825845055, 7.056651226368796, 6.149863114454712, 5.6735692253732175, 4.416296352079168, 5.447673159904405, 6.367167056590445, 7.004051305771364, 6.912750715090164, 7.410004268912815, 7.0913572000552545, 6.620191747639204, 6.370083137893372, 5.581894930971754, 4.008969535266373, 3.5449878385560383]",50,360.0,20,340.0,B,2
