0.06,0.075,0.08,0.09
,"[9, 65, 44, 44, 56, 51, 45, 44, 44, 44, 44, 44, 53, 53, 45, 45, 45, 44, 44]",,
,"[6, 74, 50, 50, 62, 59, 50, 50, 51, 50, 51, 50, 58, 59, 53, 51, 52, 51, 50]",,
,"[6, 68, 44, 44, 57, 50, 45, 44, 44, 45, 44, 44, 50, 56, 44, 44, 47, 44, 44]",,
,"[9, 71, 50, 50, 64, 57, 51, 50, 50, 51, 50, 50, 59, 59, 52, 51, 53, 50, 50]",,
,"[8, 80, 58, 58, 74, 67, 59, 58, 59, 58, 58, 58, 67, 73, 60, 58, 60, 58, 58]",,
,"[10, 76, 56, 56, 68, 67, 57, 56, 57, 57, 56, 56, 69, 66, 57, 56, 58, 56, 57]",,
,"[9, 73, 52, 52, 67, 61, 52, 52, 53, 52, 52, 52, 59, 67, 52, 52, 55, 52, 52]",,
,"[9, 52, 32, 32, 41, 36, 32, 32, 32, 33, 32, 32, 38, 37, 33, 32, 35, 32, 32]",,
,"[8, 69, 48, 48, 60, 55, 49, 48, 50, 48, 47, 48, 56, 58, 51, 50, 48, 49, 48]",,
,"[8, 71, 51, 50, 62, 60, 50, 50, 52, 50, 50, 50, 58, 58, 54, 50, 51, 52, 51]",,
,"[7, 70, 48, 48, 61, 56, 48, 49, 48, 48, 48, 48, 51, 64, 51, 48, 48, 49, 48]",,
,"[6, 58, 34, 34, 41, 39, 35, 34, 35, 35, 34, 34, 38, 41, 35, 35, 35, 35, 35]",,
,"[7, 77, 54, 54, 64, 68, 55, 54, 50, 58, 54, 54, 61, 67, 54, 55, 55, 57, 55]",,
,"[7, 80, 59, 58, 73, 69, 58, 58, 56, 61, 58, 58, 67, 67, 59, 58, 64, 61, 58]",,
,"[9, 60, 40, 40, 51, 46, 41, 40, 42, 40, 40, 40, 46, 47, 41, 40, 44, 41, 40]",,
,"[8, 77, 57, 56, 73, 63, 56, 56, 56, 58, 56, 56, 66, 68, 57, 56, 58, 57, 57]",,
,"[9, 61, 40, 40, 48, 50, 40, 40, 41, 40, 40, 40, 43, 53, 40, 40, 42, 41, 40]",,
,"[6, 74, 50, 50, 63, 58, 52, 50, 50, 50, 50, 50, 60, 62, 51, 50, 51, 50, 50]",,
,"[11, 77, 58, 58, 73, 66, 60, 58, 57, 60, 59, 58, 66, 71, 60, 58, 61, 59, 59]",,
,"[9, 77, 56, 56, 71, 66, 56, 56, 57, 56, 56, 56, 64, 68, 60, 55, 60, 56, 56]",,
,"[7, 75, 52, 52, 67, 58, 54, 52, 51, 54, 52, 52, 58, 67, 53, 52, 53, 54, 52]",,
,"[10, 66, 46, 46, 58, 53, 46, 46, 46, 47, 47, 46, 55, 53, 46, 47, 49, 48, 46]",,
,"[8, 74, 52, 52, 67, 58, 53, 52, 52, 54, 52, 52, 63, 61, 53, 53, 55, 52, 52]",,
,"[5, 73, 51, 50, 63, 58, 50, 50, 50, 52, 50, 50, 58, 62, 50, 50, 52, 51, 51]",,
,"[7, 77, 54, 54, 70, 63, 54, 53, 54, 55, 54, 54, 65, 66, 55, 54, 55, 55, 54]",,
,"[8, 72, 50, 50, 57, 63, 52, 49, 50, 52, 50, 50, 59, 61, 48, 50, 54, 52, 50]",,
,"[7, 73, 50, 50, 65, 55, 53, 50, 49, 51, 50, 50, 55, 65, 50, 51, 52, 51, 50]",,
,"[9, 67, 48, 48, 59, 57, 50, 48, 49, 48, 48, 48, 53, 60, 50, 48, 52, 48, 48]",,
,"[8, 74, 52, 52, 69, 59, 52, 52, 51, 53, 52, 52, 66, 60, 51, 52, 54, 54, 52]",,
,"[10, 60, 40, 40, 49, 47, 40, 40, 39, 42, 41, 40, 49, 43, 40, 40, 44, 42, 41]",,
,"[9, 64, 44, 44, 51, 55, 45, 44, 45, 44, 44, 44, 47, 58, 45, 45, 46, 45, 44]",,
,"[8, 78, 56, 56, 69, 69, 56, 56, 56, 56, 56, 56, 69, 67, 56, 57, 59, 56, 56]",,
,"[8, 72, 50, 50, 63, 59, 50, 50, 49, 52, 50, 50, 61, 59, 50, 50, 52, 52, 50]",,
,"[8, 64, 42, 42, 56, 46, 43, 42, 41, 43, 42, 42, 51, 49, 43, 42, 43, 43, 43]",,
,"[8, 74, 52, 52, 64, 63, 53, 52, 51, 53, 52, 52, 64, 62, 50, 52, 54, 55, 52]",,
,"[10, 64, 44, 44, 58, 47, 46, 44, 43, 46, 44, 44, 50, 55, 44, 44, 45, 47, 44]",,
,"[9, 64, 45, 44, 54, 52, 45, 44, 45, 44, 44, 44, 51, 53, 47, 44, 46, 44, 43]",,
,"[10, 73, 54, 54, 66, 64, 57, 54, 54, 54, 54, 54, 60, 71, 56, 54, 55, 55, 54]",,
,"[12, 66, 48, 48, 64, 53, 49, 48, 48, 48, 48, 48, 62, 54, 48, 48, 51, 48, 48]",,
,"[9, 75, 54, 54, 70, 62, 54, 54, 52, 57, 54, 54, 61, 67, 56, 54, 56, 55, 55]",,
,"[8, 56, 34, 34, 47, 35, 34, 35, 36, 34, 34, 34, 40, 37, 36, 34, 38, 35, 34]",,
,"[11, 73, 54, 54, 70, 62, 54, 55, 55, 54, 55, 54, 62, 62, 59, 54, 58, 55, 54]",,
,"[8, 76, 54, 54, 71, 61, 55, 54, 55, 54, 54, 54, 65, 62, 57, 54, 57, 55, 54]",,
,"[8, 58, 36, 36, 46, 41, 37, 36, 36, 37, 36, 36, 38, 44, 39, 36, 39, 37, 36]",,
,"[7, 81, 58, 58, 76, 63, 60, 58, 58, 59, 59, 58, 72, 68, 58, 59, 59, 59, 59]",,
,"[10, 68, 48, 48, 64, 53, 49, 48, 48, 48, 48, 48, 54, 57, 51, 50, 50, 49, 48]",,
,"[8, 58, 36, 36, 47, 41, 36, 36, 36, 36, 36, 36, 40, 48, 36, 36, 37, 37, 36]",,
,"[7, 57, 34, 34, 41, 40, 36, 34, 35, 34, 34, 34, 38, 43, 32, 34, 37, 36, 34]",,
,"[9, 71, 50, 50, 60, 63, 50, 50, 49, 51, 50, 50, 60, 61, 50, 50, 52, 51, 50]",,
,,"[7, 75, 52, 52, 67, 60, 52, 52, 53, 52, 52, 52, 61, 62, 56, 52, 54, 53, 52]",
,,"[8, 80, 58, 58, 77, 65, 59, 58, 59, 58, 58, 58, 70, 67, 61, 58, 62, 58, 58]",
,,"[9, 69, 48, 48, 61, 57, 48, 48, 48, 49, 48, 48, 62, 53, 48, 48, 52, 48, 48]",
,,"[7, 73, 50, 50, 63, 60, 50, 50, 50, 50, 50, 50, 67, 55, 49, 51, 51, 51, 50]",
,,"[10, 66, 46, 46, 62, 51, 46, 46, 47, 46, 46, 46, 51, 57, 48, 47, 49, 46, 46]",
,,"[9, 69, 48, 48, 62, 56, 48, 48, 49, 48, 48, 48, 58, 57, 49, 49, 49, 49, 48]",
,,"[9, 58, 38, 38, 43, 45, 41, 38, 38, 40, 38, 38, 43, 45, 39, 39, 40, 39, 38]",
,,"[10, 78, 58, 58, 74, 67, 59, 58, 58, 59, 58, 58, 67, 71, 61, 58, 60, 59, 58]",
,,"[8, 62, 40, 40, 54, 43, 40, 40, 40, 40, 41, 40, 48, 47, 41, 40, 42, 41, 40]",
,,"[9, 71, 50, 50, 65, 56, 51, 50, 51, 50, 50, 50, 59, 63, 48, 51, 52, 51, 50]",
,,"[10, 74, 54, 54, 71, 61, 54, 54, 56, 54, 54, 54, 60, 67, 56, 54, 59, 55, 54]",
