prob_transmission,iteration,patients,patient_C,patient_S,patient_isolated,patient_positive,patient_preinfection,hcws,hcw_C,goo,goo_C,beds,filled_beds,filled_sick_beds,empty_isolated_beds,daily_hcw_infections,cumulative_sick_patients,cumulative_sick_patients_by_HCW,cumulative_patients,move2isol
0.03802,1,30,0,30,16,0,0,19,0,30,9,30,0,0,0,0,0,0,30,0
0.03802,2,30,0,30,16,0,0,19,0,30,9,30,0,0,0,0,0,0,30,0
0.03802,3,30,0,30,16,0,0,19,0,30,9,30,0,0,0,0,0,0,30,0
0.03802,4,30,0,30,16,0,0,19,0,30,9,30,0,0,0,0,0,0,30,0
0.03802,5,30,0,30,16,0,0,19,0,30,9,30,0,0,0,0,0,0,30,0
0.03802,6,30,0,30,16,0,0,19,0,30,9,30,0,0,0,0,0,0,30,0
0.03802,7,30,0,30,16,0,0,19,0,30,9,30,0,0,0,0,0,0,30,0
0.03802,8,30,0,30,16,0,0,19,0,30,9,30,0,0,0,0,0,0,30,0
0.03802,9,30,0,30,16,0,0,19,0,30,9,30,0,0,0,0,0,0,30,0
0.03802,10,30,0,30,16,0,0,19,0,30,9,30,0,0,0,0,0,0,30,0
