cleaningDay,first_clean_day,tau_offset_days,beta,mean,std,n,max,median,nonzero_mean,disease_free(%)
180,20,160,0.02,"[1.81, 0.21, 0.31, 0.36, 0.39, 0.3, 0.25, 0.07, 0.06, 0.02, 0.1, 0.03, 0.05, 0.0, 0.0, 0.0, 0.01, 0.01, 0.01]","[1.2222520198387894, 0.43116122274620217, 0.5778408085277466, 0.7552483035399693, 0.6913031173081745, 0.574456264653803, 0.49749371855331, 0.3241913015489459, 0.27640549922170465, 0.13999999999999996, 0.4123105625617663, 0.22158519806160312, 0.2179449471770338, 0.0, 0.0, 0.0, 0.09949874371066196, 0.09949874371066199, 0.09949874371066193]",100,"[6.0, 2.0, 2.0, 4.0, 3.0, 3.0, 2.0, 2.0, 2.0, 1.0, 3.0, 2.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]","[2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.0568181818181817, 1.05, 1.24, 1.5, 1.3928571428571428, 1.2, 1.1363636363636365, 1.4, 1.2, 1.0, 1.4285714285714286, 1.5, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]","[12.0, 80.0, 75.0, 76.0, 72.0, 75.0, 78.0, 95.0, 95.0, 98.0, 93.0, 98.0, 95.0, 100.0, 100.0, 100.0, 99.0, 99.0, 99.0]"
180,20,160,0.025,"[2.68, 0.41, 0.56, 0.75, 0.7, 0.86, 0.65, 0.09, 0.04, 0.1, 0.13, 0.19, 0.14, 0.05, 0.01, 0.01, 0.04, 0.01, 0.02]","[1.4483093592185332, 0.6339558344238189, 0.8639444426582061, 1.061838029079765, 1.0723805294763604, 1.2729493312775642, 0.9096702699330127, 0.40236799077461394, 0.19595917942265398, 0.3872983346207414, 0.39127995093027673, 0.5421254467371927, 0.4247352116319064, 0.25980762113533185, 0.09949874371066195, 0.09949874371066195, 0.24166091947189133, 0.09949874371066197, 0.19899748742132392]",100,"[6.0, 3.0, 5.0, 4.0, 5.0, 7.0, 4.0, 3.0, 1.0, 2.0, 2.0, 3.0, 2.0, 2.0, 1.0, 1.0, 2.0, 1.0, 2.0]","[3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.851063829787234, 1.2058823529411764, 1.4736842105263157, 1.829268292682927, 1.75, 1.9545454545454546, 1.5853658536585367, 1.5, 1.0, 1.4285714285714286, 1.1818181818181819, 1.4615384615384615, 1.2727272727272727, 1.25, 1.0, 1.0, 1.3333333333333333, 1.0, 2.0]","[6.0, 66.0, 62.0, 59.0, 60.0, 56.00000000000001, 59.0, 94.0, 96.0, 93.0, 89.0, 87.0, 89.0, 96.0, 99.0, 99.0, 97.0, 99.0, 99.0]"
180,20,160,0.03,"[3.38, 0.66, 0.76, 0.81, 1.16, 1.13, 0.95, 0.16, 0.24, 0.27, 0.24, 0.29, 0.29, 0.04, 0.02, 0.05, 0.05, 0.13, 0.07]","[1.5670354175959134, 0.9509994742374988, 1.2737346662472517, 1.2465552534885886, 1.6107141273360701, 1.6165085833363224, 1.366565036871645, 0.5425863986500219, 0.6019966777316966, 0.6907242575731646, 0.6945502141674138, 0.8036790404135221, 0.7911384202527391, 0.3136877428271624, 0.19899748742132392, 0.32787192621509986, 0.2598076211353318, 0.6731270311018567, 0.3809199390948179]",100,"[9.0, 5.0, 7.0, 5.0, 7.0, 8.0, 7.0, 3.0, 3.0, 3.0, 4.0, 3.0, 4.0, 3.0, 2.0, 3.0, 2.0, 6.0, 3.0]","[3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.4489795918367347, 1.6097560975609757, 1.9487179487179487, 2.189189189189189, 2.36734693877551, 2.3541666666666665, 2.159090909090909, 1.6, 1.5, 1.6875, 1.8461538461538463, 2.230769230769231, 2.0714285714285716, 2.0, 2.0, 1.6666666666666667, 1.25, 2.1666666666666665, 1.75]","[2.0, 59.0, 61.0, 63.0, 51.0, 52.0, 56.00000000000001, 90.0, 84.0, 84.0, 87.0, 87.0, 86.0, 98.0, 99.0, 97.0, 96.0, 94.0, 96.0]"
180,20,160,0.035,"[4.25, 0.92, 1.16, 1.41, 1.71, 1.73, 1.47, 0.45, 0.47, 0.5, 0.71, 0.58, 0.48, 0.1, 0.11, 0.12, 0.2, 0.21, 0.17]","[1.8834808201837363, 1.172006825918689, 1.454097658343482, 1.7210171411116155, 1.919869787251209, 1.9383240183209824, 1.5521275720764711, 0.8645808232895293, 0.9945350672550468, 1.1, 1.5446358794227193, 1.266333289462138, 0.994786409235672, 0.45825756949558427, 0.44485952839070464, 0.515363949069004, 0.7211102550927974, 0.816026960338934, 0.8006872048434394]",100,"[10.0, 4.0, 6.0, 7.0, 7.0, 9.0, 7.0, 3.0, 6.0, 5.0, 7.0, 8.0, 5.0, 3.0, 3.0, 4.0, 5.0, 6.0, 7.0]","[4.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.292929292929293, 1.803921568627451, 2.230769230769231, 2.5636363636363635, 2.80327868852459, 2.8833333333333333, 2.4098360655737703, 1.8, 1.88, 2.0, 2.84, 2.0714285714285716, 2.0, 1.6666666666666667, 1.5714285714285714, 1.7142857142857142, 2.0, 2.3333333333333335, 2.125]","[1.0, 49.0, 48.0, 45.0, 39.0, 40.0, 39.0, 75.0, 75.0, 75.0, 75.0, 72.0, 76.0, 94.0, 93.0, 93.0, 90.0, 91.0, 92.0]"
180,20,160,0.04,"[5.6, 1.09, 1.6, 1.82, 2.02, 2.51, 2.16, 0.34, 0.7, 0.92, 1.08, 1.29, 1.15, 0.25, 0.29, 0.38, 0.42, 0.63, 0.44]","[2.0591260281974004, 1.4972975656161343, 1.8055470085267795, 2.00688813838739, 2.2670685918163125, 2.598056966273065, 2.4195867415738586, 0.8392854103342915, 1.466287829861519, 1.7870646322950952, 2.1339165869358636, 2.6468660714135104, 2.3296995514443486, 0.8170067319184096, 0.9305374790947438, 1.239193285972773, 1.2424169992397884, 1.895547414337083, 1.2674383614203895]",100,"[12.0, 6.0, 6.0, 9.0, 10.0, 9.0, 10.0, 6.0, 9.0, 10.0, 13.0, 17.0, 12.0, 5.0, 5.0, 7.0, 6.0, 10.0, 6.0]","[5.5, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[5.6, 2.369565217391304, 2.807017543859649, 3.1379310344827585, 3.2580645161290325, 4.048387096774194, 3.540983606557377, 1.5454545454545454, 2.2580645161290325, 2.967741935483871, 3.6, 3.6857142857142855, 3.1944444444444446, 2.272727272727273, 2.6363636363636362, 2.923076923076923, 3.0, 4.5, 3.6666666666666665]","[0.0, 54.0, 43.0, 42.0, 38.0, 38.0, 39.0, 78.0, 69.0, 69.0, 70.0, 65.0, 64.0, 89.0, 89.0, 87.0, 86.0, 86.0, 88.0]"
180,20,160,0.045,"[6.3, 1.36, 2.08, 2.38, 3.56, 3.98, 3.36, 1.08, 1.23, 1.74, 2.25, 2.68, 2.03, 0.52, 0.62, 0.87, 1.12, 1.37, 0.96]","[2.1047565179849186, 1.5589740215924075, 2.2211708624056814, 2.5091034255287292, 3.8374991856676672, 4.166485329387349, 3.6235893807107895, 1.7588632692736528, 2.115915877344844, 2.6443146560120265, 3.871369266809871, 4.206851554309942, 3.3028926715835016, 1.4931845163944066, 1.7133592734741894, 2.189314961352066, 3.128194367362745, 3.3753666467511327, 2.541338230145685]",100,"[11.0, 7.0, 9.0, 9.0, 19.0, 19.0, 15.0, 9.0, 13.0, 11.0, 21.0, 20.0, 21.0, 8.0, 9.0, 10.0, 16.0, 21.0, 14.0]","[6.0, 1.0, 2.0, 2.0, 3.0, 3.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[6.3, 2.305084745762712, 3.3015873015873014, 3.6615384615384614, 5.085714285714285, 5.852941176470588, 5.090909090909091, 3.0, 3.1538461538461537, 4.046511627906977, 5.0, 6.090909090909091, 4.833333333333333, 3.25, 3.4444444444444446, 4.833333333333333, 5.6, 6.85, 4.8]","[0.0, 41.0, 37.0, 35.0, 30.0, 32.0, 34.0, 64.0, 61.0, 56.99999999999999, 55.00000000000001, 56.00000000000001, 57.99999999999999, 84.0, 82.0, 82.0, 80.0, 80.0, 80.0]"
180,20,160,0.05,"[8.02, 1.73, 2.94, 3.9, 5.0, 6.39, 4.83, 1.34, 1.75, 2.6, 3.22, 4.1, 3.48, 0.8, 1.38, 1.68, 2.09, 2.45, 2.24]","[2.140000000000001, 1.9123545696339892, 3.180628868635887, 3.991240408695022, 4.983974317750845, 6.067775539685035, 4.379623271469819, 2.392571838001943, 2.868361901852693, 4.007492981902775, 4.809532201784288, 5.6062465161639095, 4.873356133097602, 1.7720045146669328, 2.887143917438132, 3.6548050563607366, 4.116053935506674, 4.646235034950345, 4.301441618806416]",100,"[13.0, 7.0, 14.0, 15.0, 19.0, 23.0, 16.0, 13.0, 15.0, 19.0, 24.0, 24.0, 22.0, 8.0, 17.0, 23.0, 22.0, 22.0, 19.0]","[8.0, 1.0, 2.0, 3.0, 3.5, 5.5, 4.0, 0.0, 0.0, 0.0, 1.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[8.02, 2.582089552238806, 4.323529411764706, 5.6521739130434785, 6.944444444444445, 8.753424657534246, 6.708333333333333, 3.35, 4.069767441860465, 6.046511627906977, 6.313725490196078, 8.03921568627451, 7.1020408163265305, 3.2, 4.758620689655173, 5.6, 6.333333333333333, 7.903225806451613, 7.0]","[0.0, 33.0, 32.0, 31.0, 28.000000000000004, 27.0, 28.000000000000004, 60.0, 56.99999999999999, 56.99999999999999, 49.0, 49.0, 51.0, 75.0, 71.0, 70.0, 67.0, 69.0, 68.0]"
180,20,160,0.055,"[9.24, 2.38, 3.59, 4.84, 6.15, 7.39, 6.4, 1.64, 2.74, 3.64, 4.74, 6.17, 5.0, 1.52, 2.28, 3.1, 4.39, 5.05, 4.21]","[2.4984795376388416, 2.513085752615697, 3.7043083025039905, 4.869743319724357, 5.904870870730369, 7.191515834648492, 6.390618123468184, 2.2782449385437027, 3.923314924907251, 5.078424952679721, 6.460061919207893, 7.4081779136303165, 5.9497899122574065, 2.527765811937489, 4.052357338636364, 5.142956348249516, 6.67067462855145, 7.571492587330448, 6.104580247650116]",100,"[17.0, 9.0, 14.0, 21.0, 22.0, 30.0, 24.0, 8.0, 14.0, 20.0, 25.0, 28.0, 20.0, 10.0, 21.0, 23.0, 25.0, 25.0, 20.0]","[9.0, 2.0, 3.0, 4.0, 5.0, 7.0, 5.0, 0.0, 0.0, 0.0, 2.0, 4.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[9.24, 3.7777777777777777, 5.358208955223881, 7.223880597014926, 9.17910447761194, 10.867647058823529, 9.696969696969697, 3.5652173913043477, 5.956521739130435, 7.428571428571429, 8.777777777777779, 11.017857142857142, 8.771929824561404, 4.3428571428571425, 6.333333333333333, 8.857142857142858, 11.552631578947368, 13.289473684210526, 11.078947368421053]","[0.0, 37.0, 33.0, 33.0, 33.0, 32.0, 34.0, 54.0, 54.0, 51.0, 46.0, 44.0, 43.0, 65.0, 64.0, 65.0, 62.0, 62.0, 62.0]"
180,20,160,0.06,"[10.31, 2.8, 4.59, 6.53, 8.86, 11.11, 9.95, 3.4, 5.76, 7.98, 9.82, 12.13, 10.17, 3.48, 5.1, 7.07, 8.85, 11.37, 8.82]","[2.1104264971801308, 2.76767050061961, 4.52569331705099, 6.258522189782504, 7.555157179040024, 9.124576702510643, 7.995467466008472, 3.9874804074753762, 6.291454521809723, 8.574357118758234, 9.65440831951912, 11.492306121923482, 9.19136007346029, 4.535372090578678, 6.726812023536858, 8.793469167512901, 10.073107762751278, 12.619552289998252, 9.614967498645019]",100,"[16.0, 12.0, 18.0, 21.0, 27.0, 32.0, 27.0, 19.0, 23.0, 28.0, 33.0, 43.0, 28.0, 19.0, 26.0, 32.0, 33.0, 39.0, 28.0]","[10.0, 2.0, 4.0, 5.0, 8.0, 10.0, 9.5, 2.0, 4.0, 6.5, 7.5, 11.0, 10.0, 1.0, 1.0, 2.0, 3.5, 5.0, 4.0]","[10.31, 4.0, 6.464788732394366, 8.945205479452055, 11.506493506493506, 14.243589743589743, 12.756410256410257, 5.666666666666667, 9.290322580645162, 13.525423728813559, 14.656716417910447, 18.37878787878788, 15.409090909090908, 6.566037735849057, 9.622641509433961, 13.596153846153847, 15.258620689655173, 20.672727272727272, 16.036363636363635]","[0.0, 30.0, 28.999999999999996, 27.0, 23.0, 22.0, 22.0, 40.0, 38.0, 41.0, 33.0, 34.0, 34.0, 47.0, 47.0, 48.0, 42.0, 45.0, 45.0]"
