prob_transmission,iteration,patients,patient_C,patient_S,patient_isolated,patient_positive,patient_preinfection,hcws,hcw_C,goo,goo_C,beds,filled_beds,filled_sick_beds,empty_isolated_beds,daily_hcw_infections,cumulative_sick_patients,cumulative_sick_patients_by_HCW,cumulative_patients,move2isol
0.05,1,30,25,5,13,25,0,19,0,30,21,30,30,25,0,0,64,57,398,26
0.05,2,30,28,2,15,28,0,19,1,30,28,30,30,28,0,0,46,39,180,14
0.05,3,30,25,5,16,25,0,19,0,30,28,30,30,25,0,1,64,57,322,22
0.05,4,30,17,13,14,17,0,19,0,30,15,30,30,17,0,0,48,41,326,23
0.05,5,30,28,2,16,28,0,19,1,30,29,30,30,28,0,0,67,60,240,20
0.05,6,30,27,3,15,27,0,19,0,30,29,30,30,27,0,0,76,69,308,20
0.05,7,30,24,6,17,24,0,19,0,30,24,30,30,24,0,0,63,56,321,23
0.05,8,30,23,7,15,23,0,19,0,30,21,30,30,23,0,0,49,42,251,16
0.05,9,30,25,5,15,25,0,19,0,30,29,30,30,25,0,0,78,71,386,34
0.05,10,30,28,2,15,28,0,19,0,30,27,30,30,28,0,0,68,61,238,20
