prob_transmission,iteration,patients,patient_C,patient_S,patient_isolated,patient_positive,patient_preinfection,hcws,hcw_C,goo,goo_C,beds,filled_beds,filled_sick_beds,empty_isolated_beds,daily_hcw_infections,cumulative_sick_patients,cumulative_sick_patients_by_HCW,cumulative_patients,move2isol
0.03,1,30,0,30,16,0,0,19,0,30,0,30,30,0,0,0,0,0,30,0
0.03,2,30,0,30,16,0,0,19,0,30,0,30,30,0,0,0,7,0,111,0
0.03,3,30,0,30,16,0,0,19,0,30,0,30,30,0,0,0,7,0,110,0
0.03,4,30,0,30,16,0,0,19,0,30,0,30,30,0,0,0,7,0,190,0
0.03,5,30,0,30,16,0,0,19,0,30,0,30,30,0,0,0,0,0,30,0
0.03,6,30,0,30,16,0,0,19,0,30,0,30,30,0,0,0,7,0,110,0
0.03,7,30,0,30,16,0,0,19,0,30,0,30,30,0,0,0,0,0,30,0
0.03,8,30,0,30,16,0,0,19,0,30,0,30,30,0,0,0,0,0,30,0
0.03,9,30,0,30,16,0,0,19,0,30,0,30,30,0,0,0,0,0,30,0
0.03,10,30,0,30,16,0,0,19,0,30,0,30,30,0,0,0,0,0,30,0
0.1,1,30,11,19,16,11,0,19,0,30,8,30,30,11,0,0,20,13,188,5
0.1,2,30,0,30,16,0,0,19,0,30,0,30,30,0,0,0,0,0,30,0
0.1,3,30,0,30,16,0,0,19,0,30,0,30,30,0,0,0,0,0,30,0
0.1,4,30,28,2,15,28,0,19,0,30,24,30,30,28,0,0,60,53,166,11
0.1,5,30,29,1,15,29,0,19,0,30,23,30,30,29,0,0,61,54,86,12
0.1,6,30,30,0,15,30,0,19,0,30,22,30,30,30,0,0,52,45,95,8
0.1,7,30,29,1,16,29,0,19,0,30,25,30,30,29,0,0,78,71,149,13
0.1,8,30,28,2,15,28,0,19,1,30,23,30,30,28,0,0,78,71,149,9
0.1,9,30,0,30,16,0,0,19,0,30,0,30,30,0,0,0,0,0,30,0
0.1,10,30,0,30,16,0,0,19,0,30,0,30,30,0,0,0,0,0,30,0
0.16,1,30,30,0,16,30,0,19,0,30,30,30,30,30,0,0,53,46,93,9
0.16,2,29,0,29,15,0,0,19,0,30,0,30,29,0,1,0,7,0,190,0
0.16,3,30,0,30,16,0,0,19,0,30,0,30,30,0,0,0,0,0,30,0
0.16,4,30,0,30,16,0,0,19,0,30,0,30,30,0,0,0,0,0,30,0
0.16,5,30,29,1,16,29,0,19,0,30,30,30,30,29,0,0,66,59,81,7
0.16,6,30,30,0,15,30,0,19,0,30,30,30,30,30,0,0,56,49,91,10
0.16,7,30,0,30,16,0,0,19,0,30,0,30,30,0,0,0,0,0,30,0
0.16,8,30,30,0,16,30,0,19,1,30,30,30,30,30,0,0,67,60,80,7
0.16,9,30,30,0,15,30,0,19,0,30,26,30,30,30,0,0,102,95,125,8
0.16,10,30,0,30,16,0,0,19,0,30,0,30,30,0,0,0,0,0,30,0
0.7,1,30,0,30,16,0,0,19,0,30,0,30,30,0,0,0,0,0,30,0
0.7,2,30,30,0,16,30,0,19,1,30,30,30,30,30,0,0,69,62,79,1
0.7,3,30,30,0,16,30,0,19,0,30,30,30,30,30,0,0,104,97,124,0
0.7,4,30,30,0,16,30,0,19,0,30,30,30,30,30,0,0,69,62,79,1
0.7,5,30,0,30,16,0,0,19,0,30,0,30,30,0,0,0,0,0,30,0
0.7,6,30,0,30,16,0,0,19,0,30,0,30,30,0,0,0,0,0,30,0
0.7,7,30,0,30,16,0,0,19,0,30,0,30,30,0,0,0,0,0,30,0
0.7,8,30,30,0,15,30,0,19,0,30,30,30,30,30,0,0,139,132,169,3
0.7,9,30,30,0,15,30,0,19,1,30,30,30,30,30,0,0,104,97,124,1
0.7,10,30,0,30,16,0,0,19,0,30,0,30,30,0,0,0,0,0,30,0
